player.name,duels_won
Exequiel Alejandro Palacios,23
Florian Wirtz,17
Alejandro Grimaldo García,12
Odilon Kossonou,11
Jeremie Frimpong,11
Piero Martín Hincapié Reyna,10
Josip Stanišić,10
Edmond Fayçal Tapsoba,10
Granit Xhaka,7
Robert Andrich,7
Jonathan Tah,6
Adam Hložek,5
Jonas Hofmann,5
Nathan Tella,5
Amine Adli,3
Arthur Augusto de Matos Soares,1
Gustavo Adolfo Puerta Molano,1
Noah Mbamba,1
Nadiem Amiri,1
Patrik Schick,1
Victor Okoh Boniface,1
