Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
83,Grischa Prömel,TSG Hoffenheim,3.3,4.0,2146,28,GER
83,Rafael Santos Borre,SV Werder Bremen,3.3,4.0,989,19,COL
86,Jens Stage,SV Werder Bremen,3.3,3.0,2334,30,DEN
86,Tobias Kempe,SV Darmstadt,3.3,3.0,1351,24,GER
88,Eric Maxim Choupo-Moting,Bayern München,3.3,2.0,703,27,CMR
89,Benedict Hollerbach,1. FC Union Berlin,3.2,5.0,1283,28,GER
90,Serge Gnabry,Bayern München,3.2,3.0,433,10,GER
91,Robin Gosens,1. FC Union Berlin,3.1,6.0,2297,30,GER
92,Exequiel Palacios,Bayer 04 Leverkusen,3.1,4.0,1840,24,ARG
93,Oscar Vilhelmsson,SV Darmstadt,3.0,4.0,1375,26,SWE
94,Ellyes Skhiri,Eintracht Frankfurt,3.0,2.0,2169,27,TUN
95,David Datro Fofana,1. FC Union Berlin,3.0,1.0,687,12,CIV
96,Keven Schlotterbeck,VfL Bochum,2.9,5.0,2184,27,GER
97,Jonathan Tah,Bayer 04 Leverkusen,2.9,4.0,2632,31,GER
98,Mats Hummels,Borussia Dortmund,2.9,3.0,1581,25,GER
98,Raphaël Guerreiro,Bayern München,2.9,3.0,1194,20,POR
100,Julian Weigl,Borussia Mönchengladbach,2.9,2.0,2766,31,GER
101,Hugo Ekitike,Eintracht Frankfurt,2.8,4.0,717,14,FRA
102,Kevin Sessa,1. FC Heidenheim 1846,2.8,3.0,1001,30,GER
102,Sepp van den Berg,1. FSV Mainz 05,2.8,3.0,2838,33,NED
104,Bernardo,VfL Bochum,2.8,1.0,2924,33,BRA
105,Granit Xhaka,Bayer 04 Leverkusen,2.7,3.0,2828,33,SUI
105,Yorbe Vertessen,1. FC Union Berlin,2.7,3.0,593,13,BEL
107,Brenden Aaronson,1. FC Union Berlin,2.7,2.0,1263,30,USA
108,Aymen Barkok,1. FSV Mainz 05,2.7,1.0,312,13,MAR
108,Matus Bero,VfL Bochum,2.7,1.0,1665,24,SVK
110,Mattias Svanberg,VfL Wolfsburg,2.6,1.0,1725,25,SWE
111,Goncalo Paciencia,VfL Bochum,2.5,3.0,645,19,POR
111,Mario Götze,Eintracht Frankfurt,2.5,3.0,2075,30,GER
111,Marvin Pieringer,1. FC Heidenheim 1846,2.5,3.0,1520,31,GER
114,Mohamed Simakan,RB Leipzig,2.5,2.0,2139,32,FRA
115,Jan Thielmann,FC Köln,2.5,1.0,1588,22,GER
116,Faride Alidou,FC Köln,2.4,4.0,1284,26,GER
116,Julian Ryerson,Borussia Dortmund,2.4,4.0,1772,21,NOR
116,Maxence Lacroix,VfL Wolfsburg,2.4,4.0,2364,28,FRA
119,Dion Drena Beljo,FC Augsburg,2.4,2.0,562,26,CRO
120,Eric Martel,FC Köln,2.4,1.0,2464,30,GER
120,Tiago Tomás,VfL Wolfsburg,2.4,1.0,1029,26,POR
122,Robert Skov,TSG Hoffenheim,2.3,3.0,1261,25,DEN
123,Emil Forsberg,RB Leipzig,2.3,2.0,460,14,SWE
123,Nico Schlotterbeck,Borussia Dortmund,2.3,2.0,2861,33,GER
123,Timo Werner,RB Leipzig,2.3,2.0,204,8,GER
126,Gian-Luca Waldschmidt,FC Köln,2.2,3.0,1151,22,GER
126,Maximilian Wittek,VfL Bochum,2.2,3.0,1067,21,GER
126,Nikola Dovedan,1. FC Heidenheim 1846,2.2,3.0,646,21,AUT
126,Pavel Kaderabek,TSG Hoffenheim,2.2,3.0,2419,29,CZE
130,Christopher Antwi-Adjej,VfL Bochum,2.2,2.0,1216,25,GHA
130,Emre Can,Borussia Dortmund,2.2,2.0,1956,25,GER
130,Olivier Deman,SV Werder Bremen,2.2,2.0,1359,29,BEL
133,Linton Maina,FC Köln,2.2,1.0,1904,31,GER
133,Marco Richter,1. FSV Mainz 05,2.2,1.0,713,20,GER
135,Adam Hlozek,Bayer 04 Leverkusen,2.1,2.0,451,23,CZE
135,Hugo Larsson,Eintracht Frankfurt,2.1,2.0,1885,29,SWE
135,Woo-Yeong Jeong,VfB Stuttgart,2.1,2.0,618,26,KOR
135,Yannick Gerhardt,VfL Wolfsburg,2.1,2.0,1635,25,GER
139,Benjamin Henrichs,RB Leipzig,2.1,1.0,2531,33,GER
139,Maximilian Eggestein,SC Freiburg,2.1,1.0,2918,33,GER
141,Merlin Röhl,SC Freiburg,2.0,2.0,1483,24,GER
142,Kingsley Coman,Bayern München,1.9,3.0,1123,17,FRA
143,Fredrik Jensen,FC Augsburg,1.9,2.0,1350,22,FIN
143,Joakim Mæhle,VfL Wolfsburg,1.9,2.0,2454,30,DEN
143,Matthijs de Ligt,Bayern München,1.9,2.0,1389,22,NED
146,Philipp Mwene,1. FSV Mainz 05,1.9,1.0,2003,23,AUT
146,Piero Hincapié,Bayer 04 Leverkusen,1.9,1.0,1484,26,ECU
148,Mark Uth,FC Köln,1.9,0.0,369,11,GER
149,Ozan Kabak,TSG Hoffenheim,1.8,4.0,2290,28,TUR
150,Ko Itakura,Borussia Mönchengladbach,1.8,3.0,1598,20,JPN
150,Steffen Tigges,FC Köln,1.8,3.0,715,25,GER
152,Felix Uduokhai,FC Augsburg,1.8,2.0,2922,33,GER
152,Robin Koch,Eintracht Frankfurt,1.8,2.0,2740,31,GER
154,Aaron Seydel,SV Darmstadt,1.8,1.0,615,16,GER
154,Jamie Bynoe-Gittens,Borussia Dortmund,1.8,1.0,1059,25,ENG
154,Karim Onisiwo,1. FSV Mainz 05,1.8,1.0,1496,24,AUT
154,Marius Bülter,TSG Hoffenheim,1.8,1.0,1346,30,GER
158,Arne Engels,FC Augsburg,1.7,3.0,1398,32,BEL
158,Niels Nkounkou,Eintracht Frankfurt,1.7,3.0,1301,29,FRA
160,Josha Vagnoman,VfB Stuttgart,1.7,2.0,1181,18,GER
160,Nick Woltemade,SV Werder Bremen,1.7,2.0,1182,30,GER
162,Anthony Losilla,VfL Bochum,1.7,1.0,2586,31,FRA
162,Lukas Daschner,VfL Bochum,1.7,1.0,525,20,GER
162,Mathias Honsak,SV Darmstadt,1.7,1.0,1013,23,AUT
162,Ridle Baku,VfL Wolfsburg,1.7,1.0,2011,33,GER
166,Alex Kral,1. FC Union Berlin,1.7,0.0,1365,24,CZE
167,Václav Cerny,VfL Wolfsburg,1.6,4.0,923,22,CZE
168,Kristijan Jakic,FC Augsburg,1.6,2.0,1253,18,CRO
168,Maximilian Arnold,VfL Wolfsburg,1.6,2.0,2503,30,GER
168,Moritz Broschinski,VfL Bochum,1.6,2.0,1242,26,GER
168,Nico Elvedi,Borussia Mönchengladbach,1.6,2.0,2485,30,SUI
172,Leonardo Bittencourt,SV Werder Bremen,1.6,1.0,1585,29,GER
172,Nacho Ferri,Eintracht Frankfurt,1.6,1.0,68,8,ESP
174,Robert Andrich,Bayer 04 Leverkusen,1.5,4.0,1681,28,GER
175,Amadou Haidara,RB Leipzig,1.5,2.0,1537,21,MLI
175,Anton Stach,TSG Hoffenheim,1.5,2.0,2497,33,GER
175,Damion Downs,FC Köln,1.5,2.0,173,10,GER
175,Milos Veljkovic,SV Werder Bremen,1.5,2.0,1921,23,SRB
179,Nadiem Amiri,1. FSV Mainz 05,1.5,1.0,1401,23,GER
180,Franck Honorat,Borussia Mönchengladbach,1.4,3.0,2358,32,FRA
181,Felix Passlack,VfL Bochum,1.4,2.0,966,15,GER
181,Patrick Mainka,1. FC Heidenheim 1846,1.4,2.0,3060,34,GER
183,András Schäfer,1. FC Union Berlin,1.4,1.0,1218,20,HUN
183,Fabian Nürnberger,SV Darmstadt,1.4,1.0,1519,21,GER
183,Felix Nmecha,Borussia Dortmund,1.4,1.0,1016,20,GER
186,Dejan Ljubicic,FC Köln,1.4,0.0,2055,26,AUT
186,Gerrit Holtmann,SV Darmstadt,1.4,0.0,388,10,PHI
186,Moritz-Broni Kwarteng,VfL Bochum,1.4,0.0,275,11,GER
189,Aleksandar Pavlovic,Bayern München,1.3,2.0,1228,19,GER
189,Anthony Caci,1. FSV Mainz 05,1.3,2.0,2493,31,FRA
189,Elvis Rexhbecaj,FC Augsburg,1.3,2.0,1994,25,GER
189,Jadon Sancho,Borussia Dortmund,1.3,2.0,954,14,ENG
189,John Anthony Brooks,TSG Hoffenheim,1.3,2.0,1539,21,USA
194,Dayot Upamecano,Bayern München,1.3,1.0,1763,25,FRA
195,Timo Hübers,FC Köln,1.3,0.0,2779,31,GER
196,Alphonso Davies,Bayern München,1.2,2.0,2067,29,CAN
196,Ian Maatsen,Borussia Dortmund,1.2,2.0,1269,16,NED
196,Maximilian Mittelstaedt,VfB Stuttgart,1.2,2.0,2104,31,GER
196,Patrick Osterhage,VfL Bochum,1.2,2.0,1863,24,GER
200,Ivan Ordets,VfL Bochum,1.2,1.0,1879,24,UKR
200,Robin Knoche,1. FC Union Berlin,1.2,1.0,1916,24,GER
200,Tom Krauss,1. FSV Mainz 05,1.2,1.0,1339,29,GER
200,Tuta,Eintracht Frankfurt,1.2,1.0,2605,30,BRA
204,Arne Maier,FC Augsburg,1.1,2.0,998,22,GER
205,Benedikt Gimber,1. FC Heidenheim 1846,1.1,1.0,2026,24,GER
205,Christian Günter,SC Freiburg,1.1,1.0,1064,15,GER
205,Iago,FC Augsburg,1.1,1.0,1622,23,BRA
205,Lukas Klostermann,RB Leipzig,1.1,1.0,1433,25,GER
205,Silvan Widmer,1. FSV Mainz 05,1.1,1.0,1243,20,SUI
210,Lucas Tousart,1. FC Union Berlin,1.1,0.0,1573,23,FRA
210,Stefan Bell,1. FSV Mainz 05,1.1,0.0,669,10,GER
212,Maximilian Wöber,Borussia Mönchengladbach,1.0,2.0,2070,25,AUT
213,Angelo Stiller,VfB Stuttgart,1.0,1.0,2780,32,GER
213,Hrvoje Smolcic,Eintracht Frankfurt,1.0,1.0,345,11,CRO
213,Leonardo Bonucci,1. FC Union Berlin,1.0,1.0,463,7,ITA
213,Maximilian Bauer,FC Augsburg,1.0,1.0,808,14,GER
213,Yannik Keitel,SC Freiburg,1.0,1.0,921,15,GER
218,Eric Dier,Bayern München,1.0,0.0,1166,15,ENG
218,Josip Juranovic,1. FC Union Berlin,1.0,0.0,1290,21,CRO
218,Konrad Laimer,Bayern München,1.0,0.0,1770,29,AUT
221,David Raum,RB Leipzig,0.9,2.0,2743,31,GER
222,Castello Lukeba,RB Leipzig,0.9,1.0,2185,32,FRA
222,Joshua Kimmich,Bayern München,0.9,1.0,2185,28,GER
222,Kouadio Koné,Borussia Mönchengladbach,0.9,1.0,1565,22,FRA
222,Max Finkgrafe,FC Köln,0.9,1.0,1756,24,GER
222,Maximilian Philipp,SC Freiburg,0.9,1.0,311,17,GER
222,Philipp Lienhart,SC Freiburg,0.9,1.0,1265,15,AUT
222,Randal Kolo Muani,Eintracht Frankfurt,0.9,1.0,155,2,FRA
229,Borja Iglesias,Bayer 04 Leverkusen,0.9,0.0,252,7,ESP
229,Matthias Ginter,SC Freiburg,0.9,0.0,1918,23,GER
231,Jan Schöppner,1. FC Heidenheim 1846,0.8,2.0,2000,26,GER
231,Patrick Wimmer,VfL Wolfsburg,0.8,2.0,594,14,AUT
233,Andreas Hanche-Olsen,1. FSV Mainz 05,0.8,1.0,995,15,NOR
233,Florian Grillitsch,TSG Hoffenheim,0.8,1.0,2297,30,AUT
233,Julian Malatini,SV Werder Bremen,0.8,1.0,602,11,ARG
233,Min-Jae Kim,Bayern München,0.8,1.0,1970,25,KOR
237,Hiroki Ito,VfB Stuttgart,0.8,0.0,2231,26,JPN
237,Kevin Vogt,TSG Hoffenheim,0.8,0.0,2643,32,GER
237,Leart Paqarada,FC Köln,0.8,0.0,1073,17,KVX
240,Adrian Beck,1. FC Heidenheim 1846,0.7,1.0,971,23,GER
240,Anthony Jung,SV Werder Bremen,0.7,1.0,2583,31,GER
240,Aurelio Buta,Eintracht Frankfurt,0.7,1.0,1744,30,POR
240,Dan-Axel Zagadou,VfB Stuttgart,0.7,1.0,1453,19,FRA
240,Jeffrey Gouweleeuw,FC Augsburg,0.7,1.0,2594,30,NED
240,Mahmoud Dahoud,VfB Stuttgart,0.7,1.0,217,13,SYR
240,Manuel Gulde,SC Freiburg,0.7,1.0,2048,27,GER
240,Philipp Max,Eintracht Frankfurt,0.7,1.0,1357,23,GER
248,Aissa Laidouni,1. FC Union Berlin,0.7,0.0,1064,23,TUN
248,Bouna Sarr,Bayern München,0.7,0.0,105,2,SEN
248,Denis Huseinbasic,FC Köln,0.7,0.0,1627,26,BIH
248,Diogo Leite,1. FC Union Berlin,0.7,0.0,2708,32,POR
248,Jérome Roussillon,1. FC Union Berlin,0.7,0.0,743,23,FRA
248,Julian Chabot,FC Köln,0.7,0.0,2707,32,GER
248,Justin Diehl,FC Köln,0.7,0.0,165,7,GER
248,Luca Netz,Borussia Mönchengladbach,0.7,0.0,2231,30,GER
248,Pascal Stenzel,VfB Stuttgart,0.7,0.0,1068,23,GER
248,Rani Khedira,1. FC Union Berlin,0.7,0.0,1350,20,GER
248,Rasmus Carstensen,FC Köln,0.7,0.0,1658,23,DEN
248,Xaver Schlager,RB Leipzig,0.7,0.0,2482,29,AUT
260,Josip Stanisic,Bayer 04 Leverkusen,0.6,3.0,1257,20,CRO
261,Julian Justvan,SV Darmstadt,0.6,2.0,1069,18,GER
262,Chris Bedia,1. FC Union Berlin,0.6,1.0,139,7,CIV
262,Dominik Kohr,1. FSV Mainz 05,0.6,1.0,2190,31,GER
262,Leonidas Stergiou,VfB Stuttgart,0.6,1.0,587,15,SUI
262,Lukas Kübler,SC Freiburg,0.6,1.0,1848,26,GER
262,Nicolas Höfler,SC Freiburg,0.6,1.0,2332,28,GER
267,Christopher Trimmel,1. FC Union Berlin,0.6,0.0,1653,26,AUT
267,Erhan Masovic,VfL Bochum,0.6,0.0,2218,29,SRB
267,Fabio Carvalho,RB Leipzig,0.6,0.0,158,9,POR
267,Willi Orban,RB Leipzig,0.6,0.0,1583,19,HUN
267,Willian Pacho,Eintracht Frankfurt,0.6,0.0,2970,33,ECU
272,Christoph Klarer,SV Darmstadt,0.5,2.0,2356,30,AUT
272,Danilho Doekhi,1. FC Union Berlin,0.5,2.0,2160,24,NED
