Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
73,Mikkel Kaufmann,1. FC Union Berlin,0.24,0.19,479,18,DEN
74,Marvin Mehlem,SV Darmstadt,0.24,0.18,1491,20,GER
75,Marco Richter,1. FSV Mainz 05,0.24,0.13,713,20,GER
76,Chris Führich,VfB Stuttgart,0.23,0.28,2594,34,GER
77,Eric Ebimbe,Eintracht Frankfurt,0.23,0.23,1967,31,FRA
77,Gian-Luca Waldschmidt,FC Köln,0.23,0.23,1151,22,GER
79,Lovro Majer,VfL Wolfsburg,0.23,0.21,2116,32,CRO
80,Tiago Tomás,VfL Wolfsburg,0.23,0.09,1029,26,POR
81,Václav Cerny,VfL Wolfsburg,0.22,0.39,923,22,CZE
82,Rafael Santos Borre,SV Werder Bremen,0.22,0.36,989,19,COL
83,Kingsley Coman,Bayern München,0.22,0.24,1123,17,FRA
84,Faride Alidou,FC Köln,0.21,0.28,1284,26,GER
85,Dani Olmo,RB Leipzig,0.21,0.25,1454,21,ESP
85,Jae-Sung Lee,1. FSV Mainz 05,0.21,0.25,2124,29,KOR
87,Kevin Stöger,VfL Bochum,0.21,0.24,2678,32,AUT
88,Enzo Millot,VfB Stuttgart,0.21,0.2,2254,31,FRA
89,Ritsu Doan,SC Freiburg,0.2,0.28,2253,30,JPN
90,Leon Goretzka,Bayern München,0.2,0.24,2242,30,GER
91,Florian Kainz,FC Köln,0.2,0.2,2210,33,AUT
92,Brajan Gruda,1. FSV Mainz 05,0.19,0.22,1651,28,GER
93,Kevin Paredes,VfL Wolfsburg,0.19,0.19,1429,28,USA
94,Nick Woltemade,SV Werder Bremen,0.19,0.15,1182,30,GER
95,Jamie Bynoe-Gittens,Borussia Dortmund,0.19,0.08,1059,25,ENG
96,Alejandro Grimaldo,Bayer 04 Leverkusen,0.18,0.32,2785,33,ESP
97,Julian Brandt,Borussia Dortmund,0.18,0.28,2230,32,GER
98,Raphaël Guerreiro,Bayern München,0.18,0.23,1194,20,POR
99,Ruben Vargas,FC Augsburg,0.18,0.18,1978,31,SUI
100,Mats Hummels,Borussia Dortmund,0.18,0.17,1581,25,GER
101,Romano Schmid,SV Werder Bremen,0.18,0.14,2614,33,AUT
102,Moritz Broschinski,VfL Bochum,0.17,0.14,1242,26,GER
103,Jens Stage,SV Werder Bremen,0.17,0.12,2334,30,DEN
104,Mohamed Simakan,RB Leipzig,0.17,0.08,2139,32,FRA
105,Ramy Bensebaini,Borussia Dortmund,0.17,0.0,1030,17,ALG
106,Exequiel Palacios,Bayer 04 Leverkusen,0.16,0.2,1840,24,ARG
107,Marcel Sabitzer,Borussia Dortmund,0.16,0.18,1964,25,AUT
108,Grischa Prömel,TSG Hoffenheim,0.16,0.17,2146,28,GER
109,Christopher Antwi-Adjej,VfL Bochum,0.16,0.15,1216,25,GHA
110,Leandro Barreiro,1. FSV Mainz 05,0.16,0.14,2606,31,LUX
111,Adrian Beck,1. FC Heidenheim 1846,0.16,0.09,971,23,GER
111,Mathias Honsak,SV Darmstadt,0.16,0.09,1013,23,AUT
113,Matus Bero,VfL Bochum,0.16,0.05,1665,24,SVK
114,Eren Dinkci,1. FC Heidenheim 1846,0.15,0.34,2672,33,TUR
115,Jan-Niklas Beste,1. FC Heidenheim 1846,0.15,0.28,2618,31,GER
116,Rocco Reitz,Borussia Mönchengladbach,0.15,0.25,2141,34,GER
117,Brenden Aaronson,1. FC Union Berlin,0.15,0.14,1263,30,USA
118,John Anthony Brooks,TSG Hoffenheim,0.15,0.12,1539,21,USA
119,Felix Nmecha,Borussia Dortmund,0.15,0.09,1016,20,GER
120,Nadiem Amiri,1. FSV Mainz 05,0.15,0.06,1401,23,GER
121,Mattias Svanberg,VfL Wolfsburg,0.15,0.05,1725,25,SWE
122,Maximilian Philipp,SC Freiburg,0.14,0.29,311,17,GER
123,Arne Maier,FC Augsburg,0.14,0.18,998,22,GER
123,Marvin Pieringer,1. FC Heidenheim 1846,0.14,0.18,1520,31,GER
125,Fares Chaibi,Eintracht Frankfurt,0.14,0.09,1920,28,ALG
126,Karim Onisiwo,1. FSV Mainz 05,0.14,0.06,1496,24,AUT
127,Tim Skarke,SV Darmstadt,0.13,0.3,2418,30,GER
128,Robert Skov,TSG Hoffenheim,0.13,0.21,1261,25,DEN
129,Mario Götze,Eintracht Frankfurt,0.13,0.13,2075,30,GER
130,Mitchell Weiser,SV Werder Bremen,0.13,0.1,2639,30,GER
