Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
74,Nadiem Amiri,1. FSV Mainz 05,0.6,3.8,1401,23,GER
75,Niklas Dorsch,FC Augsburg,0.6,3.7,1387,21,GER
75,Rocco Reitz,Borussia Mönchengladbach,0.6,3.7,2141,34,GER
77,Angelo Stiller,VfB Stuttgart,0.6,3.6,2780,32,GER
78,Leonardo Bittencourt,SV Werder Bremen,0.6,3.4,1585,29,GER
79,Finn Becker,TSG Hoffenheim,0.6,3.3,596,22,GER
79,Lovro Majer,VfL Wolfsburg,0.6,3.3,2116,32,CRO
81,Brenden Aaronson,1. FC Union Berlin,0.6,3.2,1263,30,USA
82,Janik Haberer,1. FC Union Berlin,0.6,3.0,1223,21,GER
82,Matus Bero,VfL Bochum,0.6,3.0,1665,24,SVK
82,Maximilian Arnold,VfL Wolfsburg,0.6,3.0,2503,30,GER
82,Maximilian Wittek,VfL Bochum,0.6,3.0,1067,21,GER
86,Arne Maier,FC Augsburg,0.6,2.9,998,22,GER
87,Marvin Pieringer,1. FC Heidenheim 1846,0.6,2.7,1520,31,GER
88,Mattias Svanberg,VfL Wolfsburg,0.6,2.6,1725,25,SWE
89,Alejandro Grimaldo,Bayer 04 Leverkusen,0.6,2.4,2785,33,ESP
89,Jonathan Burkardt,1. FSV Mainz 05,0.6,2.4,1541,21,GER
91,Tim Skarke,SV Darmstadt,0.6,2.3,2418,30,GER
92,Faride Alidou,FC Köln,0.6,2.2,1284,26,GER
93,Andrej Kramaric,TSG Hoffenheim,0.6,2.1,2206,30,CRO
94,Jamie Leweling,VfB Stuttgart,0.6,2.0,1519,34,GER
95,Franck Honorat,Borussia Mönchengladbach,0.6,1.9,2358,32,FRA
95,Joakim Mæhle,VfL Wolfsburg,0.6,1.9,2454,30,DEN
97,Jan-Niklas Beste,1. FC Heidenheim 1846,0.6,1.8,2618,31,GER
98,Ansgar Knauff,Eintracht Frankfurt,0.6,1.7,2117,31,GER
98,Maximilian Philipp,SC Freiburg,0.6,1.7,311,17,GER
98,Silvan Widmer,1. FSV Mainz 05,0.6,1.7,1243,20,SUI
101,Nathan N'Goumou,Borussia Mönchengladbach,0.6,1.6,1381,32,FRA
102,Fares Chaibi,Eintracht Frankfurt,0.6,1.5,1920,28,ALG
102,Ihlas Bebou,TSG Hoffenheim,0.6,1.5,1628,32,TOG
102,Rafael Santos Borre,SV Werder Bremen,0.6,1.5,989,19,COL
105,Mathys Tel,Bayern München,0.6,1.4,1031,30,FRA
105,Nathan Tella,Bayer 04 Leverkusen,0.6,1.4,812,24,NGA
105,Philipp Hofmann,VfL Bochum,0.6,1.4,1576,29,GER
105,Raphaël Guerreiro,Bayern München,0.6,1.4,1194,20,POR
109,Emir Karic,SV Darmstadt,0.6,1.3,1781,27,AUT
110,Dion Drena Beljo,FC Augsburg,0.6,1.0,562,26,CRO
111,Harry Kane,Bayern München,0.6,0.7,2843,32,ENG
112,Patrick Osterhage,VfL Bochum,0.5,3.9,1863,24,GER
113,Salih Özcan,Borussia Dortmund,0.5,3.7,1179,23,TUR
114,Amadou Haidara,RB Leipzig,0.5,3.5,1537,21,MLI
114,Jens Stage,SV Werder Bremen,0.5,3.5,2334,30,DEN
116,Elvis Rexhbecaj,FC Augsburg,0.5,3.3,1994,25,GER
116,Joshua Kimmich,Bayern München,0.5,3.3,2185,28,GER
116,Konrad Laimer,Bayern München,0.5,3.3,1770,29,AUT
116,Kouadio Koné,Borussia Mönchengladbach,0.5,3.3,1565,22,FRA
120,Odilon Kossounou,Bayer 04 Leverkusen,0.5,3.2,1812,22,CIV
121,Grischa Prömel,TSG Hoffenheim,0.5,3.1,2146,28,GER
122,Ramy Bensebaini,Borussia Dortmund,0.5,3.0,1030,17,ALG
123,Alex Kral,1. FC Union Berlin,0.5,2.8,1365,24,CZE
123,Eren Dinkci,1. FC Heidenheim 1846,0.5,2.8,2672,33,TUR
123,Marvin Mehlem,SV Darmstadt,0.5,2.8,1491,20,GER
123,Maximilian Mittelstaedt,VfB Stuttgart,0.5,2.8,2104,31,GER
123,Robin Hack,Borussia Mönchengladbach,0.5,2.8,1345,29,GER
123,Senne Lynen,SV Werder Bremen,0.5,2.8,1791,32,BEL
129,Christian Gross,SV Werder Bremen,0.5,2.7,792,20,GER
130,Vincenzo Grifo,SC Freiburg,0.5,2.4,2344,32,ITA
131,Mitchell Weiser,SV Werder Bremen,0.5,2.3,2639,30,GER
132,Lucas Höler,SC Freiburg,0.5,2.1,2309,33,GER
