Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
84,Jonas Wind,VfL Wolfsburg,7.04,5.0,2660,34,DEN
85,Lovro Majer,VfL Wolfsburg,7.03,3.0,2116,32,CRO
86,Dayot Upamecano,Bayern München,7.03,1.0,1763,25,FRA
87,Brajan Gruda,1. FSV Mainz 05,7.03,2.0,1651,28,GER
88,Romano Schmid,SV Werder Bremen,7.02,1.0,2614,33,AUT
89,Tim Kleindienst,1. FC Heidenheim 1846,7.02,2.0,2874,33,GER
89,Mario Götze,Eintracht Frankfurt,7.02,2.0,2075,30,GER
91,Dominik Kohr,1. FSV Mainz 05,7.01,0.0,2190,31,GER
92,Rocco Reitz,Borussia Mönchengladbach,7.01,1.0,2141,34,GER
93,Maximilian Wöber,Borussia Mönchengladbach,7.01,0.0,2070,25,AUT
93,Matthijs de Ligt,Bayern München,7.01,0.0,1389,22,NED
95,Wout Weghorst,TSG Hoffenheim,7.0,0.0,1987,28,NED
96,Lucas Höler,SC Freiburg,6.99,2.0,2309,33,GER
97,Pavel Kaderabek,TSG Hoffenheim,6.99,1.0,2419,29,CZE
98,Alassane Plea,Borussia Mönchengladbach,6.99,3.0,1925,27,FRA
99,Konrad Laimer,Bayern München,6.99,0.0,1770,29,AUT
100,Marvin Mehlem,SV Darmstadt,6.98,1.0,1491,20,GER
101,Joakim Mæhle,VfL Wolfsburg,6.97,1.0,2454,30,DEN
102,Iago,FC Augsburg,6.97,0.0,1622,23,BRA
103,Grischa Prömel,TSG Hoffenheim,6.97,1.0,2146,28,GER
103,Jeffrey Gouweleeuw,FC Augsburg,6.97,1.0,2594,30,NED
103,Maximilian Wittek,VfL Bochum,6.97,1.0,1067,21,GER
106,Mattias Svanberg,VfL Wolfsburg,6.96,0.0,1725,25,SWE
106,Julian Chabot,FC Köln,6.96,0.0,2707,32,GER
108,Max Finkgrafe,FC Köln,6.96,2.0,1756,24,GER
109,Fabian Nürnberger,SV Darmstadt,6.96,0.0,1519,21,GER
109,Jan Schöppner,1. FC Heidenheim 1846,6.96,0.0,2000,26,GER
111,Lukas Hradecky,Bayer 04 Leverkusen,6.95,0.0,2970,33,FIN
112,Eric Ebimbe,Eintracht Frankfurt,6.94,1.0,1967,31,FRA
113,Kouadio Koné,Borussia Mönchengladbach,6.94,0.0,1565,22,FRA
114,Robin Koch,Eintracht Frankfurt,6.94,1.0,2740,31,GER
114,Michael Zetterer,SV Werder Bremen,6.94,1.0,2430,27,GER
114,Oliver Baumann,TSG Hoffenheim,6.94,1.0,3060,34,GER
117,Bernardo,VfL Bochum,6.94,3.0,2924,33,BRA
118,Patrick Osterhage,VfL Bochum,6.94,0.0,1863,24,GER
119,Kristijan Jakic,FC Augsburg,6.94,2.0,1253,18,CRO
120,Florian Kainz,FC Köln,6.94,4.0,2210,33,AUT
121,Robert Skov,TSG Hoffenheim,6.93,0.0,1261,25,DEN
122,Josip Juranovic,1. FC Union Berlin,6.92,0.0,1290,21,CRO
122,Felix Agu,SV Werder Bremen,6.92,0.0,1621,24,GER
124,Philipp Mwene,1. FSV Mainz 05,6.91,0.0,2003,23,AUT
124,Senne Lynen,SV Werder Bremen,6.91,0.0,1791,32,BEL
124,Anthony Losilla,VfL Bochum,6.91,0.0,2586,31,FRA
127,Patrik Schick,Bayer 04 Leverkusen,6.91,1.0,1064,20,CZE
128,Nico Elvedi,Borussia Mönchengladbach,6.91,0.0,2485,30,SUI
128,John Anthony Brooks,TSG Hoffenheim,6.91,0.0,1539,21,USA
130,Fredrik Jensen,FC Augsburg,6.9,0.0,1350,22,FIN
131,Robin Hack,Borussia Mönchengladbach,6.9,3.0,1345,29,GER
132,Florian Neuhaus,Borussia Mönchengladbach,6.89,1.0,1226,25,GER
133,Robin Knoche,1. FC Union Berlin,6.89,0.0,1916,24,GER
134,Kevin Mbabu,FC Augsburg,6.88,1.0,2048,25,SUI
135,Maxence Lacroix,VfL Wolfsburg,6.88,0.0,2364,28,FRA
135,Justin Njinmah,SV Werder Bremen,6.88,0.0,1012,24,GER
137,Nicolas Höfler,SC Freiburg,6.87,1.0,2332,28,GER
137,Jonathan Burkardt,1. FSV Mainz 05,6.87,1.0,1541,21,GER
139,Michael Gregoritsch,SC Freiburg,6.87,3.0,1684,32,AUT
