Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
1,Harry Kane,Bayern München,27.0,24.7,2843,32,ENG
2,Ikoma Lois Openda,RB Leipzig,22.0,19.8,2716,34,BEL
3,Serhou Guirassy,VfB Stuttgart,20.0,30.4,2212,28,GUI
4,Tim Kleindienst,1. FC Heidenheim 1846,18.0,14.5,2874,33,GER
5,Victor Okoh Boniface,Bayer 04 Leverkusen,16.0,17.5,1553,23,NGA
6,Michael Gregoritsch,SC Freiburg,15.0,9.5,1684,32,AUT
7,Niclas Füllkrug,Borussia Dortmund,13.0,20.7,2405,31,GER
8,Deniz Undav,VfB Stuttgart,12.0,16.8,2096,30,GER
9,Phillip Tietz,FC Augsburg,12.0,15.4,2405,34,GER
10,Takuma Asano,VfL Bochum,12.0,9.2,2003,29,JPN
11,Maximilian Beier,TSG Hoffenheim,11.0,19.5,2431,33,GER
12,Jeremie Frimpong,Bayer 04 Leverkusen,11.0,16.4,2263,31,NED
13,Jonas Wind,VfL Wolfsburg,11.0,15.1,2660,34,DEN
14,Kevin Behrens,VfL Wolfsburg,11.0,9.6,1880,31,GER
15,Jamal Musiala,Bayern München,10.0,17.2,1766,24,GER
16,Marco Reus,Borussia Dortmund,10.0,14.3,1612,26,GER
17,Ermedin Demirovic,FC Augsburg,9.0,18.5,2879,33,BIH
18,Jamie Leweling,VfB Stuttgart,9.0,9.1,1519,34,GER
19,Ludovic Ajorque,1. FSV Mainz 05,9.0,6.9,1355,26,FRA
20,Benjamin Sesko,RB Leipzig,8.0,29.8,1528,31,SVN
21,Jonathan Burkardt,1. FSV Mainz 05,8.0,19.5,1541,21,GER
22,Yussuf Poulsen,RB Leipzig,8.0,17.2,1209,28,DEN
23,Jae-Sung Lee,1. FSV Mainz 05,8.0,15.8,2124,29,KOR
24,Florian Wirtz,Bayer 04 Leverkusen,8.0,15.5,2377,32,GER
25,Marvin Ducksch,SV Werder Bremen,8.0,15.0,2710,33,GER
26,Chris Führich,VfB Stuttgart,8.0,14.8,2594,34,GER
27,Tomas Cvancara,Borussia Mönchengladbach,8.0,11.1,892,21,CZE
28,Leroy Sané,Bayern München,8.0,11.0,2142,27,GER
29,Philipp Hofmann,VfL Bochum,8.0,10.3,1576,29,GER
30,Kevin Volland,1. FC Union Berlin,8.0,8.3,1346,26,GER
31,Roland Sallai,SC Freiburg,8.0,5.4,1850,27,HUN
32,Sargis Adamyan,FC Köln,8.0,3.2,797,20,ARM
33,Silas Katompa Mvumpa,VfB Stuttgart,7.0,20.8,890,27,COD
34,Lucas Höler,SC Freiburg,7.0,20.6,2309,33,GER
35,Jordan Pefok,Borussia Mönchengladbach,7.0,14.3,1450,26,USA
36,Faride Alidou,FC Köln,7.0,12.1,1284,26,GER
37,Jonas Hofmann,Bayer 04 Leverkusen,7.0,8.3,2214,32,GER
38,Eric Maxim Choupo-Moting,Bayern München,7.0,7.7,703,27,CMR
39,David Datro Fofana,1. FC Union Berlin,7.0,3.9,687,12,CIV
40,Luca Pfeiffer,SV Darmstadt,7.0,2.1,1625,24,GER
41,Ansgar Knauff,Eintracht Frankfurt,6.0,18.9,2117,31,GER
42,Donyell Malen,Borussia Dortmund,6.0,18.1,1783,27,NED
43,Omar Marmoush,Eintracht Frankfurt,6.0,15.2,2310,29,EGY
44,Thomas Müller,Bayern München,6.0,13.9,1659,31,GER
45,Lovro Majer,VfL Wolfsburg,6.0,13.5,2116,32,CRO
46,Yorbe Vertessen,1. FC Union Berlin,6.0,12.5,593,13,BEL
47,Robin Koch,Eintracht Frankfurt,6.0,8.3,2740,31,GER
48,Jens Stage,SV Werder Bremen,6.0,7.5,2334,30,DEN
49,Matus Bero,VfL Bochum,6.0,3.3,1665,24,SVK
50,Andrej Kramaric,TSG Hoffenheim,5.0,21.7,2206,30,CRO
51,Wout Weghorst,TSG Hoffenheim,5.0,18.0,1987,28,NED
52,Patrik Schick,Bayer 04 Leverkusen,5.0,17.5,1064,20,CZE
53,Alassane Plea,Borussia Mönchengladbach,5.0,12.1,1925,27,FRA
54,Ellyes Skhiri,Eintracht Frankfurt,5.0,11.1,2169,27,TUN
55,Romano Schmid,SV Werder Bremen,5.0,10.5,2614,33,AUT
56,Xavi Simons,RB Leipzig,5.0,9.9,2673,32,NED
57,Eric Ebimbe,Eintracht Frankfurt,5.0,9.6,1967,31,FRA
58,Merlin Röhl,SC Freiburg,5.0,8.3,1483,24,GER
59,Robin Hack,Borussia Mönchengladbach,4.0,23.3,1345,29,GER
60,Ritsu Doan,SC Freiburg,4.0,18.9,2253,30,JPN
61,Ihlas Bebou,TSG Hoffenheim,4.0,18.4,1628,32,TOG
62,Justin Njinmah,SV Werder Bremen,4.0,18.2,1012,24,GER
63,Serge Gnabry,Bayern München,4.0,17.7,433,10,GER
64,Christoph Baumgartner,RB Leipzig,4.0,16.1,1149,32,AUT
64,Nathan N'Goumou,Borussia Mönchengladbach,4.0,16.1,1381,32,FRA
66,Kevin Paredes,VfL Wolfsburg,4.0,15.8,1429,28,USA
67,Grischa Prömel,TSG Hoffenheim,4.0,15.4,2146,28,GER
68,Amine Adli,Bayer 04 Leverkusen,4.0,14.8,890,23,MAR
69,Benedict Hollerbach,1. FC Union Berlin,4.0,14.7,1283,28,GER
70,Karim Adeyemi,Borussia Dortmund,4.0,13.0,911,21,GER
71,Florian Neuhaus,Borussia Mönchengladbach,4.0,10.3,1226,25,GER
71,Kevin Sessa,1. FC Heidenheim 1846,4.0,10.3,1001,30,GER
73,Ruben Vargas,FC Augsburg,4.0,8.2,1978,31,SUI
74,Lukas Daschner,VfL Bochum,4.0,7.7,525,20,GER
74,Moritz Broschinski,VfL Bochum,4.0,7.7,1242,26,GER
76,Nico Schlotterbeck,Borussia Dortmund,4.0,7.4,2861,33,GER
77,Silvan Widmer,1. FSV Mainz 05,4.0,7.1,1243,20,SUI
78,Jan Thielmann,FC Köln,4.0,2.7,1588,22,GER
79,Mark Uth,FC Köln,4.0,0.0,369,11,GER
80,Mario Götze,Eintracht Frankfurt,3.0,23.1,2075,30,GER
81,Jadon Sancho,Borussia Dortmund,3.0,22.2,954,14,ENG
82,Julian Brandt,Borussia Dortmund,3.0,21.2,2230,32,GER
83,Patrick Wimmer,VfL Wolfsburg,3.0,20.0,594,14,AUT
83,Václav Cerny,VfL Wolfsburg,3.0,20.0,923,22,CZE
85,Mats Hummels,Borussia Dortmund,3.0,18.8,1581,25,GER
86,Raphaël Guerreiro,Bayern München,3.0,16.7,1194,20,POR
87,Ko Itakura,Borussia Mönchengladbach,3.0,14.3,1598,20,JPN
88,Marvin Mehlem,SV Darmstadt,3.0,13.0,1491,20,GER
89,Enzo Millot,VfB Stuttgart,3.0,12.8,2254,31,FRA
90,Sepp van den Berg,1. FSV Mainz 05,3.0,12.0,2838,33,NED
91,Josha Vagnoman,VfB Stuttgart,3.0,11.8,1181,18,GER
92,Tim Skarke,SV Darmstadt,3.0,11.6,2418,30,GER
