Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
46,Jordan Pefok,Borussia Mönchengladbach,7.0,3.0,1450,26,USA
47,Christopher Antwi-Adjej,VfL Bochum,7.0,2.0,1216,25,GHA
48,Roland Sallai,SC Freiburg,7.0,0.0,1850,27,HUN
49,Omar Marmoush,Eintracht Frankfurt,6.0,6.0,2310,29,EGY
50,Angelo Stiller,VfB Stuttgart,6.0,5.0,2780,32,GER
50,Lovro Majer,VfL Wolfsburg,6.0,5.0,2116,32,CRO
50,Mathys Tel,Bayern München,6.0,5.0,1031,30,FRA
53,Kevin Volland,1. FC Union Berlin,6.0,4.0,1346,26,GER
53,Luca Netz,Borussia Mönchengladbach,6.0,4.0,2231,30,GER
53,Marius Bülter,TSG Hoffenheim,6.0,4.0,1346,30,GER
56,Anthony Caci,1. FSV Mainz 05,6.0,3.0,2493,31,FRA
56,Anton Stach,TSG Hoffenheim,6.0,3.0,2497,33,GER
56,Konrad Laimer,Bayern München,6.0,3.0,1770,29,AUT
56,Linton Maina,FC Köln,6.0,3.0,1904,31,GER
56,Marcel Sabitzer,Borussia Dortmund,6.0,3.0,1964,25,AUT
56,Robin Gosens,1. FC Union Berlin,6.0,3.0,2297,30,GER
62,Silas Katompa Mvumpa,VfB Stuttgart,6.0,2.0,890,27,COD
63,Grischa Prömel,TSG Hoffenheim,5.0,5.0,2146,28,GER
63,Ihlas Bebou,TSG Hoffenheim,5.0,5.0,1628,32,TOG
65,Alassane Plea,Borussia Mönchengladbach,5.0,4.0,1925,27,FRA
65,Fredrik Jensen,FC Augsburg,5.0,4.0,1350,22,FIN
65,Jamie Leweling,VfB Stuttgart,5.0,4.0,1519,34,GER
68,Eric Ebimbe,Eintracht Frankfurt,5.0,3.0,1967,31,FRA
68,Jae-Sung Lee,1. FSV Mainz 05,5.0,3.0,2124,29,KOR
68,Mattias Svanberg,VfL Wolfsburg,5.0,3.0,1725,25,SWE
68,Merlin Röhl,SC Freiburg,5.0,3.0,1483,24,GER
68,Noussair Mazraoui,Bayern München,5.0,3.0,1197,19,MAR
68,Tim Kleindienst,1. FC Heidenheim 1846,5.0,3.0,2874,33,GER
74,Leonardo Bittencourt,SV Werder Bremen,5.0,2.0,1585,29,GER
74,Mario Götze,Eintracht Frankfurt,5.0,2.0,2075,30,GER
74,Moritz Broschinski,VfL Bochum,5.0,2.0,1242,26,GER
74,Nathan Tella,Bayer 04 Leverkusen,5.0,2.0,812,24,NGA
74,Noah Weisshaupt,SC Freiburg,5.0,2.0,744,24,GER
74,Philipp Hofmann,VfL Bochum,5.0,2.0,1576,29,GER
74,Philipp Max,Eintracht Frankfurt,5.0,2.0,1357,23,GER
81,Julian Ryerson,Borussia Dortmund,5.0,1.0,1772,21,NOR
81,Maximilian Arnold,VfL Wolfsburg,5.0,1.0,2503,30,GER
83,Rasmus Carstensen,FC Köln,5.0,0.0,1658,23,DEN
84,Atakan Karazor,VfB Stuttgart,4.0,4.0,2630,33,GER
84,Florian Kainz,FC Köln,4.0,4.0,2210,33,AUT
84,Jamie Bynoe-Gittens,Borussia Dortmund,4.0,4.0,1059,25,ENG
84,Ruben Vargas,FC Augsburg,4.0,4.0,1978,31,SUI
88,Joakim Mæhle,VfL Wolfsburg,4.0,3.0,2454,30,DEN
88,Julian Weigl,Borussia Mönchengladbach,4.0,3.0,2766,31,GER
88,Kingsley Coman,Bayern München,4.0,3.0,1123,17,FRA
91,Ansgar Knauff,Eintracht Frankfurt,4.0,2.0,2117,31,GER
91,Brenden Aaronson,1. FC Union Berlin,4.0,2.0,1263,30,USA
91,Florian Neuhaus,Borussia Mönchengladbach,4.0,2.0,1226,25,GER
91,Jadon Sancho,Borussia Dortmund,4.0,2.0,954,14,ENG
91,Jonathan Burkardt,1. FSV Mainz 05,4.0,2.0,1541,21,GER
91,Justin Njinmah,SV Werder Bremen,4.0,2.0,1012,24,GER
91,Niels Nkounkou,Eintracht Frankfurt,4.0,2.0,1301,29,FRA
91,Philipp Mwene,1. FSV Mainz 05,4.0,2.0,2003,23,AUT
91,Ritsu Doan,SC Freiburg,4.0,2.0,2253,30,JPN
91,Sargis Adamyan,FC Köln,4.0,2.0,797,20,ARM
101,Iago,FC Augsburg,4.0,1.0,1622,23,BRA
101,Jens Stage,SV Werder Bremen,4.0,1.0,2334,30,DEN
101,Matus Bero,VfL Bochum,4.0,1.0,1665,24,SVK
101,Maximilian Beier,TSG Hoffenheim,4.0,1.0,2431,33,GER
101,Maximilian Eggestein,SC Freiburg,4.0,1.0,2918,33,GER
101,Nico Schlotterbeck,Borussia Dortmund,4.0,1.0,2861,33,GER
101,Sheraldo Becker,1. FC Union Berlin,4.0,1.0,649,11,SUR
108,Granit Xhaka,Bayer 04 Leverkusen,4.0,0.0,2828,33,SUI
109,Alphonso Davies,Bayern München,3.0,5.0,2067,29,CAN
110,Amine Adli,Bayer 04 Leverkusen,3.0,4.0,890,23,MAR
110,Joseph Scally,Borussia Mönchengladbach,3.0,4.0,2236,31,USA
110,Phillip Tietz,FC Augsburg,3.0,4.0,2405,34,GER
110,Robert Skov,TSG Hoffenheim,3.0,4.0,1261,25,DEN
114,Aissa Laidouni,1. FC Union Berlin,3.0,3.0,1064,23,TUN
114,Karim Onisiwo,1. FSV Mainz 05,3.0,3.0,1496,24,AUT
114,Marvin Pieringer,1. FC Heidenheim 1846,3.0,3.0,1520,31,GER
114,Mohamed Simakan,RB Leipzig,3.0,3.0,2139,32,FRA
114,Rocco Reitz,Borussia Mönchengladbach,3.0,3.0,2141,34,GER
114,Senne Lynen,SV Werder Bremen,3.0,3.0,1791,32,BEL
114,Woo-Yeong Jeong,VfB Stuttgart,3.0,3.0,618,26,KOR
