Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
117,Kevin Paredes,VfL Wolfsburg,4.0,0.0,1429,28,USA
117,Leroy Sané,Bayern München,4.0,0.0,2142,27,GER
117,Linton Maina,FC Köln,4.0,0.0,1904,31,GER
117,Ludovic Ajorque,1. FSV Mainz 05,4.0,0.0,1355,26,FRA
117,Max Finkgrafe,FC Köln,4.0,0.0,1756,24,GER
117,Maximilian Wittek,VfL Bochum,4.0,0.0,1067,21,GER
117,Moritz Broschinski,VfL Bochum,4.0,0.0,1242,26,GER
117,Nico Schlotterbeck,Borussia Dortmund,4.0,0.0,2861,33,GER
117,Niklas Stark,SV Werder Bremen,4.0,0.0,1086,17,GER
117,Ridle Baku,VfL Wolfsburg,4.0,0.0,2011,33,GER
117,Robert Andrich,Bayer 04 Leverkusen,4.0,0.0,1681,28,GER
117,Silvan Widmer,1. FSV Mainz 05,4.0,0.0,1243,20,SUI
117,Tomas Cvancara,Borussia Mönchengladbach,4.0,0.0,892,21,CZE
117,Wout Weghorst,TSG Hoffenheim,4.0,0.0,1987,28,NED
149,Maxence Lacroix,VfL Wolfsburg,3.0,3.0,2364,28,FRA
150,Felix Uduokhai,FC Augsburg,3.0,1.0,2922,33,GER
150,Manuel Gulde,SC Freiburg,3.0,1.0,2048,27,GER
150,Marcel Sabitzer,Borussia Dortmund,3.0,1.0,1964,25,AUT
150,Mario Götze,Eintracht Frankfurt,3.0,1.0,2075,30,GER
150,Merlin Röhl,SC Freiburg,3.0,1.0,1483,24,GER
150,Niels Nkounkou,Eintracht Frankfurt,3.0,1.0,1301,29,FRA
150,Patrick Wimmer,VfL Wolfsburg,3.0,1.0,594,14,AUT
157,Andreas Müller,SV Darmstadt,3.0,0.0,341,11,GER
157,Anthony Rouault,VfB Stuttgart,3.0,0.0,1008,22,FRA
157,Castello Lukeba,RB Leipzig,3.0,0.0,2185,32,FRA
157,Christoph Baumgartner,RB Leipzig,3.0,0.0,1149,32,AUT
157,Davie Selke,FC Köln,3.0,0.0,1271,19,GER
157,Felix Nmecha,Borussia Dortmund,3.0,0.0,1016,20,GER
157,Florian Wirtz,Bayer 04 Leverkusen,3.0,0.0,2377,32,GER
157,Goncalo Paciencia,VfL Bochum,3.0,0.0,645,19,POR
157,Hugo Ekitike,Eintracht Frankfurt,3.0,0.0,717,14,FRA
157,Ihlas Bebou,TSG Hoffenheim,3.0,0.0,1628,32,TOG
157,Jamie Leweling,VfB Stuttgart,3.0,0.0,1519,34,GER
157,Jan Schöppner,1. FC Heidenheim 1846,3.0,0.0,2000,26,GER
157,Jonas Hofmann,Bayer 04 Leverkusen,3.0,0.0,2214,32,GER
157,Jonas Wind,VfL Wolfsburg,3.0,0.0,2660,34,DEN
157,Josip Stanisic,Bayer 04 Leverkusen,3.0,0.0,1257,20,CRO
157,Julian Ryerson,Borussia Dortmund,3.0,0.0,1772,21,NOR
157,Kevin Kampl,RB Leipzig,3.0,0.0,1360,26,SVN
157,Konrad Laimer,Bayern München,3.0,0.0,1770,29,AUT
157,Leon Goretzka,Bayern München,3.0,0.0,2242,30,GER
157,Luca Pfeiffer,SV Darmstadt,3.0,0.0,1625,24,GER
157,Lukas Klostermann,RB Leipzig,3.0,0.0,1433,25,GER
157,Marco Richter,1. FSV Mainz 05,3.0,0.0,713,20,GER
157,Marvin Mehlem,SV Darmstadt,3.0,0.0,1491,20,GER
157,Matthias Ginter,SC Freiburg,3.0,0.0,1918,23,GER
157,Maximilian Bauer,FC Augsburg,3.0,0.0,808,14,GER
157,Min-Jae Kim,Bayern München,3.0,0.0,1970,25,KOR
157,Norman Theuerkauf,1. FC Heidenheim 1846,3.0,0.0,1257,25,GER
157,Noussair Mazraoui,Bayern München,3.0,0.0,1197,19,MAR
157,Odilon Kossounou,Bayer 04 Leverkusen,3.0,0.0,1812,22,CIV
157,Philipp Lienhart,SC Freiburg,3.0,0.0,1265,15,AUT
157,Robert Gumny,FC Augsburg,3.0,0.0,477,13,POL
157,Robin Zentner,1. FSV Mainz 05,3.0,0.0,2700,30,GER
157,Ruben Vargas,FC Augsburg,3.0,0.0,1978,31,SUI
157,Salih Özcan,Borussia Dortmund,3.0,0.0,1179,23,TUR
157,Stefan Bell,1. FSV Mainz 05,3.0,0.0,669,10,GER
157,Tiago Tomás,VfL Wolfsburg,3.0,0.0,1029,26,POR
157,Tim Breithaupt,FC Augsburg,3.0,0.0,625,16,GER
157,Vincenzo Grifo,SC Freiburg,3.0,0.0,2344,32,ITA
195,Christopher Trimmel,1. FC Union Berlin,2.0,1.0,1653,26,AUT
195,Felix Passlack,VfL Bochum,2.0,1.0,966,15,GER
195,Jessic Ngankam,Eintracht Frankfurt,2.0,1.0,450,22,GER
195,Kilian Sildillia,SC Freiburg,2.0,1.0,1804,27,FRA
195,Maximilian Wöber,Borussia Mönchengladbach,2.0,1.0,2070,25,AUT
195,Ramy Bensebaini,Borussia Dortmund,2.0,1.0,1030,17,ALG
201,Aissa Laidouni,1. FC Union Berlin,2.0,0.0,1064,23,TUN
201,Alex Kral,1. FC Union Berlin,2.0,0.0,1365,24,CZE
201,Alexander Brunst-Zöllner,SV Darmstadt,2.0,0.0,270,3,GER
201,Aymen Barkok,1. FSV Mainz 05,2.0,0.0,312,13,MAR
201,Benedict Hollerbach,1. FC Union Berlin,2.0,0.0,1283,28,GER
201,Chris Führich,VfB Stuttgart,2.0,0.0,2594,34,GER
201,Clemens Riedel,SV Darmstadt,2.0,0.0,754,14,GER
201,Danilho Doekhi,1. FC Union Berlin,2.0,0.0,2160,24,NED
201,Dion Drena Beljo,FC Augsburg,2.0,0.0,562,26,CRO
201,Fabian Nürnberger,SV Darmstadt,2.0,0.0,1519,21,GER
201,Fares Chaibi,Eintracht Frankfurt,2.0,0.0,1920,28,ALG
201,Felix Agu,SV Werder Bremen,2.0,0.0,1621,24,GER
201,Florian Pick,1. FC Heidenheim 1846,2.0,0.0,315,22,GER
201,Frederik Rønnow,1. FC Union Berlin,2.0,0.0,2970,33,DEN
201,Harry Kane,Bayern München,2.0,0.0,2843,32,ENG
201,Jamal Musiala,Bayern München,2.0,0.0,1766,24,GER
201,Jérome Roussillon,1. FC Union Berlin,2.0,0.0,743,23,FRA
201,Jonas Föhrenbach,1. FC Heidenheim 1846,2.0,0.0,2790,33,GER
201,Jonathan Burkardt,1. FSV Mainz 05,2.0,0.0,1541,21,GER
201,Jordan Pefok,Borussia Mönchengladbach,2.0,0.0,1450,26,USA
201,Josha Vagnoman,VfB Stuttgart,2.0,0.0,1181,18,GER
201,Julian Brandt,Borussia Dortmund,2.0,0.0,2230,32,GER
201,Kevin Trapp,Eintracht Frankfurt,2.0,0.0,2880,32,GER
201,Koen Casteels,VfL Wolfsburg,2.0,0.0,2250,25,BEL
201,Luca Netz,Borussia Mönchengladbach,2.0,0.0,2231,30,GER
201,Lukas Daschner,VfL Bochum,2.0,0.0,525,20,GER
201,Lukas Hradecky,Bayer 04 Leverkusen,2.0,0.0,2970,33,FIN
201,Marcel Schuhen,SV Darmstadt,2.0,0.0,2790,31,GER
201,Marco Reus,Borussia Dortmund,2.0,0.0,1612,26,GER
201,Marius Wolf,Borussia Dortmund,2.0,0.0,1161,22,GER
201,Mark Uth,FC Köln,2.0,0.0,369,11,GER
201,Mathys Tel,Bayern München,2.0,0.0,1031,30,FRA
201,Maximilian Philipp,SC Freiburg,2.0,0.0,311,17,GER
201,Michael Gregoritsch,SC Freiburg,2.0,0.0,1684,32,AUT
201,Michael Zetterer,SV Werder Bremen,2.0,0.0,2430,27,GER
201,Milos Veljkovic,SV Werder Bremen,2.0,0.0,1921,23,SRB
201,Moritz Nicolas,Borussia Mönchengladbach,2.0,0.0,2430,27,GER
201,Naby Keita,SV Werder Bremen,2.0,0.0,108,5,GUI
201,Nathan Tella,Bayer 04 Leverkusen,2.0,0.0,812,24,NGA
201,Oscar Vilhelmsson,SV Darmstadt,2.0,0.0,1375,26,SWE
201,Philipp Max,Eintracht Frankfurt,2.0,0.0,1357,23,GER
201,Piero Hincapié,Bayer 04 Leverkusen,2.0,0.0,1484,26,ECU
201,Raphaël Guerreiro,Bayern München,2.0,0.0,1194,20,POR
201,Ritsu Doan,SC Freiburg,2.0,0.0,2253,30,JPN
201,Robert Skov,TSG Hoffenheim,2.0,0.0,1261,25,DEN
201,Robin Hack,Borussia Mönchengladbach,2.0,0.0,1345,29,GER
201,Rocco Reitz,Borussia Mönchengladbach,2.0,0.0,2141,34,GER
201,Sargis Adamyan,FC Köln,2.0,0.0,797,20,ARM
201,Sebastien Haller,Borussia Dortmund,2.0,0.0,389,14,CIV
201,Stefan Lainer,Borussia Mönchengladbach,2.0,0.0,749,15,AUT
201,Sven Michel,FC Augsburg,2.0,0.0,574,22,GER
201,Takuma Asano,VfL Bochum,2.0,0.0,2003,29,JPN
201,Tim Oermann,VfL Bochum,2.0,0.0,709,16,GER
201,Václav Cerny,VfL Wolfsburg,2.0,0.0,923,22,CZE
201,Victor Okoh Boniface,Bayer 04 Leverkusen,2.0,0.0,1553,23,NGA
201,Willi Orban,RB Leipzig,2.0,0.0,1583,19,HUN
257,Kevin Volland,1. FC Union Berlin,1.0,2.0,1346,26,GER
257,Tuta,Eintracht Frankfurt,1.0,2.0,2605,30,BRA
259,András Schäfer,1. FC Union Berlin,1.0,1.0,1218,20,HUN
259,Arne Engels,FC Augsburg,1.0,1.0,1398,32,BEL
259,Brenden Aaronson,1. FC Union Berlin,1.0,1.0,1263,30,USA
259,Dayot Upamecano,Bayern München,1.0,1.0,1763,25,FRA
259,Joshua Kimmich,Bayern München,1.0,1.0,2185,28,GER
259,Marius Bülter,TSG Hoffenheim,1.0,1.0,1346,30,GER
259,Moritz-Broni Kwarteng,VfL Bochum,1.0,1.0,275,11,GER
259,Pascal Stenzel,VfB Stuttgart,1.0,1.0,1068,23,GER
259,Stanley N'Soki,TSG Hoffenheim,1.0,1.0,632,11,FRA
268,Aaron Seydel,SV Darmstadt,1.0,0.0,615,16,GER
268,Adam Hlozek,Bayer 04 Leverkusen,1.0,0.0,451,23,CZE
268,Adrian Beck,1. FC Heidenheim 1846,1.0,0.0,971,23,GER
268,Alassane Plea,Borussia Mönchengladbach,1.0,0.0,1925,27,FRA
268,Alejandro Grimaldo,Bayer 04 Leverkusen,1.0,0.0,2785,33,ESP
268,Alexander Nübel,VfB Stuttgart,1.0,0.0,2700,30,GER
268,Attila Szalai,TSG Hoffenheim,1.0,0.0,390,7,HUN
268,Braydon Manu,SV Darmstadt,1.0,0.0,171,4,GHA
268,Bryan Zaragoza,Bayern München,1.0,0.0,178,7,ESP
268,Christian Gross,SV Werder Bremen,1.0,0.0,792,20,GER
268,Christian Günter,SC Freiburg,1.0,0.0,1064,15,GER
268,Dan-Axel Zagadou,VfB Stuttgart,1.0,0.0,1453,19,FRA
268,Danny da Costa,1. FSV Mainz 05,1.0,0.0,826,19,GER
268,David Jurasek,TSG Hoffenheim,1.0,0.0,490,13,CZE
268,Dennis Geiger,TSG Hoffenheim,1.0,0.0,62,3,GER
268,Donny van de Beek,Eintracht Frankfurt,1.0,0.0,357,8,NED
268,Dzenan Pejcinovic,VfL Wolfsburg,1.0,0.0,33,4,GER
268,Ellyes Skhiri,Eintracht Frankfurt,1.0,0.0,2169,27,TUN
268,Eric Dier,Bayern München,1.0,0.0,1166,15,ENG
268,Eric Maxim Choupo-Moting,Bayern München,1.0,0.0,703,27,CMR
268,Fabian Schnellhardt,SV Darmstadt,1.0,0.0,228,10,GER
268,Filip Stojilkovic,SV Darmstadt,1.0,0.0,148,6,SUI
268,Finn Becker,TSG Hoffenheim,1.0,0.0,596,22,GER
268,Franck Honorat,Borussia Mönchengladbach,1.0,0.0,2358,32,FRA
268,Fraser Hornby,SV Darmstadt,1.0,0.0,214,7,SCO
268,Fredrik Jensen,FC Augsburg,1.0,0.0,1350,22,FIN
268,Gerrit Holtmann,SV Darmstadt,1.0,0.0,388,10,PHI
268,Giovanni Reyna,Borussia Dortmund,1.0,0.0,271,11,USA
268,Gregor Kobel,Borussia Dortmund,1.0,0.0,2366,27,SUI
268,Hiroki Ito,VfB Stuttgart,1.0,0.0,2231,26,JPN
268,Hugo Larsson,Eintracht Frankfurt,1.0,0.0,1885,29,SWE
268,Irvin Cardona,FC Augsburg,1.0,0.0,51,3,FRA
268,Isak Hansen-Aarøen,SV Werder Bremen,1.0,0.0,25,3,NOR
268,Jacob Steen Christensen,FC Köln,1.0,0.0,216,7,DEN
268,Jadon Sancho,Borussia Dortmund,1.0,0.0,954,14,ENG
268,Jamie Bynoe-Gittens,Borussia Dortmund,1.0,0.0,1059,25,ENG
268,Jonas Omlin,Borussia Mönchengladbach,1.0,0.0,630,7,SUI
268,Jordy Makengo,SC Freiburg,1.0,0.0,1022,20,FRA
268,Josuha Guilavogui,1. FSV Mainz 05,1.0,0.0,407,11,FRA
268,Julian Justvan,SV Darmstadt,1.0,0.0,1069,18,GER
268,Julian Malatini,SV Werder Bremen,1.0,0.0,602,11,ARG
268,Justin Njinmah,SV Werder Bremen,1.0,0.0,1012,24,GER
268,Karim Onisiwo,1. FSV Mainz 05,1.0,0.0,1496,24,AUT
268,Kevin Müller,1. FC Heidenheim 1846,1.0,0.0,3060,34,GER
268,Kevin Sessa,1. FC Heidenheim 1846,1.0,0.0,1001,30,GER
268,Kilian Fischer,VfL Wolfsburg,1.0,0.0,292,6,GER
268,Kingsley Coman,Bayern München,1.0,0.0,1123,17,FRA
268,Lennard Maloney,1. FC Heidenheim 1846,1.0,0.0,2292,29,USA
268,Lilian Egloff,VfB Stuttgart,1.0,0.0,103,5,GER
268,Luca Kilian,FC Köln,1.0,0.0,632,13,GER
268,Luca Philipp,TSG Hoffenheim,1.0,0.0,0,1,GER
268,Luca Raimund,VfB Stuttgart,1.0,0.0,28,3,GER
268,Makoto Hasebe,Eintracht Frankfurt,1.0,0.0,217,8,JPN
268,Manuel Neuer,Bayern München,1.0,0.0,2054,23,GER
268,Marnon-Thomas Busch,1. FC Heidenheim 1846,1.0,0.0,592,16,GER
268,Marvin Friedrich,Borussia Mönchengladbach,1.0,0.0,1561,24,GER
268,Mathias Honsak,SV Darmstadt,1.0,0.0,1013,23,AUT
268,Matthias Bader,SV Darmstadt,1.0,0.0,1807,24,GER
268,Merveille Papela,1. FSV Mainz 05,1.0,0.0,253,11,GER
268,Nathan N'Goumou,Borussia Mönchengladbach,1.0,0.0,1381,32,FRA
268,Nick Woltemade,SV Werder Bremen,1.0,0.0,1182,30,GER
268,Niclas Füllkrug,Borussia Dortmund,1.0,0.0,2405,31,GER
268,Nicolai Rapp,SV Werder Bremen,1.0,0.0,76,2,GER
268,Nicolas Cozza,VfL Wolfsburg,1.0,0.0,278,6,FRA
268,Nicolas Seiwald,RB Leipzig,1.0,0.0,708,21,AUT
268,Noah Loosli,VfL Bochum,1.0,0.0,339,10,SUI
268,Noah Weisshaupt,SC Freiburg,1.0,0.0,744,24,GER
268,Oliver Baumann,TSG Hoffenheim,1.0,0.0,3060,34,GER
268,Patrick Herrmann,Borussia Mönchengladbach,1.0,0.0,78,8,GER
268,Patrick Mainka,1. FC Heidenheim 1846,1.0,0.0,3060,34,GER
268,Patrik Schick,Bayer 04 Leverkusen,1.0,0.0,1064,20,CZE
268,Pavao Pervan,VfL Wolfsburg,1.0,0.0,810,9,AUT
268,Pep Biel,FC Augsburg,1.0,0.0,274,11,ESP
268,Philipp Förster,VfL Bochum,1.0,0.0,378,13,GER
268,Philipp Hofmann,VfL Bochum,1.0,0.0,1576,29,GER
268,Philipp Pentke,FC Köln,1.0,0.0,0,1,GER
268,Phillip Tietz,FC Augsburg,1.0,0.0,2405,34,GER
268,Roberto Massimo,VfB Stuttgart,1.0,0.0,79,5,GHA
268,Robin Knoche,1. FC Union Berlin,1.0,0.0,1916,24,GER
268,Ryan Gravenberch,Bayern München,1.0,0.0,9,1,NED
268,Sacha Boey,Bayern München,1.0,0.0,109,2,FRA
268,Skelly Alvero,SV Werder Bremen,1.0,0.0,121,6,FRA
268,Sven Ulreich,Bayern München,1.0,0.0,990,11,GER
268,Thomas Isherwood,SV Darmstadt,1.0,0.0,638,12,SWE
268,Tim Drexler,TSG Hoffenheim,1.0,0.0,573,8,GER
268,Tim Siersleben,1. FC Heidenheim 1846,1.0,0.0,909,14,GER
268,Tobias Kempe,SV Darmstadt,1.0,0.0,1351,24,GER
268,Woo-Yeong Jeong,VfB Stuttgart,1.0,0.0,618,26,KOR
268,Yorbe Vertessen,1. FC Union Berlin,1.0,0.0,593,13,BEL
268,Youssoufa Moukoko,Borussia Dortmund,1.0,0.0,614,20,GER
