Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
139,Omar Traoré,1. FC Heidenheim 1846,1.1,5.0,2474,31,GER
139,Romano Schmid,SV Werder Bremen,1.1,5.0,2614,33,AUT
141,Edmond Tapsoba,Bayer 04 Leverkusen,1.1,4.0,2084,28,BFA
141,Leroy Sané,Bayern München,1.1,4.0,2142,27,GER
141,Ridle Baku,VfL Wolfsburg,1.1,4.0,2011,33,GER
144,Kevin Kampl,RB Leipzig,1.1,3.0,1360,26,SVN
145,Alex Kral,1. FC Union Berlin,1.1,2.0,1365,24,CZE
145,Fabian Nürnberger,SV Darmstadt,1.1,2.0,1519,21,GER
145,Jonathan Burkardt,1. FSV Mainz 05,1.1,2.0,1541,21,GER
145,Robert Skov,TSG Hoffenheim,1.1,2.0,1261,25,DEN
145,Robin Hack,Borussia Mönchengladbach,1.1,2.0,1345,29,GER
145,Rocco Reitz,Borussia Mönchengladbach,1.1,2.0,2141,34,GER
151,Brenden Aaronson,1. FC Union Berlin,1.1,1.0,1263,30,USA
151,Dan-Axel Zagadou,VfB Stuttgart,1.1,1.0,1453,19,FRA
151,Dayot Upamecano,Bayern München,1.1,1.0,1763,25,FRA
151,Philipp Hofmann,VfL Bochum,1.1,1.0,1576,29,GER
155,Atakan Karazor,VfB Stuttgart,1.0,9.0,2630,33,GER
155,Sepp van den Berg,1. FSV Mainz 05,1.0,9.0,2838,33,NED
157,Kevin Vogt,1. FC Union Berlin,1.0,7.0,2643,32,GER
157,Lucas Höler,SC Freiburg,1.0,7.0,2309,33,GER
159,David Raum,RB Leipzig,1.0,6.0,2743,31,GER
159,Maximilian Eggestein,SC Freiburg,1.0,6.0,2918,33,GER
161,Benjamin Henrichs,RB Leipzig,1.0,5.0,2531,33,GER
161,Christoph Zimmermann,SV Darmstadt,1.0,5.0,1216,19,GER
161,Christopher Antwi-Adjej,VfL Bochum,1.0,5.0,1216,25,GHA
161,Granit Xhaka,Bayer 04 Leverkusen,1.0,5.0,2828,33,SUI
161,Mitchell Weiser,SV Werder Bremen,1.0,5.0,2639,30,GER
161,Patrick Osterhage,VfL Bochum,1.0,5.0,1863,24,GER
161,Yannick Gerhardt,VfL Wolfsburg,1.0,5.0,1635,25,GER
168,Jan-Niklas Beste,1. FC Heidenheim 1846,1.0,4.0,2618,31,GER
168,Max Finkgrafe,FC Köln,1.0,4.0,1756,24,GER
168,Wout Weghorst,TSG Hoffenheim,1.0,4.0,1987,28,NED
171,Maxence Lacroix,VfL Wolfsburg,1.0,3.0,2364,28,FRA
171,Tiago Tomás,VfL Wolfsburg,1.0,3.0,1029,26,POR
173,Luca Netz,Borussia Mönchengladbach,1.0,2.0,2231,30,GER
173,Piero Hincapié,Bayer 04 Leverkusen,1.0,2.0,1484,26,ECU
173,Ritsu Doan,SC Freiburg,1.0,2.0,2253,30,JPN
176,Jamie Bynoe-Gittens,Borussia Dortmund,1.0,1.0,1059,25,ENG
176,Niclas Füllkrug,Borussia Dortmund,1.0,1.0,2405,31,GER
176,Noah Weisshaupt,SC Freiburg,1.0,1.0,744,24,GER
176,Tuta,Eintracht Frankfurt,1.0,1.0,2605,30,BRA
180,Eren Dinkci,1. FC Heidenheim 1846,0.9,8.0,2672,33,TUR
181,Erhan Masovic,VfL Bochum,0.9,7.0,2218,29,SRB
181,Jeffrey Gouweleeuw,FC Augsburg,0.9,7.0,2594,30,NED
181,Julian Chabot,FC Köln,0.9,7.0,2707,32,GER
181,Lukas Kübler,SC Freiburg,0.9,7.0,1848,26,GER
185,John Anthony Brooks,TSG Hoffenheim,0.9,6.0,1539,21,USA
186,Umut Tohumcu,TSG Hoffenheim,0.9,5.0,1012,20,GER
187,Elvis Rexhbecaj,FC Augsburg,0.9,4.0,1994,25,GER
187,Emir Karic,SV Darmstadt,0.9,4.0,1781,27,AUT
187,Tomas Cvancara,Borussia Mönchengladbach,0.9,4.0,892,21,CZE
190,Felix Uduokhai,FC Augsburg,0.9,3.0,2922,33,GER
190,Florian Wirtz,Bayer 04 Leverkusen,0.9,3.0,2377,32,GER
190,Jonas Wind,VfL Wolfsburg,0.9,3.0,2660,34,DEN
190,Julian Ryerson,Borussia Dortmund,0.9,3.0,1772,21,NOR
190,Leon Goretzka,Bayern München,0.9,3.0,2242,30,GER
190,Min-Jae Kim,Bayern München,0.9,3.0,1970,25,KOR
190,Norman Theuerkauf,1. FC Heidenheim 1846,0.9,3.0,1257,25,GER
197,Marius Wolf,Borussia Dortmund,0.9,2.0,1161,22,GER
197,Michael Gregoritsch,SC Freiburg,0.9,2.0,1684,32,AUT
197,Václav Cerny,VfL Wolfsburg,0.9,2.0,923,22,CZE
197,Victor Okoh Boniface,Bayer 04 Leverkusen,0.9,2.0,1553,23,NGA
197,Willi Orban,RB Leipzig,0.9,2.0,1583,19,HUN
202,Finn Becker,TSG Hoffenheim,0.9,1.0,596,22,GER
202,Fredrik Jensen,FC Augsburg,0.9,1.0,1350,22,FIN
202,Marius Bülter,TSG Hoffenheim,0.9,1.0,1346,30,GER
202,Patrik Schick,Bayer 04 Leverkusen,0.9,1.0,1064,20,CZE
202,Tobias Kempe,SV Darmstadt,0.9,1.0,1351,24,GER
207,Dani Olmo,RB Leipzig,0.9,0.0,1454,21,ESP
207,Steffen Tigges,FC Köln,0.9,0.0,715,25,GER
209,Waldemar Anton,VfB Stuttgart,0.8,7.0,2888,33,GER
210,Exequiel Palacios,Bayer 04 Leverkusen,0.8,6.0,1840,24,ARG
210,Jae-Sung Lee,1. FSV Mainz 05,0.8,6.0,2124,29,KOR
210,Jeremie Frimpong,Bayer 04 Leverkusen,0.8,6.0,2263,31,NED
213,Amadou Haidara,RB Leipzig,0.8,5.0,1537,21,MLI
213,Matthijs de Ligt,Bayern München,0.8,5.0,1389,22,NED
213,Nadiem Amiri,1. FSV Mainz 05,0.8,5.0,1401,23,GER
216,Florian Kainz,FC Köln,0.8,4.0,2210,33,AUT
216,Iago,FC Augsburg,0.8,4.0,1622,23,BRA
218,Anthony Rouault,VfB Stuttgart,0.8,3.0,1008,22,FRA
218,Felix Nmecha,Borussia Dortmund,0.8,3.0,1016,20,GER
218,Noussair Mazraoui,Bayern München,0.8,3.0,1197,19,MAR
218,Odilon Kossounou,Bayer 04 Leverkusen,0.8,3.0,1812,22,CIV
222,Felix Agu,SV Werder Bremen,0.8,2.0,1621,24,GER
222,Josha Vagnoman,VfB Stuttgart,0.8,2.0,1181,18,GER
224,Danny da Costa,1. FSV Mainz 05,0.8,1.0,826,19,GER
224,Hugo Larsson,Eintracht Frankfurt,0.8,1.0,1885,29,SWE
224,Matthias Bader,SV Darmstadt,0.8,1.0,1807,24,GER
224,Nathan N'Goumou,Borussia Mönchengladbach,0.8,1.0,1381,32,FRA
228,Benjamin Sesko,RB Leipzig,0.8,0.0,1528,31,SVN
228,Maximilian Beier,TSG Hoffenheim,0.8,0.0,2431,33,GER
230,Robin Koch,Eintracht Frankfurt,0.7,10.0,2740,31,GER
231,Willian Pacho,Eintracht Frankfurt,0.7,7.0,2970,33,ECU
232,Benno Schmitz,FC Köln,0.7,5.0,1154,22,GER
232,Joakim Mæhle,VfL Wolfsburg,0.7,5.0,2454,30,DEN
234,Edimilson Fernandes,1. FSV Mainz 05,0.7,4.0,1284,21,SUI
234,Florian Neuhaus,Borussia Mönchengladbach,0.7,4.0,1226,25,GER
234,Kevin Paredes,VfL Wolfsburg,0.7,4.0,1429,28,USA
234,Mats Hummels,Borussia Dortmund,0.7,4.0,1581,25,GER
234,Silvan Widmer,1. FSV Mainz 05,0.7,4.0,1243,20,SUI
239,Lukas Klostermann,RB Leipzig,0.7,3.0,1433,25,GER
239,Manuel Gulde,SC Freiburg,0.7,3.0,2048,27,GER
239,Marcel Sabitzer,Borussia Dortmund,0.7,3.0,1964,25,AUT
242,Christopher Trimmel,1. FC Union Berlin,0.7,2.0,1653,26,AUT
242,Fares Chaibi,Eintracht Frankfurt,0.7,2.0,1920,28,ALG
242,Lukas Daschner,VfL Bochum,0.7,2.0,525,20,GER
242,Takuma Asano,VfL Bochum,0.7,2.0,2003,29,JPN
246,Alassane Plea,Borussia Mönchengladbach,0.7,1.0,1925,27,FRA
246,Hiroki Ito,VfB Stuttgart,0.7,1.0,2231,26,JPN
246,Patrick Mainka,1. FC Heidenheim 1846,0.7,1.0,3060,34,GER
249,Alphonso Davies,Bayern München,0.7,0.0,2067,29,CAN
249,Serhou Guirassy,VfB Stuttgart,0.7,0.0,2212,28,GUI
249,Thomas Müller,Bayern München,0.7,0.0,1659,31,GER
252,Pavel Kaderabek,TSG Hoffenheim,0.6,7.0,2419,29,CZE
253,Donyell Malen,Borussia Dortmund,0.6,5.0,1783,27,NED
254,Joseph Scally,Borussia Mönchengladbach,0.6,4.0,2236,31,USA
255,Jan Schöppner,1. FC Heidenheim 1846,0.6,3.0,2000,26,GER
255,Jonas Hofmann,Bayer 04 Leverkusen,0.6,3.0,2214,32,GER
255,Mario Götze,Eintracht Frankfurt,0.6,3.0,2075,30,GER
258,Ellyes Skhiri,Eintracht Frankfurt,0.6,1.0,2169,27,TUN
258,Marvin Friedrich,Borussia Mönchengladbach,0.6,1.0,1561,24,GER
258,Nicolas Seiwald,RB Leipzig,0.6,1.0,708,21,AUT
258,Woo-Yeong Jeong,VfB Stuttgart,0.6,1.0,618,26,KOR
262,Jakub Kaminski,VfL Wolfsburg,0.6,0.0,465,17,POL
262,Leart Paqarada,FC Köln,0.6,0.0,1073,17,KVX
264,Nico Elvedi,Borussia Mönchengladbach,0.5,5.0,2485,30,SUI
265,Anthony Jung,SV Werder Bremen,0.5,4.0,2583,31,GER
265,Linton Maina,FC Köln,0.5,4.0,1904,31,GER
265,Nico Schlotterbeck,Borussia Dortmund,0.5,4.0,2861,33,GER
268,Vincenzo Grifo,SC Freiburg,0.5,3.0,2344,32,ITA
269,Danilho Doekhi,1. FC Union Berlin,0.5,2.0,2160,24,NED
269,Jérome Roussillon,1. FC Union Berlin,0.5,2.0,743,23,FRA
269,Jonas Föhrenbach,1. FC Heidenheim 1846,0.5,2.0,2790,33,GER
269,Philipp Max,Eintracht Frankfurt,0.5,2.0,1357,23,GER
273,Alejandro Grimaldo,Bayer 04 Leverkusen,0.5,1.0,2785,33,ESP
273,Joshua Kimmich,Bayern München,0.5,1.0,2185,28,GER
273,Justin Njinmah,SV Werder Bremen,0.5,1.0,1012,24,GER
273,Kingsley Coman,Bayern München,0.5,1.0,1123,17,FRA
273,Robin Knoche,1. FC Union Berlin,0.5,1.0,1916,24,GER
278,Niklas Süle,Borussia Dortmund,0.5,0.0,1509,23,GER
279,Josip Stanisic,Bayer 04 Leverkusen,0.4,3.0,1257,20,CRO
279,Matthias Ginter,SC Freiburg,0.4,3.0,1918,23,GER
281,Milos Veljkovic,SV Werder Bremen,0.4,2.0,1921,23,SRB
282,Arne Maier,FC Augsburg,0.4,0.0,998,22,GER
283,Andrej Kramaric,TSG Hoffenheim,0.3,4.0,2206,30,CRO
283,Josip Juranovic,1. FC Union Berlin,0.3,4.0,1290,21,CRO
285,Castello Lukeba,RB Leipzig,0.3,3.0,2185,32,FRA
286,Harry Kane,Bayern München,0.3,2.0,2843,32,ENG
286,Julian Brandt,Borussia Dortmund,0.3,2.0,2230,32,GER
288,Franck Honorat,Borussia Mönchengladbach,0.3,1.0,2358,32,FRA
289,Marvin Ducksch,SV Werder Bremen,0.2,9.0,2710,33,GER
290,Chris Führich,VfB Stuttgart,0.2,2.0,2594,34,GER
290,Raphaël Guerreiro,Bayern München,0.2,2.0,1194,20,POR
292,Julian Justvan,SV Darmstadt,0.2,1.0,1069,18,GER
293,Manuel Riemann,VfL Bochum,0.1,5.0,2970,33,GER
294,Finn Dahmen,FC Augsburg,0.1,4.0,2790,31,GER
295,Gregor Kobel,Borussia Dortmund,0.1,1.0,2366,27,SUI
296,Robin Zentner,1. FSV Mainz 05,0.0,3.0,2700,30,GER
297,Koen Casteels,VfL Wolfsburg,0.0,2.0,2250,25,BEL
297,Moritz Nicolas,Borussia Mönchengladbach,0.0,2.0,2430,27,GER
299,Kevin Müller,1. FC Heidenheim 1846,0.0,1.0,3060,34,GER
299,Manuel Neuer,Bayern München,0.0,1.0,2054,23,GER
299,Oliver Baumann,TSG Hoffenheim,0.0,1.0,3060,34,GER
