Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
84,Phillip Tietz,FC Augsburg,0.7,36.5,2405,34,GER
85,Nikola Dovedan,1. FC Heidenheim 1846,0.7,35.7,646,21,AUT
86,Fares Chaibi,Eintracht Frankfurt,0.7,35.0,1920,28,ALG
87,Alejandro Grimaldo,Bayer 04 Leverkusen,0.7,32.4,2785,33,ESP
87,Jan Thielmann,FC Köln,0.7,32.4,1588,22,GER
89,Christopher Antwi-Adjej,VfL Bochum,0.7,31.0,1216,25,GHA
90,Maximilian Wittek,VfL Bochum,0.7,30.8,1067,21,GER
91,Benedict Hollerbach,1. FC Union Berlin,0.7,29.4,1283,28,GER
92,Tim Skarke,SV Darmstadt,0.7,29.0,2418,30,GER
93,Julian Brandt,Borussia Dortmund,0.6,48.5,2230,32,GER
94,Rocco Reitz,Borussia Mönchengladbach,0.6,42.4,2141,34,GER
95,Ansgar Knauff,Eintracht Frankfurt,0.6,35.1,2117,31,GER
96,Jae-Sung Lee,1. FSV Mainz 05,0.6,34.2,2124,29,KOR
97,Moritz Broschinski,VfL Bochum,0.6,30.8,1242,26,GER
98,Jakub Kaminski,VfL Wolfsburg,0.6,30.0,465,17,POL
99,Jordan Pefok,Borussia Mönchengladbach,0.6,28.6,1450,26,USA
100,Leon Goretzka,Bayern München,0.6,26.8,2242,30,GER
101,Mattias Svanberg,VfL Wolfsburg,0.6,26.2,1725,25,SWE
102,Nadiem Amiri,1. FSV Mainz 05,0.6,25.6,1401,23,GER
103,Kevin Sessa,1. FC Heidenheim 1846,0.6,24.1,1001,30,GER
104,Kevin Stöger,VfL Bochum,0.6,24.0,2678,32,AUT
105,Kingsley Coman,Bayern München,0.6,23.5,1123,17,FRA
106,Jérome Roussillon,1. FC Union Berlin,0.5,57.1,743,23,FRA
107,Matthijs de Ligt,Bayern München,0.5,50.0,1389,22,NED
108,Yannick Gerhardt,VfL Wolfsburg,0.5,47.4,1635,25,GER
109,Keven Schlotterbeck,VfL Bochum,0.5,44.4,2184,27,GER
110,Amadou Haidara,RB Leipzig,0.5,42.9,1537,21,MLI
111,Kevin Paredes,VfL Wolfsburg,0.5,42.1,1429,28,USA
112,Josha Vagnoman,VfB Stuttgart,0.5,41.2,1181,18,GER
112,Olivier Deman,SV Werder Bremen,0.5,41.2,1359,29,BEL
114,Leandro Barreiro,1. FSV Mainz 05,0.5,39.5,2606,31,LUX
115,Robert Andrich,Bayer 04 Leverkusen,0.5,39.1,1681,28,GER
