Rank,Player,Team,Blocks per 90,Total Blocks,Minutes,Matches,Country
1,Julian Chabot,FC Köln,1.4,43.0,2707,32,GER
2,Ivan Ordets,VfL Bochum,1.4,29.0,1879,24,UKR
3,Marco Friedl,SV Werder Bremen,1.2,29.0,2198,25,AUT
4,Matthias Ginter,SC Freiburg,1.2,26.0,1918,23,GER
5,Cedric Zesiger,VfL Wolfsburg,1.2,21.0,1634,23,SUI
6,Marvin Friedrich,Borussia Mönchengladbach,1.2,20.0,1561,24,GER
7,Sepp van den Berg,1. FSV Mainz 05,1.1,36.0,2838,33,NED
8,Felix Uduokhai,FC Augsburg,1.1,35.0,2922,33,GER
9,Maximilian Wöber,Borussia Mönchengladbach,1.1,26.0,2070,25,AUT
10,Dan-Axel Zagadou,VfB Stuttgart,1.1,18.0,1453,19,FRA
11,Kevin Vogt,1. FC Union Berlin,1.0,28.0,2643,32,GER
12,Danilho Doekhi,1. FC Union Berlin,1.0,25.0,2160,24,NED
13,Ko Itakura,Borussia Mönchengladbach,1.0,18.0,1598,20,JPN
14,John Anthony Brooks,TSG Hoffenheim,1.0,17.0,1539,21,USA
15,Christoph Zimmermann,SV Darmstadt,1.0,14.0,1216,19,GER
16,Patrick Mainka,1. FC Heidenheim 1846,0.9,32.0,3060,34,GER
17,Bernardo,VfL Bochum,0.9,30.0,2924,33,BRA
18,Timo Hübers,FC Köln,0.9,28.0,2779,31,GER
19,Nico Elvedi,Borussia Mönchengladbach,0.9,25.0,2485,30,SUI
20,Jens Stage,SV Werder Bremen,0.9,23.0,2334,30,DEN
20,Keven Schlotterbeck,VfL Bochum,0.9,23.0,2184,27,GER
22,Milos Veljkovic,SV Werder Bremen,0.9,20.0,1921,23,SRB
23,Min-Jae Kim,Bayern München,0.9,19.0,1970,25,KOR
23,Robin Knoche,1. FC Union Berlin,0.9,19.0,1916,24,GER
25,Moritz Jenz,VfL Wolfsburg,0.9,17.0,1745,22,GER
26,Klaus Gjasula,SV Darmstadt,0.9,14.0,1366,22,ALB
27,Nico Schlotterbeck,Borussia Dortmund,0.8,25.0,2861,33,GER
28,Jeffrey Gouweleeuw,FC Augsburg,0.8,24.0,2594,30,NED
28,Robin Koch,Eintracht Frankfurt,0.8,24.0,2740,31,GER
30,Jonathan Tah,Bayer 04 Leverkusen,0.8,23.0,2632,31,GER
31,Ozan Kabak,TSG Hoffenheim,0.8,21.0,2290,28,TUR
32,Christoph Klarer,SV Darmstadt,0.8,20.0,2356,30,AUT
32,Florian Grillitsch,TSG Hoffenheim,0.8,20.0,2297,30,AUT
32,Rocco Reitz,Borussia Mönchengladbach,0.8,20.0,2141,34,GER
35,Benedikt Gimber,1. FC Heidenheim 1846,0.8,17.0,2026,24,GER
36,Niklas Süle,Borussia Dortmund,0.8,14.0,1509,23,GER
37,Lukas Klostermann,RB Leipzig,0.8,12.0,1433,25,GER
37,Sebastiaan Bornauw,VfL Wolfsburg,0.8,12.0,1431,20,BEL
39,Diogo Leite,1. FC Union Berlin,0.7,22.0,2708,32,POR
39,Willian Pacho,Eintracht Frankfurt,0.7,22.0,2970,33,ECU
41,Eric Martel,FC Köln,0.7,19.0,2464,30,GER
42,Hiroki Ito,VfB Stuttgart,0.7,17.0,2231,26,JPN
43,Kilian Sildillia,SC Freiburg,0.7,15.0,1804,27,FRA
43,Lukas Kübler,SC Freiburg,0.7,15.0,1848,26,GER
45,Willi Orban,RB Leipzig,0.7,13.0,1583,19,HUN
46,Anthony Rouault,VfB Stuttgart,0.7,8.0,1008,22,FRA
46,Kevin Akpoguma,TSG Hoffenheim,0.7,8.0,1095,17,NGA
46,Pascal Stenzel,VfB Stuttgart,0.7,8.0,1068,23,GER
49,Christian Gross,SV Werder Bremen,0.7,6.0,792,20,GER
50,Waldemar Anton,VfB Stuttgart,0.6,20.0,2888,33,GER
51,Jonas Föhrenbach,1. FC Heidenheim 1846,0.6,19.0,2790,33,GER
52,Maximilian Eggestein,SC Freiburg,0.6,18.0,2918,33,GER
53,Anthony Jung,SV Werder Bremen,0.6,17.0,2583,31,GER
54,Leandro Barreiro,1. FSV Mainz 05,0.6,16.0,2606,31,LUX
54,Nicolas Höfler,SC Freiburg,0.6,16.0,2332,28,GER
56,Manuel Gulde,SC Freiburg,0.6,14.0,2048,27,GER
56,Mohamed Simakan,RB Leipzig,0.6,14.0,2139,32,FRA
58,Fabian Holland,SV Darmstadt,0.6,12.0,1847,23,GER
59,Emir Karic,SV Darmstadt,0.6,11.0,1781,27,AUT
59,Matej Maglica,SV Darmstadt,0.6,11.0,1701,26,CRO
59,Mats Hummels,Borussia Dortmund,0.6,11.0,1581,25,GER
62,Matthijs de Ligt,Bayern München,0.6,10.0,1389,22,NED
63,Niklas Dorsch,FC Augsburg,0.6,9.0,1387,21,GER
64,Niklas Stark,SV Werder Bremen,0.6,7.0,1086,17,GER
64,Ramy Bensebaini,Borussia Dortmund,0.6,7.0,1030,17,ALG
66,Julian Weigl,Borussia Mönchengladbach,0.5,14.0,2766,31,GER
67,Castello Lukeba,RB Leipzig,0.5,13.0,2185,32,FRA
68,Marcel Sabitzer,Borussia Dortmund,0.5,12.0,1964,25,AUT
68,Maxence Lacroix,VfL Wolfsburg,0.5,12.0,2364,28,FRA
70,Max Finkgrafe,FC Köln,0.5,10.0,1756,24,GER
71,Lucas Tousart,1. FC Union Berlin,0.5,9.0,1573,23,FRA
71,Rasmus Carstensen,FC Köln,0.5,9.0,1658,23,DEN
73,Olivier Deman,SV Werder Bremen,0.5,8.0,1359,29,BEL
74,Cristian Gamboa,VfL Bochum,0.5,7.0,1187,22,CRC
74,Kevin Kampl,RB Leipzig,0.5,7.0,1360,26,SVN
76,Aster Vranckx,VfL Wolfsburg,0.5,6.0,1143,24,BEL
77,Jérome Roussillon,1. FC Union Berlin,0.5,4.0,743,23,FRA
78,Angelo Stiller,VfB Stuttgart,0.4,13.0,2780,32,GER
79,Anton Stach,TSG Hoffenheim,0.4,12.0,2497,33,GER
79,Tuta,Eintracht Frankfurt,0.4,12.0,2605,30,BRA
81,Joseph Scally,Borussia Mönchengladbach,0.4,11.0,2236,31,USA
82,Edmond Tapsoba,Bayer 04 Leverkusen,0.4,10.0,2084,28,BFA
82,Erhan Masovic,VfL Bochum,0.4,10.0,2218,29,SRB
82,Luca Netz,Borussia Mönchengladbach,0.4,10.0,2231,30,GER
85,Kevin Mbabu,FC Augsburg,0.4,9.0,2048,25,SUI
85,Lennard Maloney,1. FC Heidenheim 1846,0.4,9.0,2292,29,USA
85,Patrick Osterhage,VfL Bochum,0.4,9.0,1863,24,GER
85,Robin Gosens,1. FC Union Berlin,0.4,9.0,2297,30,GER
89,Iago,FC Augsburg,0.4,8.0,1622,23,BRA
89,Senne Lynen,SV Werder Bremen,0.4,8.0,1791,32,BEL
89,Wout Weghorst,TSG Hoffenheim,0.4,8.0,1987,28,NED
92,Dayot Upamecano,Bayern München,0.4,7.0,1763,25,FRA
92,Felix Agu,SV Werder Bremen,0.4,7.0,1621,24,GER
92,Julian Ryerson,Borussia Dortmund,0.4,7.0,1772,21,NOR
92,Piero Hincapié,Bayer 04 Leverkusen,0.4,7.0,1484,26,ECU
96,Amadou Haidara,RB Leipzig,0.4,6.0,1537,21,MLI
96,Edimilson Fernandes,1. FSV Mainz 05,0.4,6.0,1284,21,SUI
96,Florian Neuhaus,Borussia Mönchengladbach,0.4,6.0,1226,25,GER
96,Norman Theuerkauf,1. FC Heidenheim 1846,0.4,6.0,1257,25,GER
100,Felix Nmecha,Borussia Dortmund,0.4,5.0,1016,20,GER
100,Josha Vagnoman,VfB Stuttgart,0.4,5.0,1181,18,GER
100,Leart Paqarada,FC Köln,0.4,5.0,1073,17,KVX
100,Silvan Widmer,1. FSV Mainz 05,0.4,5.0,1243,20,SUI
104,Danny da Costa,1. FSV Mainz 05,0.4,4.0,826,19,GER
104,Jordy Makengo,SC Freiburg,0.4,4.0,1022,20,FRA
106,Denis Thomalla,1. FC Heidenheim 1846,0.4,2.0,432,21,GER
107,David Raum,RB Leipzig,0.3,9.0,2743,31,GER
108,Anthony Losilla,VfL Bochum,0.3,8.0,2586,31,FRA
108,Atakan Karazor,VfB Stuttgart,0.3,8.0,2630,33,GER
108,Granit Xhaka,Bayer 04 Leverkusen,0.3,8.0,2828,33,SUI
108,Leon Goretzka,Bayern München,0.3,8.0,2242,30,GER
108,Pavel Kaderabek,TSG Hoffenheim,0.3,8.0,2419,29,CZE
108,Tim Kleindienst,1. FC Heidenheim 1846,0.3,8.0,2874,33,GER
108,Xaver Schlager,RB Leipzig,0.3,8.0,2482,29,AUT
115,Anthony Caci,1. FSV Mainz 05,0.3,7.0,2493,31,FRA
115,Elvis Rexhbecaj,FC Augsburg,0.3,7.0,1994,25,GER
115,Emre Can,Borussia Dortmund,0.3,7.0,1956,25,GER
115,Eric Ebimbe,Eintracht Frankfurt,0.3,7.0,1967,31,FRA
115,Hugo Larsson,Eintracht Frankfurt,0.3,7.0,1885,29,SWE
115,Jan Schöppner,1. FC Heidenheim 1846,0.3,7.0,2000,26,GER
115,Omar Traoré,1. FC Heidenheim 1846,0.3,7.0,2474,31,GER
122,Grischa Prömel,TSG Hoffenheim,0.3,6.0,2146,28,GER
122,Jan Thielmann,FC Köln,0.3,6.0,1588,22,GER
122,Konrad Laimer,Bayern München,0.3,6.0,1770,29,AUT
122,Maximilian Mittelstaedt,VfB Stuttgart,0.3,6.0,2104,31,GER
126,Aurelio Buta,Eintracht Frankfurt,0.3,5.0,1744,30,POR
126,Mattias Svanberg,VfL Wolfsburg,0.3,5.0,1725,25,SWE
126,Oscar Vilhelmsson,SV Darmstadt,0.3,5.0,1375,26,SWE
126,Rani Khedira,1. FC Union Berlin,0.3,5.0,1350,20,GER
130,Alex Kral,1. FC Union Berlin,0.3,4.0,1365,24,CZE
130,András Schäfer,1. FC Union Berlin,0.3,4.0,1218,20,HUN
130,Bartol Franjic,SV Darmstadt,0.3,4.0,1232,20,CRO
130,Benno Schmitz,FC Köln,0.3,4.0,1154,22,GER
130,Janik Haberer,1. FC Union Berlin,0.3,4.0,1223,21,GER
130,Robert Skov,TSG Hoffenheim,0.3,4.0,1261,25,DEN
130,Tobias Kempe,SV Darmstadt,0.3,4.0,1351,24,GER
130,Tom Krauss,1. FSV Mainz 05,0.3,4.0,1339,29,GER
138,Nicolas Seiwald,RB Leipzig,0.3,2.0,708,21,AUT
138,Steffen Tigges,FC Köln,0.3,2.0,715,25,GER
140,Alejandro Grimaldo,Bayer 04 Leverkusen,0.2,7.0,2785,33,ESP
140,Romano Schmid,SV Werder Bremen,0.2,7.0,2614,33,AUT
142,Dominik Kohr,1. FSV Mainz 05,0.2,6.0,2190,31,GER
142,Florian Kainz,FC Köln,0.2,6.0,2210,33,AUT
142,Mitchell Weiser,SV Werder Bremen,0.2,6.0,2639,30,GER
145,Joakim Mæhle,VfL Wolfsburg,0.2,5.0,2454,30,DEN
145,Niclas Füllkrug,Borussia Dortmund,0.2,5.0,2405,31,GER
147,Alphonso Davies,Bayern München,0.2,4.0,2067,29,CAN
147,Donyell Malen,Borussia Dortmund,0.2,4.0,1783,27,NED
147,Ellyes Skhiri,Eintracht Frankfurt,0.2,4.0,2169,27,TUN
147,Jordan Pefok,Borussia Mönchengladbach,0.2,4.0,1450,26,USA
147,Joshua Kimmich,Bayern München,0.2,4.0,2185,28,GER
147,Karim Onisiwo,1. FSV Mainz 05,0.2,4.0,1496,24,AUT
147,Lucas Höler,SC Freiburg,0.2,4.0,2309,33,GER
147,Marvin Pieringer,1. FC Heidenheim 1846,0.2,4.0,1520,31,GER
147,Matthias Bader,SV Darmstadt,0.2,4.0,1807,24,GER
147,Michael Gregoritsch,SC Freiburg,0.2,4.0,1684,32,AUT
147,Robert Andrich,Bayer 04 Leverkusen,0.2,4.0,1681,28,GER
147,Ruben Vargas,FC Augsburg,0.2,4.0,1978,31,SUI
159,Aleksandar Pavlovic,Bayern München,0.2,3.0,1228,19,GER
159,Christopher Trimmel,1. FC Union Berlin,0.2,3.0,1653,26,AUT
159,Davie Selke,FC Köln,0.2,3.0,1271,19,GER
159,Gian-Luca Waldschmidt,FC Köln,0.2,3.0,1151,22,GER
159,Jonathan Burkardt,1. FSV Mainz 05,0.2,3.0,1541,21,GER
