Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
163,Václav Cerny,VfL Wolfsburg,14.0,1.4,923,22,CZE
164,Felix Passlack,VfL Bochum,14.0,1.3,966,15,GER
165,Felix Nmecha,Borussia Dortmund,14.0,1.2,1016,20,GER
166,Benedict Hollerbach,1. FC Union Berlin,14.0,1.0,1283,28,GER
166,Faride Alidou,FC Köln,14.0,1.0,1284,26,GER
168,Marvin Pieringer,1. FC Heidenheim 1846,14.0,0.8,1520,31,GER
168,Yannick Gerhardt,VfL Wolfsburg,14.0,0.8,1635,25,GER
170,Julian Ryerson,Borussia Dortmund,14.0,0.7,1772,21,NOR
171,Justin Njinmah,SV Werder Bremen,13.0,1.2,1012,24,GER
171,Rafael Santos Borre,SV Werder Bremen,13.0,1.2,989,19,COL
173,Yussuf Poulsen,RB Leipzig,13.0,1.0,1209,28,DEN
174,Norman Theuerkauf,1. FC Heidenheim 1846,13.0,0.9,1257,25,GER
174,Olivier Deman,SV Werder Bremen,13.0,0.9,1359,29,BEL
176,Elvis Rexhbecaj,FC Augsburg,13.0,0.6,1994,25,GER
176,Jan Schöppner,1. FC Heidenheim 1846,13.0,0.6,2000,26,GER
176,Patrick Osterhage,VfL Bochum,13.0,0.6,1863,24,GER
179,Bernardo,VfL Bochum,13.0,0.4,2924,33,BRA
179,Jonas Föhrenbach,1. FC Heidenheim 1846,13.0,0.4,2790,33,GER
181,Sheraldo Becker,1. FC Union Berlin,12.0,1.7,649,11,SUR
182,Hugo Ekitike,Eintracht Frankfurt,12.0,1.5,717,14,FRA
183,Sargis Adamyan,FC Köln,12.0,1.4,797,20,ARM
184,Mathias Honsak,SV Darmstadt,12.0,1.1,1013,23,AUT
185,Aissa Laidouni,1. FC Union Berlin,12.0,1.0,1064,23,TUN
185,Mathys Tel,Bayern München,12.0,1.0,1031,30,FRA
187,Benjamin Sesko,RB Leipzig,12.0,0.7,1528,31,SVN
188,Mads Valentin Pedersen,FC Augsburg,12.0,0.6,1783,27,DEN
189,Christoph Klarer,SV Darmstadt,12.0,0.5,2356,30,AUT
189,Maximilian Wöber,Borussia Mönchengladbach,12.0,0.5,2070,25,AUT
191,Eric Martel,FC Köln,12.0,0.4,2464,30,GER
191,Tuta,Eintracht Frankfurt,12.0,0.4,2605,30,BRA
193,Marco Richter,1. FSV Mainz 05,11.0,1.4,713,20,GER
194,Adrian Beck,1. FC Heidenheim 1846,11.0,1.0,971,23,GER
195,Marius Wolf,Borussia Dortmund,11.0,0.9,1161,22,GER
196,Aleksandar Pavlovic,Bayern München,11.0,0.8,1228,19,GER
196,Davie Selke,FC Köln,11.0,0.8,1271,19,GER
196,Josip Stanisic,Bayer 04 Leverkusen,11.0,0.8,1257,20,CRO
196,Salih Özcan,Borussia Dortmund,11.0,0.8,1179,23,TUR
200,Oscar Vilhelmsson,SV Darmstadt,11.0,0.7,1375,26,SWE
201,Matus Bero,VfL Bochum,11.0,0.6,1665,24,SVK
202,Kilian Sildillia,SC Freiburg,11.0,0.5,1804,27,FRA
203,Mark Uth,FC Köln,10.0,2.4,369,11,GER
204,Lukas Daschner,VfL Bochum,10.0,1.7,525,20,GER
205,Sven Michel,FC Augsburg,10.0,1.6,574,22,GER
206,Steffen Tigges,FC Köln,10.0,1.3,715,25,GER
207,Tiago Tomás,VfL Wolfsburg,10.0,0.9,1029,26,POR
208,Cristian Gamboa,VfL Bochum,10.0,0.8,1187,22,CRC
209,Janik Haberer,1. FC Union Berlin,10.0,0.7,1223,21,GER
210,Hugo Larsson,Eintracht Frankfurt,10.0,0.5,1885,29,SWE
210,Odilon Kossounou,Bayer 04 Leverkusen,10.0,0.5,1812,22,CIV
212,Keven Schlotterbeck,VfL Bochum,10.0,0.4,2184,27,GER
213,Florian Pick,1. FC Heidenheim 1846,9.0,2.6,315,22,GER
214,Philipp Förster,VfL Bochum,9.0,2.1,378,13,GER
215,Serge Gnabry,Bayern München,9.0,1.9,433,10,GER
216,Adam Hlozek,Bayer 04 Leverkusen,9.0,1.8,451,23,CZE
217,Aaron Seydel,SV Darmstadt,9.0,1.3,615,16,GER
217,Goncalo Paciencia,VfL Bochum,9.0,1.3,645,19,POR
217,Woo-Yeong Jeong,VfB Stuttgart,9.0,1.3,618,26,KOR
220,Danny da Costa,1. FSV Mainz 05,9.0,1.0,826,19,GER
221,Karim Adeyemi,Borussia Dortmund,9.0,0.9,911,21,GER
222,Patrik Schick,Bayer 04 Leverkusen,9.0,0.8,1064,20,CZE
222,Umut Tohumcu,TSG Hoffenheim,9.0,0.8,1012,20,GER
224,Aurelio Buta,Eintracht Frankfurt,9.0,0.5,1744,30,POR
224,Matej Maglica,SV Darmstadt,9.0,0.5,1701,26,CRO
224,Mats Hummels,Borussia Dortmund,9.0,0.5,1581,25,GER
227,Edmond Tapsoba,Bayer 04 Leverkusen,9.0,0.4,2084,28,BFA
228,Felix Uduokhai,FC Augsburg,9.0,0.3,2922,33,GER
228,Julian Chabot,FC Köln,9.0,0.3,2707,32,GER
228,Nicolas Höfler,SC Freiburg,9.0,0.3,2332,28,GER
228,Waldemar Anton,VfB Stuttgart,9.0,0.3,2888,33,GER
232,Dion Drena Beljo,FC Augsburg,8.0,1.3,562,26,CRO
233,Nikola Dovedan,1. FC Heidenheim 1846,8.0,1.1,646,21,AUT
234,Jérome Roussillon,1. FC Union Berlin,8.0,1.0,743,23,FRA
234,Stefan Lainer,Borussia Mönchengladbach,8.0,1.0,749,15,AUT
236,Christian Gross,SV Werder Bremen,8.0,0.9,792,20,GER
237,Anthony Rouault,VfB Stuttgart,8.0,0.7,1008,22,FRA
238,Ian Maatsen,Borussia Dortmund,8.0,0.6,1269,16,NED
238,Kristijan Jakic,FC Augsburg,8.0,0.6,1253,18,CRO
240,Min-Jae Kim,Bayern München,8.0,0.4,1970,25,KOR
241,Lennard Maloney,1. FC Heidenheim 1846,8.0,0.3,2292,29,USA
241,Maxence Lacroix,VfL Wolfsburg,8.0,0.3,2364,28,FRA
241,Ozan Kabak,TSG Hoffenheim,8.0,0.3,2290,28,TUR
244,Mahmoud Dahoud,VfB Stuttgart,7.0,2.9,217,13,SYR
245,Giovanni Reyna,Borussia Dortmund,7.0,2.3,271,11,USA
246,Dominique Heintz,FC Köln,7.0,1.1,565,12,GER
246,Yorbe Vertessen,1. FC Union Berlin,7.0,1.1,593,13,BEL
248,Youssoufa Moukoko,Borussia Dortmund,7.0,1.0,614,20,GER
249,Tomas Cvancara,Borussia Mönchengladbach,7.0,0.7,892,21,CZE
250,Josha Vagnoman,VfB Stuttgart,7.0,0.5,1181,18,GER
250,Tom Krauss,1. FSV Mainz 05,7.0,0.5,1339,29,GER
252,Felix Agu,SV Werder Bremen,7.0,0.4,1621,24,GER
252,Lucas Tousart,1. FC Union Berlin,7.0,0.4,1573,23,FRA
252,Willi Orban,RB Leipzig,7.0,0.4,1583,19,HUN
255,Sepp van den Berg,1. FSV Mainz 05,7.0,0.2,2838,33,NED
256,Florent Muslija,SC Freiburg,6.0,5.6,97,10,KVX
257,Emil Forsberg,RB Leipzig,6.0,1.2,460,14,SWE
257,Jakub Kaminski,VfL Wolfsburg,6.0,1.2,465,17,POL
259,David Jurasek,TSG Hoffenheim,6.0,1.1,490,13,CZE
260,Finn Becker,TSG Hoffenheim,6.0,0.9,596,22,GER
261,Clemens Riedel,SV Darmstadt,6.0,0.7,754,14,GER
262,Rogério,VfL Wolfsburg,6.0,0.6,906,13,BRA
263,Ramy Bensebaini,Borussia Dortmund,6.0,0.5,1030,17,ALG
264,Klaus Gjasula,SV Darmstadt,6.0,0.4,1366,22,ALB
264,Piero Hincapié,Bayer 04 Leverkusen,6.0,0.4,1484,26,ECU
266,Dayot Upamecano,Bayern München,6.0,0.3,1763,25,FRA
266,Milos Veljkovic,SV Werder Bremen,6.0,0.3,1921,23,SRB
268,Anthony Jung,SV Werder Bremen,6.0,0.2,2583,31,GER
268,Diogo Leite,1. FC Union Berlin,6.0,0.2,2708,32,POR
268,Timo Hübers,FC Köln,6.0,0.2,2779,31,GER
268,Willian Pacho,Eintracht Frankfurt,6.0,0.2,2970,33,ECU
272,Justin Diehl,FC Köln,5.0,2.7,165,7,GER
272,Tom Bischof,TSG Hoffenheim,5.0,2.7,169,13,GER
274,Arthur,Bayer 04 Leverkusen,5.0,2.4,184,4,BRA
275,Fraser Hornby,SV Darmstadt,5.0,2.1,214,7,SCO
276,Aymen Barkok,1. FSV Mainz 05,5.0,1.4,312,13,MAR
277,Dawid Kownacki,SV Werder Bremen,5.0,1.2,366,22,POL
277,Gerrit Holtmann,SV Darmstadt,5.0,1.2,388,10,PHI
277,Sebastien Haller,Borussia Dortmund,5.0,1.2,389,14,CIV
280,Jessic Ngankam,1. FSV Mainz 05,5.0,1.0,450,22,GER
281,Leonidas Stergiou,VfB Stuttgart,5.0,0.8,587,15,SUI
281,Marnon-Thomas Busch,1. FC Heidenheim 1846,5.0,0.8,592,16,GER
283,David Datro Fofana,1. FC Union Berlin,5.0,0.7,687,12,CIV
