Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
73,Karim Onisiwo,1. FSV Mainz 05,1.1,52.8,1496,24,AUT
74,Kevin Sessa,1. FC Heidenheim 1846,1.1,50.0,1001,30,GER
75,Ansgar Knauff,Eintracht Frankfurt,1.1,43.1,2117,31,GER
76,Julian Brandt,Borussia Dortmund,1.1,41.5,2230,32,GER
77,Nikola Dovedan,1. FC Heidenheim 1846,1.1,38.1,646,21,AUT
78,Jan Thielmann,FC Köln,1.0,75.0,1588,22,GER
79,Raphaël Guerreiro,Bayern München,1.0,68.4,1194,20,POR
80,Andrej Kramaric,TSG Hoffenheim,1.0,53.2,2206,30,CRO
81,Benjamin Sesko,RB Leipzig,1.0,51.5,1528,31,SVN
82,Anton Stach,TSG Hoffenheim,1.0,46.7,2497,33,GER
82,Tim Skarke,SV Darmstadt,1.0,46.7,2418,30,GER
84,Alassane Plea,Borussia Mönchengladbach,1.0,44.7,1925,27,FRA
85,Roland Sallai,SC Freiburg,1.0,42.9,1850,27,HUN
86,Ruben Vargas,FC Augsburg,1.0,42.3,1978,31,SUI
87,Linton Maina,FC Köln,1.0,41.5,1904,31,GER
88,Leonardo Bittencourt,SV Werder Bremen,1.0,40.5,1585,29,GER
89,Jan-Niklas Beste,1. FC Heidenheim 1846,1.0,40.0,2618,31,GER
90,Noah Weisshaupt,SC Freiburg,1.0,27.6,744,24,GER
91,Josip Stanisic,Bayer 04 Leverkusen,0.9,66.7,1257,20,CRO
92,Emir Karic,SV Darmstadt,0.9,64.3,1781,27,AUT
93,Yussuf Poulsen,RB Leipzig,0.9,63.2,1209,28,DEN
94,Florian Kainz,FC Köln,0.9,57.5,2210,33,AUT
95,Luca Netz,Borussia Mönchengladbach,0.9,52.3,2231,30,GER
96,Noussair Mazraoui,Bayern München,0.9,52.2,1197,19,MAR
97,Marius Wolf,Borussia Dortmund,0.9,50.0,1161,22,GER
98,Ermedin Demirovic,FC Augsburg,0.9,48.3,2879,33,BIH
99,Vincenzo Grifo,SC Freiburg,0.9,45.1,2344,32,ITA
100,Matthias Bader,SV Darmstadt,0.9,42.9,1807,24,GER
101,Kevin Paredes,VfL Wolfsburg,0.9,42.4,1429,28,USA
102,Josha Vagnoman,VfB Stuttgart,0.8,71.4,1181,18,GER
103,Anthony Caci,1. FSV Mainz 05,0.8,63.9,2493,31,FRA
104,Felix Nmecha,Borussia Dortmund,0.8,60.0,1016,20,GER
105,Danny da Costa,1. FSV Mainz 05,0.8,58.3,826,19,GER
106,Florian Neuhaus,Borussia Mönchengladbach,0.8,57.9,1226,25,GER
107,Mattias Svanberg,VfL Wolfsburg,0.8,53.6,1725,25,SWE
108,Maximilian Wittek,VfL Bochum,0.8,52.6,1067,21,GER
109,Mario Götze,Eintracht Frankfurt,0.8,48.6,2075,30,GER
109,Ridle Baku,VfL Wolfsburg,0.8,48.6,2011,33,GER
111,Kilian Sildillia,SC Freiburg,0.8,48.5,1804,27,FRA
112,Patrick Osterhage,VfL Bochum,0.8,47.2,1863,24,GER
113,Julian Ryerson,Borussia Dortmund,0.8,47.1,1772,21,NOR
114,Felix Agu,SV Werder Bremen,0.8,45.2,1621,24,GER
115,Kevin Stöger,VfL Bochum,0.8,44.6,2678,32,AUT
116,Harry Kane,Bayern München,0.8,44.4,2843,32,ENG
116,Rocco Reitz,Borussia Mönchengladbach,0.8,44.4,2141,34,GER
118,Joakim Mæhle,VfL Wolfsburg,0.8,43.1,2454,30,DEN
119,Franck Honorat,Borussia Mönchengladbach,0.8,42.9,2358,32,FRA
120,Sargis Adamyan,FC Köln,0.8,41.2,797,20,ARM
121,Aissa Laidouni,1. FC Union Berlin,0.8,38.5,1064,23,TUN
122,Moritz Broschinski,VfL Bochum,0.8,36.7,1242,26,GER
123,Adam Hlozek,Bayer 04 Leverkusen,0.8,30.8,451,23,CZE
124,Mathias Honsak,SV Darmstadt,0.8,30.0,1013,23,AUT
125,Finn Becker,TSG Hoffenheim,0.8,29.4,596,22,GER
126,Nathan Tella,Bayer 04 Leverkusen,0.8,18.9,812,24,NGA
127,Kevin Kampl,RB Leipzig,0.7,76.9,1360,26,SVN
128,Castello Lukeba,RB Leipzig,0.7,73.9,2185,32,FRA
129,Xaver Schlager,RB Leipzig,0.7,70.4,2482,29,AUT
130,Kevin Akpoguma,TSG Hoffenheim,0.7,69.2,1095,17,NGA
131,Olivier Deman,SV Werder Bremen,0.7,62.5,1359,29,BEL
132,Emre Can,Borussia Dortmund,0.7,57.7,1956,25,GER
133,Philipp Mwene,1. FSV Mainz 05,0.7,53.6,2003,23,AUT
134,Rasmus Carstensen,FC Köln,0.7,52.0,1658,23,DEN
135,Jonas Hofmann,Bayer 04 Leverkusen,0.7,51.4,2214,32,GER
136,Dejan Ljubicic,FC Köln,0.7,48.4,2055,26,AUT
137,Josip Juranovic,1. FC Union Berlin,0.7,47.6,1290,21,CRO
138,Takuma Asano,VfL Bochum,0.7,47.1,2003,29,JPN
139,Omar Traoré,1. FC Heidenheim 1846,0.7,43.5,2474,31,GER
140,Serhou Guirassy,VfB Stuttgart,0.7,43.2,2212,28,GUI
141,Ikoma Lois Openda,RB Leipzig,0.7,36.4,2716,34,BEL
141,Patrik Schick,Bayer 04 Leverkusen,0.7,36.4,1064,20,CZE
143,Edmond Tapsoba,Bayer 04 Leverkusen,0.6,81.3,2084,28,BFA
144,Angelo Stiller,VfB Stuttgart,0.6,73.9,2780,32,GER
145,Leart Paqarada,FC Köln,0.6,70.0,1073,17,KVX
146,Maximilian Eggestein,SC Freiburg,0.6,58.8,2918,33,GER
147,David Raum,RB Leipzig,0.6,58.1,2743,31,GER
148,Thomas Müller,Bayern München,0.6,57.9,1659,31,GER
149,Jérome Roussillon,1. FC Union Berlin,0.6,50.0,743,23,FRA
150,Lucas Tousart,1. FC Union Berlin,0.6,47.6,1573,23,FRA
151,Jae-Sung Lee,1. FSV Mainz 05,0.6,46.9,2124,29,KOR
152,Alejandro Grimaldo,Bayer 04 Leverkusen,0.6,46.5,2785,33,ESP
153,Denis Huseinbasic,FC Köln,0.6,45.5,1627,26,BIH
153,Marvin Mehlem,SV Darmstadt,0.6,45.5,1491,20,GER
155,Janik Haberer,1. FC Union Berlin,0.6,44.4,1223,21,GER
156,Marvin Pieringer,1. FC Heidenheim 1846,0.6,43.5,1520,31,GER
157,Robert Skov,TSG Hoffenheim,0.6,40.9,1261,25,DEN
158,Aurelio Buta,Eintracht Frankfurt,0.6,36.7,1744,30,POR
159,Rafael Santos Borre,SV Werder Bremen,0.6,33.3,989,19,COL
160,Tim Kleindienst,1. FC Heidenheim 1846,0.6,31.7,2874,33,GER
161,Mikkel Kaufmann,1. FC Union Berlin,0.6,30.0,479,18,DEN
162,Woo-Yeong Jeong,VfB Stuttgart,0.6,26.7,618,26,KOR
163,Nicolas Höfler,SC Freiburg,0.5,82.4,2332,28,GER
164,Amadou Haidara,RB Leipzig,0.5,81.8,1537,21,MLI
165,Pascal Stenzel,VfB Stuttgart,0.5,75.0,1068,23,GER
166,Ellyes Skhiri,Eintracht Frankfurt,0.5,70.6,2169,27,TUN
167,Julian Weigl,Borussia Mönchengladbach,0.5,70.0,2766,31,GER
167,Niklas Dorsch,FC Augsburg,0.5,70.0,1387,21,GER
169,Waldemar Anton,VfB Stuttgart,0.5,68.2,2888,33,GER
170,Dawid Kownacki,SV Werder Bremen,0.5,66.7,366,22,POL
170,Nicolas Seiwald,RB Leipzig,0.5,66.7,708,21,AUT
172,Jeffrey Gouweleeuw,FC Augsburg,0.5,65.2,2594,30,NED
173,Granit Xhaka,Bayer 04 Leverkusen,0.5,64.0,2828,33,SUI
174,Florian Grillitsch,TSG Hoffenheim,0.5,61.9,2297,30,AUT
174,Leon Goretzka,Bayern München,0.5,61.9,2242,30,GER
176,Mohamed Simakan,RB Leipzig,0.5,60.0,2139,32,FRA
176,Philipp Hofmann,VfL Bochum,0.5,60.0,1576,29,GER
