Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
369,Lovro Zvonarek,Bayern München,0.1,1.0,160,5,CRO
369,Lukas Nmecha,VfL Wolfsburg,0.1,1.0,39,3,GER
371,Andreas Müller,SV Darmstadt,0.1,0.0,341,11,GER
371,Anthony Rouault,VfB Stuttgart,0.1,0.0,1008,22,FRA
371,Anwar El-Ghazi,1. FSV Mainz 05,0.1,0.0,51,3,NED
371,Arthur,Bayer 04 Leverkusen,0.1,0.0,184,4,BRA
371,Aster Vranckx,VfL Wolfsburg,0.1,0.0,1143,24,BEL
371,Attila Szalai,SC Freiburg,0.1,0.0,390,7,HUN
371,Christoph Kramer,Borussia Mönchengladbach,0.1,0.0,240,14,GER
371,Chukwubuike Adamu,SC Freiburg,0.1,0.0,93,15,AUT
371,Cristian Gamboa,VfL Bochum,0.1,0.0,1187,22,CRC
371,Danilo Soares,VfL Bochum,0.1,0.0,351,5,BRA
371,Dominique Heintz,FC Köln,0.1,0.0,565,12,GER
371,Donny van de Beek,Eintracht Frankfurt,0.1,0.0,357,8,NED
371,Dzenan Pejcinovic,VfL Wolfsburg,0.1,0.0,33,4,GER
371,Florent Muslija,SC Freiburg,0.1,0.0,97,10,KVX
371,Frank Ronstadt,SV Darmstadt,0.1,0.0,73,4,GER
371,Frederik Rønnow,1. FC Union Berlin,0.1,0.0,2970,33,DEN
371,Gustavo Puerta,Bayer 04 Leverkusen,0.1,0.0,40,7,COL
371,Jens Petter Hauge,Eintracht Frankfurt,0.1,0.0,138,10,NOR
371,Kevin Mbabu,FC Augsburg,0.1,0.0,2048,25,SUI
371,Marcus Müller,1. FSV Mainz 05,0.1,0.0,17,1,GER
371,Marnon-Thomas Busch,1. FC Heidenheim 1846,0.1,0.0,592,16,GER
371,Michael Zetterer,SV Werder Bremen,0.1,0.0,2430,27,GER
371,Naby Keita,SV Werder Bremen,0.1,0.0,108,5,GUI
371,Ole Pohlmann,Borussia Dortmund,0.1,0.0,52,2,GER
371,Paxten Aaronson,Eintracht Frankfurt,0.1,0.0,95,7,USA
371,Tim Breithaupt,FC Augsburg,0.1,0.0,625,16,GER
371,Tim Oermann,VfL Bochum,0.1,0.0,709,16,GER
371,Timothy Chandler,Eintracht Frankfurt,0.1,0.0,16,6,USA
399,Aljoscha Kemlein,1. FC Union Berlin,0.0,0.0,27,2,GER
399,Borna Sosa,VfB Stuttgart,0.0,0.0,44,2,CRO
399,Jacob Steen Christensen,FC Köln,0.0,0.0,216,7,DEN
399,Kenneth Schmidt,SC Freiburg,0.0,0.0,64,5,GER
399,Mateu Morey,Borussia Dortmund,0.0,0.0,110,3,ESP
399,Mathias Olesen,FC Köln,0.0,0.0,107,6,LUX
399,Nathanaël Mbuku,FC Augsburg,0.0,0.0,4,1,FRA
399,Nicolas Cozza,VfL Wolfsburg,0.0,0.0,278,6,FRA
399,Noah Mbamba,Bayer 04 Leverkusen,0.0,0.0,14,3,BEL
399,Robin Zentner,1. FSV Mainz 05,0.0,0.0,2700,30,GER
