Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
73,Ruben Vargas,FC Augsburg,3.9,4.0,1978,31,SUI
74,Nathan N'Goumou,Borussia Mönchengladbach,3.8,5.0,1381,32,FRA
75,Grischa Prömel,TSG Hoffenheim,3.8,4.0,2146,28,GER
76,Mitchell Weiser,SV Werder Bremen,3.8,3.0,2639,30,GER
77,Mathys Tel,Bayern München,3.7,7.0,1031,30,FRA
78,Rocco Reitz,Borussia Mönchengladbach,3.7,6.0,2141,34,GER
79,Tim Skarke,SV Darmstadt,3.6,8.0,2418,30,GER
80,Marcel Sabitzer,Borussia Dortmund,3.6,4.0,1964,25,AUT
81,Tobias Kempe,SV Darmstadt,3.6,3.0,1351,24,GER
82,Nathan Tella,Bayer 04 Leverkusen,3.5,5.0,812,24,NGA
83,Brajan Gruda,1. FSV Mainz 05,3.5,4.0,1651,28,GER
84,Karim Adeyemi,Borussia Dortmund,3.5,3.0,911,21,GER
85,Benedict Hollerbach,1. FC Union Berlin,3.4,5.0,1283,28,GER
86,Dani Olmo,RB Leipzig,3.4,4.0,1454,21,ESP
87,Amine Adli,Bayer 04 Leverkusen,3.3,4.0,890,23,MAR
87,Exequiel Palacios,Bayer 04 Leverkusen,3.3,4.0,1840,24,ARG
89,Patrick Mainka,1. FC Heidenheim 1846,3.3,2.0,3060,34,GER
90,Mats Hummels,Borussia Dortmund,3.2,3.0,1581,25,GER
91,Sven Michel,FC Augsburg,3.2,2.0,574,22,GER
92,Adam Hlozek,Bayer 04 Leverkusen,3.1,2.0,451,23,CZE
92,Fares Chaibi,Eintracht Frankfurt,3.1,2.0,1920,28,ALG
92,Robin Koch,Eintracht Frankfurt,3.1,2.0,2740,31,GER
95,Faride Alidou,FC Köln,3.0,4.0,1284,26,GER
96,Goncalo Paciencia,VfL Bochum,3.0,3.0,645,19,POR
96,Kevin Paredes,VfL Wolfsburg,3.0,3.0,1429,28,USA
96,Mario Götze,Eintracht Frankfurt,3.0,3.0,2075,30,GER
99,Dion Drena Beljo,FC Augsburg,3.0,2.0,562,26,CRO
99,Nico Schlotterbeck,Borussia Dortmund,3.0,2.0,2861,33,GER
101,Mattias Svanberg,VfL Wolfsburg,3.0,1.0,1725,25,SWE
101,Matus Bero,VfL Bochum,3.0,1.0,1665,24,SVK
103,Gian-Luca Waldschmidt,FC Köln,2.9,3.0,1151,22,GER
103,Kevin Sessa,1. FC Heidenheim 1846,2.9,3.0,1001,30,GER
105,Kingsley Coman,Bayern München,2.8,3.0,1123,17,FRA
106,David Datro Fofana,1. FC Union Berlin,2.8,1.0,687,12,CIV
107,Sepp van den Berg,1. FSV Mainz 05,2.7,3.0,2838,33,NED
107,Yorbe Vertessen,1. FC Union Berlin,2.7,3.0,593,13,BEL
109,Tiago Tomás,VfL Wolfsburg,2.7,1.0,1029,26,POR
110,Steffen Tigges,FC Köln,2.6,3.0,715,25,GER
111,John Anthony Brooks,TSG Hoffenheim,2.6,2.0,1539,21,USA
112,Bernardo,VfL Bochum,2.6,1.0,2924,33,BRA
113,Pavel Kaderabek,TSG Hoffenheim,2.5,3.0,2419,29,CZE
113,Serge Gnabry,Bayern München,2.5,3.0,433,10,GER
115,Nick Woltemade,SV Werder Bremen,2.5,2.0,1182,30,GER
