Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
105,Xavi Simons,RB Leipzig,36.9,82.0,2673,32,NED
106,Leonardo Bittencourt,SV Werder Bremen,36.8,83.4,1585,29,GER
107,Kilian Sildillia,SC Freiburg,36.6,76.5,1804,27,FRA
108,Chris Führich,VfB Stuttgart,36.5,86.0,2594,34,GER
109,Finn Becker,TSG Hoffenheim,36.4,79.8,596,22,GER
110,Amine Adli,Bayer 04 Leverkusen,35.9,82.9,890,23,MAR
111,Fabian Nürnberger,SV Darmstadt,35.8,83.3,1519,21,GER
112,Janis Blaswich,RB Leipzig,35.6,86.3,1890,21,GER
113,Dominik Kohr,1. FSV Mainz 05,35.5,76.8,2190,31,GER
114,Anthony Caci,1. FSV Mainz 05,35.4,77.1,2493,31,FRA
115,Niklas Dorsch,FC Augsburg,35.3,87.5,1387,21,GER
116,Leroy Sané,Bayern München,35.3,84.4,2142,27,GER
117,Vincenzo Grifo,SC Freiburg,35.2,80.5,2344,32,ITA
118,Kristijan Jakic,FC Augsburg,35.1,80.9,1253,18,CRO
119,Jordy Makengo,SC Freiburg,35.0,85.4,1022,20,FRA
120,Joseph Scally,Borussia Mönchengladbach,34.9,81.9,2236,31,USA
121,Andrej Kramaric,TSG Hoffenheim,34.4,84.2,2206,30,CRO
122,Niels Nkounkou,Eintracht Frankfurt,34.2,73.8,1301,29,FRA
123,Felix Nmecha,Borussia Dortmund,33.8,84.1,1016,20,GER
124,Florian Neuhaus,Borussia Mönchengladbach,33.8,83.5,1226,25,GER
125,Kouadio Koné,Borussia Mönchengladbach,33.5,85.4,1565,22,FRA
126,Grischa Prömel,TSG Hoffenheim,33.4,82.4,2146,28,GER
127,Christoph Zimmermann,SV Darmstadt,33.4,82.3,1216,19,GER
128,Aissa Laidouni,1. FC Union Berlin,33.3,81.2,1064,23,TUN
129,Josha Vagnoman,VfB Stuttgart,33.2,85.7,1181,18,GER
130,Bartol Franjic,SV Darmstadt,33.2,83.8,1232,20,CRO
131,Maximilian Eggestein,SC Freiburg,33.2,82.1,2918,33,GER
132,Gregor Kobel,Borussia Dortmund,33.2,81.9,2366,27,SUI
133,Eric Martel,FC Köln,33.1,82.5,2464,30,GER
134,Fabian Holland,SV Darmstadt,33.1,80.2,1847,23,GER
135,Keven Schlotterbeck,VfL Bochum,32.8,79.3,2184,27,GER
136,Rocco Reitz,Borussia Mönchengladbach,32.7,76.2,2141,34,GER
137,Tom Krauss,1. FSV Mainz 05,32.4,75.4,1339,29,GER
138,Umut Tohumcu,TSG Hoffenheim,32.3,88.8,1012,20,GER
139,Lukas Kübler,SC Freiburg,32.3,79.5,1848,26,GER
140,Marco Reus,Borussia Dortmund,31.9,85.9,1612,26,GER
141,Robert Skov,TSG Hoffenheim,31.6,78.3,1261,25,DEN
142,Luca Netz,Borussia Mönchengladbach,31.4,80.3,2231,30,GER
143,Leart Paqarada,FC Köln,31.4,72.3,1073,17,KVX
144,Patrick Osterhage,VfL Bochum,31.3,80.4,1863,24,GER
145,Romano Schmid,SV Werder Bremen,31.3,80.0,2614,33,AUT
146,Lovro Majer,VfL Wolfsburg,31.3,78.1,2116,32,CRO
147,Jamal Musiala,Bayern München,31.1,81.9,1766,24,GER
148,Yannick Gerhardt,VfL Wolfsburg,31.0,80.0,1635,25,GER
149,Dani Olmo,RB Leipzig,30.9,79.6,1454,21,ESP
150,Danilho Doekhi,1. FC Union Berlin,30.7,80.8,2160,24,NED
151,Thomas Müller,Bayern München,30.5,78.3,1659,31,GER
152,Benedikt Gimber,1. FC Heidenheim 1846,30.2,80.9,2026,24,GER
153,Finn Dahmen,FC Augsburg,30.1,74.9,2790,31,GER
154,Ridle Baku,VfL Wolfsburg,29.9,76.8,2011,33,GER
155,Benno Schmitz,FC Köln,29.9,72.3,1154,22,GER
156,Noah Weisshaupt,SC Freiburg,29.8,79.4,744,24,GER
157,Florian Pick,1. FC Heidenheim 1846,29.7,71.7,315,22,GER
158,Denis Thomalla,1. FC Heidenheim 1846,29.6,75.9,432,21,GER
159,Bernardo,VfL Bochum,29.6,71.1,2924,33,BRA
160,Jens Stage,SV Werder Bremen,29.5,75.0,2334,30,DEN
161,Norman Theuerkauf,1. FC Heidenheim 1846,29.4,79.2,1257,25,GER
162,András Schäfer,1. FC Union Berlin,29.4,76.5,1218,20,HUN
163,Mattias Svanberg,VfL Wolfsburg,29.4,75.2,1725,25,SWE
164,Eric Maxim Choupo-Moting,Bayern München,29.2,84.1,703,27,CMR
165,Olivier Deman,SV Werder Bremen,29.2,77.0,1359,29,BEL
166,Mitchell Weiser,SV Werder Bremen,29.2,75.5,2639,30,GER
167,Dejan Ljubicic,FC Köln,28.9,81.9,2055,26,AUT
168,Alexander Nübel,VfB Stuttgart,28.9,80.1,2700,30,GER
169,Marcel Schuhen,SV Darmstadt,28.8,68.0,2790,31,GER
170,Eric Ebimbe,Eintracht Frankfurt,28.7,76.2,1967,31,FRA
171,Adrian Beck,1. FC Heidenheim 1846,28.7,73.5,971,23,GER
172,Manuel Riemann,VfL Bochum,28.5,58.3,2970,33,GER
173,Florian Kainz,FC Köln,28.4,75.6,2210,33,AUT
174,Kevin Sessa,1. FC Heidenheim 1846,28.4,75.2,1001,30,GER
175,Mathys Tel,Bayern München,28.2,85.0,1031,30,FRA
176,Manuel Neuer,Bayern München,28.2,84.2,2054,23,GER
177,Janik Haberer,1. FC Union Berlin,28.0,75.1,1223,21,GER
178,Kevin Müller,1. FC Heidenheim 1846,27.7,71.8,3060,34,GER
179,Nathan Tella,Bayer 04 Leverkusen,27.4,83.2,812,24,NGA
180,Silvan Widmer,1. FSV Mainz 05,27.4,76.9,1243,20,SUI
181,Michael Zetterer,SV Werder Bremen,27.3,76.8,2430,27,GER
182,Lennard Maloney,1. FC Heidenheim 1846,27.3,74.5,2292,29,USA
183,Marvin Schwäbe,FC Köln,26.9,76.6,3060,34,GER
184,Jeremie Frimpong,Bayer 04 Leverkusen,26.8,81.3,2263,31,NED
185,Marius Bülter,TSG Hoffenheim,26.6,76.0,1346,30,GER
186,Robin Gosens,1. FC Union Berlin,26.6,74.6,2297,30,GER
187,Matthias Bader,SV Darmstadt,26.6,74.3,1807,24,GER
188,Christoph Baumgartner,RB Leipzig,26.4,76.8,1149,32,AUT
189,Jamie Leweling,VfB Stuttgart,26.2,82.5,1519,34,GER
190,Oliver Baumann,TSG Hoffenheim,26.2,71.7,3060,34,GER
191,Marvin Mehlem,SV Darmstadt,26.1,78.2,1491,20,GER
192,Josip Juranovic,1. FC Union Berlin,26.1,77.1,1290,21,CRO
193,Franck Honorat,Borussia Mönchengladbach,26.1,74.4,2358,32,FRA
194,Jonas Föhrenbach,1. FC Heidenheim 1846,26.1,73.8,2790,33,GER
195,Jakub Kaminski,VfL Wolfsburg,25.7,82.1,465,17,POL
196,Kevin Paredes,VfL Wolfsburg,25.6,78.6,1429,28,USA
197,Serhou Guirassy,VfB Stuttgart,25.5,81.4,2212,28,GUI
198,Mads Valentin Pedersen,FC Augsburg,25.4,81.3,1783,27,DEN
199,Tobias Kempe,SV Darmstadt,25.4,81.1,1351,24,GER
200,Jae-Sung Lee,1. FSV Mainz 05,25.3,79.5,2124,29,KOR
201,Julian Justvan,SV Darmstadt,25.2,76.3,1069,18,GER
202,Moritz Nicolas,Borussia Mönchengladbach,25.2,74.9,2430,27,GER
203,Deniz Undav,VfB Stuttgart,24.9,75.4,2096,30,GER
204,Brenden Aaronson,1. FC Union Berlin,24.8,80.2,1263,30,USA
205,Robin Hack,Borussia Mönchengladbach,24.8,77.6,1345,29,GER
206,Pavel Kaderabek,TSG Hoffenheim,24.8,71.2,2419,29,CZE
207,Christopher Trimmel,1. FC Union Berlin,24.7,73.8,1653,26,AUT
208,Alassane Plea,Borussia Mönchengladbach,24.7,72.7,1925,27,FRA
209,Danny da Costa,1. FSV Mainz 05,24.6,70.8,826,19,GER
210,Iago,FC Augsburg,24.5,76.2,1622,23,BRA
211,Adam Hlozek,Bayer 04 Leverkusen,24.3,80.8,451,23,CZE
212,Fares Chaibi,Eintracht Frankfurt,24.3,72.8,1920,28,ALG
213,Rasmus Carstensen,FC Köln,24.2,72.3,1658,23,DEN
214,Noah Atubolu,SC Freiburg,24.2,67.0,3060,34,GER
215,Gian-Luca Waldschmidt,FC Köln,24.1,77.6,1151,22,GER
216,Nick Woltemade,SV Werder Bremen,23.9,77.3,1182,30,GER
217,Václav Cerny,VfL Wolfsburg,23.6,74.9,923,22,CZE
218,Frederik Rønnow,1. FC Union Berlin,23.6,68.2,2970,33,DEN
219,Jamie Bynoe-Gittens,Borussia Dortmund,23.5,80.3,1059,25,ENG
220,Omar Traoré,1. FC Heidenheim 1846,23.5,74.1,2474,31,GER
221,Leandro Barreiro,1. FSV Mainz 05,23.3,73.9,2606,31,LUX
222,Maximilian Philipp,SC Freiburg,23.2,76.2,311,17,GER
223,Elvis Rexhbecaj,FC Augsburg,23.2,75.1,1994,25,GER
224,Max Finkgrafe,FC Köln,23.2,72.5,1756,24,GER
225,Jérome Roussillon,1. FC Union Berlin,23.0,75.4,743,23,FRA
226,Kevin Trapp,Eintracht Frankfurt,22.9,71.6,2880,32,GER
227,Koen Casteels,VfL Wolfsburg,22.9,69.0,2250,25,BEL
228,Arne Engels,FC Augsburg,22.8,74.8,1398,32,BEL
229,Ivan Ordets,VfL Bochum,22.6,72.8,1879,24,UKR
230,Erhan Masovic,VfL Bochum,22.5,78.2,2218,29,SRB
231,Anthony Losilla,VfL Bochum,22.4,72.7,2586,31,FRA
232,Lucas Tousart,1. FC Union Berlin,22.2,75.9,1573,23,FRA
233,Philipp Mwene,1. FSV Mainz 05,22.1,74.5,2003,23,AUT
234,Rani Khedira,1. FC Union Berlin,21.9,74.2,1350,20,GER
235,Merlin Röhl,SC Freiburg,21.7,80.8,1483,24,GER
236,Alex Kral,1. FC Union Berlin,21.6,72.7,1365,24,CZE
237,Tim Skarke,SV Darmstadt,21.4,79.2,2418,30,GER
238,Kevin Mbabu,FC Augsburg,21.4,70.9,2048,25,SUI
239,Ludovic Ajorque,1. FSV Mainz 05,21.1,71.0,1355,26,FRA
240,Marco Richter,1. FSV Mainz 05,21.1,69.0,713,20,GER
241,Silas Katompa Mvumpa,VfB Stuttgart,20.8,82.7,890,27,COD
242,Brajan Gruda,1. FSV Mainz 05,20.7,71.4,1651,28,GER
243,Linton Maina,FC Köln,20.6,79.9,1904,31,GER
244,Felix Agu,SV Werder Bremen,20.5,74.6,1621,24,GER
245,Cristian Gamboa,VfL Bochum,20.5,74.4,1187,22,CRC
246,Nathan N'Goumou,Borussia Mönchengladbach,20.4,77.1,1381,32,FRA
247,Karim Adeyemi,Borussia Dortmund,20.3,77.9,911,21,GER
248,Ruben Vargas,FC Augsburg,20.2,76.3,1978,31,SUI
249,Maximilian Wittek,VfL Bochum,20.2,64.7,1067,21,GER
250,Donyell Malen,Borussia Dortmund,19.9,79.6,1783,27,NED
251,Jan Schöppner,1. FC Heidenheim 1846,19.9,67.1,2000,26,GER
252,Rafael Santos Borre,SV Werder Bremen,19.6,76.5,989,19,COL
253,Ritsu Doan,SC Freiburg,19.4,75.4,2253,30,JPN
254,Roland Sallai,SC Freiburg,19.3,78.0,1850,27,HUN
255,Lucas Höler,SC Freiburg,19.0,67.8,2309,33,GER
256,Wout Weghorst,TSG Hoffenheim,18.7,73.0,1987,28,NED
257,Matus Bero,VfL Bochum,18.3,68.8,1665,24,SVK
258,Dion Drena Beljo,FC Augsburg,18.1,73.4,562,26,CRO
259,Ihlas Bebou,TSG Hoffenheim,18.0,74.5,1628,32,TOG
260,Ansgar Knauff,Eintracht Frankfurt,17.6,64.7,2117,31,GER
261,Marvin Pieringer,1. FC Heidenheim 1846,17.5,70.3,1520,31,GER
262,Mathias Honsak,SV Darmstadt,17.4,75.7,1013,23,AUT
263,Fredrik Jensen,FC Augsburg,17.4,69.4,1350,22,FIN
264,Robin Zentner,1. FSV Mainz 05,17.4,58.5,2700,30,GER
265,Jan Thielmann,FC Köln,17.3,69.4,1588,22,GER
266,Lukas Daschner,VfL Bochum,17.3,64.7,525,20,GER
267,Marvin Ducksch,SV Werder Bremen,17.2,66.4,2710,33,GER
268,Benedict Hollerbach,1. FC Union Berlin,17.0,69.9,1283,28,GER
269,Nikola Dovedan,1. FC Heidenheim 1846,17.0,63.5,646,21,AUT
270,Lukas Hradecky,Bayer 04 Leverkusen,16.5,75.8,2970,33,FIN
271,Dawid Kownacki,SV Werder Bremen,16.5,65.0,366,22,POL
272,Christopher Antwi-Adjej,VfL Bochum,16.0,74.5,1216,25,GHA
273,Kevin Volland,1. FC Union Berlin,16.0,66.6,1346,26,GER
274,Luca Pfeiffer,SV Darmstadt,15.9,71.4,1625,24,GER
275,Jonas Wind,VfL Wolfsburg,15.9,71.3,2660,34,DEN
276,Niclas Füllkrug,Borussia Dortmund,15.9,67.2,2405,31,GER
277,Victor Okoh Boniface,Bayer 04 Leverkusen,15.8,73.0,1553,23,NGA
278,Eren Dinkci,1. FC Heidenheim 1846,15.8,65.4,2672,33,TUR
279,Tim Kleindienst,1. FC Heidenheim 1846,15.8,59.9,2874,33,GER
280,Kevin Behrens,VfL Wolfsburg,15.5,65.5,1880,31,GER
281,Patrik Schick,Bayer 04 Leverkusen,15.4,79.8,1064,20,CZE
282,Tiago Tomás,VfL Wolfsburg,15.4,71.0,1029,26,POR
283,Omar Marmoush,Eintracht Frankfurt,15.3,73.4,2310,29,EGY
284,Philipp Hofmann,VfL Bochum,15.2,64.7,1576,29,GER
285,Youssoufa Moukoko,Borussia Dortmund,15.0,84.3,614,20,GER
286,Yussuf Poulsen,RB Leipzig,15.0,72.1,1209,28,DEN
287,Jonathan Burkardt,1. FSV Mainz 05,15.0,72.0,1541,21,GER
288,Goncalo Paciencia,VfL Bochum,14.9,66.5,645,19,POR
289,Steffen Tigges,FC Köln,14.9,60.8,715,25,GER
290,Sargis Adamyan,FC Köln,14.8,72.0,797,20,ARM
291,Jan-Niklas Beste,1. FC Heidenheim 1846,14.6,67.2,2618,31,GER
292,Harry Kane,Bayern München,14.5,73.6,2843,32,ENG
293,Sven Michel,FC Augsburg,14.4,58.2,574,22,GER
294,Michael Gregoritsch,SC Freiburg,14.2,62.3,1684,32,AUT
295,Jordan Pefok,Borussia Mönchengladbach,13.8,78.0,1450,26,USA
296,Maximilian Beier,TSG Hoffenheim,13.7,73.5,2431,33,GER
297,Tomas Cvancara,Borussia Mönchengladbach,13.6,63.7,892,21,CZE
298,Faride Alidou,FC Köln,12.9,71.0,1284,26,GER
299,Benjamin Sesko,RB Leipzig,12.7,66.6,1528,31,SVN
300,Justin Njinmah,SV Werder Bremen,12.5,69.8,1012,24,GER
301,Phillip Tietz,FC Augsburg,12.4,63.4,2405,34,GER
302,Mikkel Kaufmann,1. FC Union Berlin,12.2,54.2,479,18,DEN
303,Karim Onisiwo,1. FSV Mainz 05,11.7,63.0,1496,24,AUT
304,Takuma Asano,VfL Bochum,11.5,72.2,2003,29,JPN
305,Ermedin Demirovic,FC Augsburg,11.5,66.5,2879,33,BIH
306,Ikoma Lois Openda,RB Leipzig,11.0,69.2,2716,34,BEL
307,Davie Selke,FC Köln,10.2,62.9,1271,19,GER
308,Moritz Broschinski,VfL Bochum,9.5,63.0,1242,26,GER
309,Jessic Ngankam,1. FSV Mainz 05,9.2,67.6,450,22,GER
310,Oscar Vilhelmsson,SV Darmstadt,8.0,60.7,1375,26,SWE
