Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
72,Sven Michel,FC Augsburg,2.2,14.3,574,22,GER
74,Maximilian Wittek,VfL Bochum,2.2,11.5,1067,21,GER
75,Leon Goretzka,Bayern München,2.2,10.7,2242,30,GER
76,Philipp Hofmann,VfL Bochum,2.2,10.3,1576,29,GER
77,Marcel Sabitzer,Borussia Dortmund,2.2,8.5,1964,25,AUT
78,Ruben Vargas,FC Augsburg,2.2,8.2,1978,31,SUI
79,Lukas Daschner,VfL Bochum,2.2,7.7,525,20,GER
80,Mattias Svanberg,VfL Wolfsburg,2.2,2.4,1725,25,SWE
81,Youssoufa Moukoko,Borussia Dortmund,2.1,35.7,614,20,GER
82,Ihlas Bebou,TSG Hoffenheim,2.1,18.4,1628,32,TOG
83,Christopher Antwi-Adjej,VfL Bochum,2.1,6.9,1216,25,GHA
84,Jan Thielmann,FC Köln,2.1,2.7,1588,22,GER
85,Nikola Dovedan,1. FC Heidenheim 1846,2.0,21.4,646,21,AUT
86,Václav Cerny,VfL Wolfsburg,2.0,20.0,923,22,CZE
87,Nathan N'Goumou,Borussia Mönchengladbach,2.0,16.1,1381,32,FRA
88,Thomas Müller,Bayern München,2.0,13.9,1659,31,GER
89,Arne Maier,FC Augsburg,2.0,9.1,998,22,GER
90,Felix Nmecha,Borussia Dortmund,2.0,4.4,1016,20,GER
90,Mathias Honsak,SV Darmstadt,2.0,4.4,1013,23,AUT
92,Karim Onisiwo,1. FSV Mainz 05,2.0,3.0,1496,24,AUT
93,Phillip Tietz,FC Augsburg,1.9,15.4,2405,34,GER
94,Chris Führich,VfB Stuttgart,1.9,14.8,2594,34,GER
95,Moritz Broschinski,VfL Bochum,1.9,7.7,1242,26,GER
96,Ludovic Ajorque,1. FSV Mainz 05,1.9,6.9,1355,26,FRA
97,Fares Chaibi,Eintracht Frankfurt,1.9,5.0,1920,28,ALG
98,Jakub Kaminski,VfL Wolfsburg,1.9,0.0,465,17,POL
99,Rafael Santos Borre,SV Werder Bremen,1.8,20.0,989,19,COL
100,Wout Weghorst,TSG Hoffenheim,1.8,18.0,1987,28,NED
101,Vincenzo Grifo,SC Freiburg,1.8,16.7,2344,32,ITA
102,Oscar Vilhelmsson,SV Darmstadt,1.8,14.3,1375,26,SWE
103,Leonardo Bittencourt,SV Werder Bremen,1.8,3.2,1585,29,GER
104,Eren Dinkci,1. FC Heidenheim 1846,1.7,20.4,2672,33,TUR
105,Jan-Niklas Beste,1. FC Heidenheim 1846,1.7,16.3,2618,31,GER
106,Nick Woltemade,SV Werder Bremen,1.7,9.1,1182,30,GER
107,Dejan Ljubicic,FC Köln,1.7,0.0,2055,26,AUT
108,Ansgar Knauff,Eintracht Frankfurt,1.6,18.9,2117,31,GER
