Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
83,Raphaël Guerreiro,Bayern München,0.23,3.0,1194,20,POR
85,Brajan Gruda,1. FSV Mainz 05,0.22,4.0,1651,28,GER
86,Keven Schlotterbeck,VfL Bochum,0.21,5.0,2184,27,GER
86,Lovro Majer,VfL Wolfsburg,0.21,5.0,2116,32,CRO
88,Robert Andrich,Bayer 04 Leverkusen,0.21,4.0,1681,28,GER
89,Josip Stanisic,Bayer 04 Leverkusen,0.21,3.0,1257,20,CRO
89,Niels Nkounkou,Eintracht Frankfurt,0.21,3.0,1301,29,FRA
89,Robert Skov,TSG Hoffenheim,0.21,3.0,1261,25,DEN
92,Enzo Millot,VfB Stuttgart,0.2,5.0,2254,31,FRA
92,Florian Kainz,FC Köln,0.2,5.0,2210,33,AUT
92,Jonas Hofmann,Bayer 04 Leverkusen,0.2,5.0,2214,32,GER
95,Exequiel Palacios,Bayer 04 Leverkusen,0.2,4.0,1840,24,ARG
95,Julian Ryerson,Borussia Dortmund,0.2,4.0,1772,21,NOR
97,Kevin Volland,1. FC Union Berlin,0.2,3.0,1346,26,GER
97,Tobias Kempe,SV Darmstadt,0.2,3.0,1351,24,GER
99,Arne Engels,FC Augsburg,0.19,3.0,1398,32,BEL
99,Kevin Paredes,VfL Wolfsburg,0.19,3.0,1429,28,USA
101,Mikkel Kaufmann,1. FC Union Berlin,0.19,1.0,479,18,DEN
102,Marcel Sabitzer,Borussia Dortmund,0.18,4.0,1964,25,AUT
102,Ruben Vargas,FC Augsburg,0.18,4.0,1978,31,SUI
104,Marvin Mehlem,SV Darmstadt,0.18,3.0,1491,20,GER
104,Marvin Pieringer,1. FC Heidenheim 1846,0.18,3.0,1520,31,GER
106,Arne Maier,FC Augsburg,0.18,2.0,998,22,GER
107,Grischa Prömel,TSG Hoffenheim,0.17,4.0,2146,28,GER
108,Ko Itakura,Borussia Mönchengladbach,0.17,3.0,1598,20,JPN
108,Mats Hummels,Borussia Dortmund,0.17,3.0,1581,25,GER
110,Julian Justvan,SV Darmstadt,0.17,2.0,1069,18,GER
110,Niklas Stark,SV Werder Bremen,0.17,2.0,1086,17,GER
112,Lukas Daschner,VfL Bochum,0.17,1.0,525,20,GER
113,Ozan Kabak,TSG Hoffenheim,0.16,4.0,2290,28,TUR
114,Maxence Lacroix,VfL Wolfsburg,0.15,4.0,2364,28,FRA
