Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
84,Jordan Pefok,Borussia Mönchengladbach,3.0,1.9,1450,26,USA
85,Aissa Laidouni,1. FC Union Berlin,3.0,1.6,1064,23,TUN
85,Woo-Yeong Jeong,VfB Stuttgart,3.0,1.6,618,26,KOR
87,Marvin Pieringer,1. FC Heidenheim 1846,3.0,1.5,1520,31,GER
87,Waldemar Anton,VfB Stuttgart,3.0,1.5,2888,33,GER
89,Julian Weigl,Borussia Mönchengladbach,3.0,1.4,2766,31,GER
90,Karim Onisiwo,1. FSV Mainz 05,3.0,1.3,1496,24,AUT
91,Adam Hlozek,Bayer 04 Leverkusen,3.0,1.2,451,23,CZE
91,Senne Lynen,SV Werder Bremen,3.0,1.2,1791,32,BEL
93,Maximilian Wöber,Borussia Mönchengladbach,3.0,1.1,2070,25,AUT
94,Luca Pfeiffer,SV Darmstadt,3.0,1.0,1625,24,GER
95,Denis Huseinbasic,FC Köln,3.0,0.7,1627,26,BIH
96,Serhou Guirassy,VfB Stuttgart,2.0,5.4,2212,28,GUI
97,Ritsu Doan,SC Freiburg,2.0,4.2,2253,30,JPN
98,Kevin Mbabu,FC Augsburg,2.0,3.9,2048,25,SUI
99,Mario Götze,Eintracht Frankfurt,2.0,3.8,2075,30,GER
100,Christopher Trimmel,1. FC Union Berlin,2.0,3.7,1653,26,AUT
101,Julian Justvan,SV Darmstadt,2.0,3.6,1069,18,GER
102,Matthias Bader,SV Darmstadt,2.0,3.5,1807,24,GER
103,Jadon Sancho,Borussia Dortmund,2.0,3.3,954,14,ENG
104,Christopher Antwi-Adjej,VfL Bochum,2.0,3.0,1216,25,GHA
104,Josip Juranovic,1. FC Union Berlin,2.0,3.0,1290,21,CRO
106,Nathan N'Goumou,Borussia Mönchengladbach,2.0,2.9,1381,32,FRA
106,Nathan Tella,Bayer 04 Leverkusen,2.0,2.9,812,24,NGA
108,Ansgar Knauff,Eintracht Frankfurt,2.0,2.7,2117,31,GER
108,Leonardo Bittencourt,SV Werder Bremen,2.0,2.7,1585,29,GER
110,Florian Neuhaus,Borussia Mönchengladbach,2.0,2.6,1226,25,GER
110,Philipp Mwene,1. FSV Mainz 05,2.0,2.6,2003,23,AUT
112,Tobias Kempe,SV Darmstadt,2.0,2.5,1351,24,GER
113,Hiroki Ito,VfB Stuttgart,2.0,2.4,2231,26,JPN
113,Philipp Max,Eintracht Frankfurt,2.0,2.4,1357,23,GER
