Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
116,David Raum,RB Leipzig,0.9,27.0,2743,31,GER
118,Anthony Losilla,VfL Bochum,0.9,25.0,2586,31,FRA
119,Maxence Lacroix,VfL Wolfsburg,0.9,24.0,2364,28,FRA
119,Maximilian Arnold,VfL Wolfsburg,0.9,24.0,2503,30,GER
121,Jens Stage,SV Werder Bremen,0.9,23.0,2334,30,DEN
121,Pavel Kaderabek,TSG Hoffenheim,0.9,23.0,2419,29,CZE
123,Grischa Prömel,TSG Hoffenheim,0.9,22.0,2146,28,GER
123,Luca Netz,Borussia Mönchengladbach,0.9,22.0,2231,30,GER
125,Ridle Baku,VfL Wolfsburg,0.9,21.0,2011,33,GER
126,Ansgar Knauff,Eintracht Frankfurt,0.9,20.0,2117,31,GER
126,Elvis Rexhbecaj,FC Augsburg,0.9,20.0,1994,25,GER
128,Konrad Laimer,Bayern München,0.9,18.0,1770,29,AUT
129,Willi Orban,RB Leipzig,0.9,16.0,1583,19,HUN
130,Kouadio Koné,Borussia Mönchengladbach,0.9,15.0,1565,22,FRA
131,Nadiem Amiri,1. FSV Mainz 05,0.9,14.0,1401,23,GER
131,Olivier Deman,SV Werder Bremen,0.9,14.0,1359,29,BEL
131,Robin Hack,Borussia Mönchengladbach,0.9,14.0,1345,29,GER
134,Janik Haberer,1. FC Union Berlin,0.9,12.0,1223,21,GER
135,Julian Justvan,SV Darmstadt,0.9,11.0,1069,18,GER
136,Eric Maxim Choupo-Moting,Bayern München,0.9,7.0,703,27,CMR
137,Anthony Jung,SV Werder Bremen,0.8,24.0,2583,31,GER
138,Jonathan Tah,Bayer 04 Leverkusen,0.8,23.0,2632,31,GER
139,Christoph Klarer,SV Darmstadt,0.8,21.0,2356,30,AUT
140,Dejan Ljubicic,FC Köln,0.8,18.0,2055,26,AUT
141,Milos Veljkovic,SV Werder Bremen,0.8,17.0,1921,23,SRB
141,Philipp Mwene,1. FSV Mainz 05,0.8,17.0,2003,23,AUT
143,Jamal Musiala,Bayern München,0.8,16.0,1766,24,GER
143,Matthias Ginter,SC Freiburg,0.8,16.0,1918,23,GER
145,Aurelio Buta,Eintracht Frankfurt,0.8,15.0,1744,30,POR
145,Cedric Zesiger,VfL Wolfsburg,0.8,15.0,1634,23,SUI
147,Ihlas Bebou,TSG Hoffenheim,0.8,14.0,1628,32,TOG
148,Dani Olmo,RB Leipzig,0.8,13.0,1454,21,ESP
148,Lukas Klostermann,RB Leipzig,0.8,13.0,1433,25,GER
148,Piero Hincapié,Bayer 04 Leverkusen,0.8,13.0,1484,26,ECU
151,Fredrik Jensen,FC Augsburg,0.8,12.0,1350,22,FIN
151,Josip Juranovic,1. FC Union Berlin,0.8,12.0,1290,21,CRO
153,Leart Paqarada,FC Köln,0.8,10.0,1073,17,KVX
154,Václav Cerny,VfL Wolfsburg,0.8,8.0,923,22,CZE
155,Denis Thomalla,1. FC Heidenheim 1846,0.8,4.0,432,21,GER
156,Alejandro Grimaldo,Bayer 04 Leverkusen,0.7,22.0,2785,33,ESP
157,Mitchell Weiser,SV Werder Bremen,0.7,20.0,2639,30,GER
158,Xaver Schlager,RB Leipzig,0.7,19.0,2482,29,AUT
159,Joseph Scally,Borussia Mönchengladbach,0.7,18.0,2236,31,USA
160,Benedikt Gimber,1. FC Heidenheim 1846,0.7,16.0,2026,24,GER
161,Christopher Trimmel,1. FC Union Berlin,0.7,13.0,1653,26,AUT
161,Denis Huseinbasic,FC Köln,0.7,13.0,1627,26,BIH
161,Emir Karic,SV Darmstadt,0.7,13.0,1781,27,AUT
161,Felix Agu,SV Werder Bremen,0.7,13.0,1621,24,GER
161,Leonardo Bittencourt,SV Werder Bremen,0.7,13.0,1585,29,GER
166,Marvin Pieringer,1. FC Heidenheim 1846,0.7,12.0,1520,31,GER
167,Alex Kral,1. FC Union Berlin,0.7,11.0,1365,24,CZE
167,Kevin Kampl,RB Leipzig,0.7,11.0,1360,26,SVN
169,Marius Bülter,TSG Hoffenheim,0.7,10.0,1346,30,GER
169,Robert Skov,TSG Hoffenheim,0.7,10.0,1261,25,DEN
171,Anthony Rouault,VfB Stuttgart,0.7,8.0,1008,22,FRA
171,Mathias Honsak,SV Darmstadt,0.7,8.0,1013,23,AUT
173,Granit Xhaka,Bayer 04 Leverkusen,0.6,19.0,2828,33,SUI
173,Kevin Stöger,VfL Bochum,0.6,19.0,2678,32,AUT
175,Jan-Niklas Beste,1. FC Heidenheim 1846,0.6,18.0,2618,31,GER
176,Enzo Millot,VfB Stuttgart,0.6,16.0,2254,31,FRA
177,Lucas Höler,SC Freiburg,0.6,15.0,2309,33,GER
177,Vincenzo Grifo,SC Freiburg,0.6,15.0,2344,32,ITA
179,Joshua Kimmich,Bayern München,0.6,14.0,2185,28,GER
179,Mario Götze,Eintracht Frankfurt,0.6,14.0,2075,30,GER
181,Robin Knoche,1. FC Union Berlin,0.6,13.0,1916,24,GER
182,Matus Bero,VfL Bochum,0.6,12.0,1665,24,SVK
183,Josip Stanisic,Bayer 04 Leverkusen,0.6,9.0,1257,20,CRO
183,Tobias Kempe,SV Darmstadt,0.6,9.0,1351,24,GER
185,Faride Alidou,FC Köln,0.6,8.0,1284,26,GER
185,Marius Wolf,Borussia Dortmund,0.6,8.0,1161,22,GER
187,Amine Adli,Bayer 04 Leverkusen,0.6,6.0,890,23,MAR
188,Jérome Roussillon,1. FC Union Berlin,0.6,5.0,743,23,FRA
188,Sargis Adamyan,FC Köln,0.6,5.0,797,20,ARM
190,Jessic Ngankam,1. FSV Mainz 05,0.6,3.0,450,22,GER
191,Florian Pick,1. FC Heidenheim 1846,0.6,2.0,315,22,GER
192,Kevin Vogt,1. FC Union Berlin,0.5,16.0,2643,32,GER
192,Xavi Simons,RB Leipzig,0.5,16.0,2673,32,NED
194,Florian Kainz,FC Köln,0.5,13.0,2210,33,AUT
195,Castello Lukeba,RB Leipzig,0.5,12.0,2185,32,FRA
195,Lovro Majer,VfL Wolfsburg,0.5,12.0,2116,32,CRO
195,Marcel Sabitzer,Borussia Dortmund,0.5,12.0,1964,25,AUT
198,Julian Ryerson,Borussia Dortmund,0.5,10.0,1772,21,NOR
199,Merlin Röhl,SC Freiburg,0.5,9.0,1483,24,GER
199,Michael Gregoritsch,SC Freiburg,0.5,9.0,1684,32,AUT
201,Jan Thielmann,FC Köln,0.5,8.0,1588,22,GER
202,Benno Schmitz,FC Köln,0.5,7.0,1154,22,GER
202,Philipp Max,Eintracht Frankfurt,0.5,7.0,1357,23,GER
204,Arne Maier,FC Augsburg,0.5,6.0,998,22,GER
204,Gian-Luca Waldschmidt,FC Köln,0.5,6.0,1151,22,GER
204,Mathys Tel,Bayern München,0.5,6.0,1031,30,FRA
204,Umut Tohumcu,TSG Hoffenheim,0.5,6.0,1012,20,GER
208,Eren Dinkci,1. FC Heidenheim 1846,0.4,12.0,2672,33,TUR
208,Tim Kleindienst,1. FC Heidenheim 1846,0.4,12.0,2874,33,GER
210,Omar Marmoush,Eintracht Frankfurt,0.4,11.0,2310,29,EGY
210,Romano Schmid,SV Werder Bremen,0.4,11.0,2614,33,AUT
212,Andrej Kramaric,TSG Hoffenheim,0.4,10.0,2206,30,CRO
213,Eric Ebimbe,Eintracht Frankfurt,0.4,9.0,1967,31,FRA
213,Kevin Behrens,VfL Wolfsburg,0.4,9.0,1880,31,GER
213,Ritsu Doan,SC Freiburg,0.4,9.0,2253,30,JPN
216,Yannick Gerhardt,VfL Wolfsburg,0.4,7.0,1635,25,GER
217,Kevin Volland,1. FC Union Berlin,0.4,6.0,1346,26,GER
218,Christoph Baumgartner,RB Leipzig,0.4,5.0,1149,32,AUT
218,Nick Woltemade,SV Werder Bremen,0.4,5.0,1182,30,GER
220,Adrian Beck,1. FC Heidenheim 1846,0.4,4.0,971,23,GER
220,Kevin Sessa,1. FC Heidenheim 1846,0.4,4.0,1001,30,GER
222,Adam Hlozek,Bayer 04 Leverkusen,0.4,2.0,451,23,CZE
222,Jakub Kaminski,VfL Wolfsburg,0.4,2.0,465,17,POL
224,Ermedin Demirovic,FC Augsburg,0.3,11.0,2879,33,BIH
225,Florian Wirtz,Bayer 04 Leverkusen,0.3,9.0,2377,32,GER
225,Franck Honorat,Borussia Mönchengladbach,0.3,9.0,2358,32,FRA
225,Maximilian Beier,TSG Hoffenheim,0.3,9.0,2431,33,GER
228,Jonas Hofmann,Bayer 04 Leverkusen,0.3,8.0,2214,32,GER
228,Julian Brandt,Borussia Dortmund,0.3,8.0,2230,32,GER
230,Jeremie Frimpong,Bayer 04 Leverkusen,0.3,7.0,2263,31,NED
230,Leroy Sané,Bayern München,0.3,7.0,2142,27,GER
230,Ruben Vargas,FC Augsburg,0.3,7.0,1978,31,SUI
233,Deniz Undav,VfB Stuttgart,0.3,6.0,2096,30,GER
233,Linton Maina,FC Köln,0.3,6.0,1904,31,GER
233,Roland Sallai,SC Freiburg,0.3,6.0,1850,27,HUN
233,Wout Weghorst,TSG Hoffenheim,0.3,6.0,1987,28,NED
237,Brajan Gruda,1. FSV Mainz 05,0.3,5.0,1651,28,GER
237,Jamie Leweling,VfB Stuttgart,0.3,5.0,1519,34,GER
237,Jordan Pefok,Borussia Mönchengladbach,0.3,5.0,1450,26,USA
237,Marco Reus,Borussia Dortmund,0.3,5.0,1612,26,GER
237,Nathan N'Goumou,Borussia Mönchengladbach,0.3,5.0,1381,32,FRA
242,Benedict Hollerbach,1. FC Union Berlin,0.3,4.0,1283,28,GER
242,Jamie Bynoe-Gittens,Borussia Dortmund,0.3,4.0,1059,25,ENG
242,Ludovic Ajorque,1. FSV Mainz 05,0.3,4.0,1355,26,FRA
242,Yussuf Poulsen,RB Leipzig,0.3,4.0,1209,28,DEN
246,Karim Adeyemi,Borussia Dortmund,0.3,3.0,911,21,GER
246,Nathan Tella,Bayer 04 Leverkusen,0.3,3.0,812,24,NGA
246,Tiago Tomás,VfL Wolfsburg,0.3,3.0,1029,26,POR
249,Lukas Daschner,VfL Bochum,0.3,2.0,525,20,GER
249,Marco Richter,1. FSV Mainz 05,0.3,2.0,713,20,GER
249,Youssoufa Moukoko,Borussia Dortmund,0.3,2.0,614,20,GER
252,Maximilian Philipp,SC Freiburg,0.3,1.0,311,17,GER
253,Chris Führich,VfB Stuttgart,0.2,7.0,2594,34,GER
254,Harry Kane,Bayern München,0.2,6.0,2843,32,ENG
254,Phillip Tietz,FC Augsburg,0.2,6.0,2405,34,GER
254,Serhou Guirassy,VfB Stuttgart,0.2,6.0,2212,28,GUI
254,Tim Skarke,SV Darmstadt,0.2,6.0,2418,30,GER
258,Fares Chaibi,Eintracht Frankfurt,0.2,5.0,1920,28,ALG
258,Ikoma Lois Openda,RB Leipzig,0.2,5.0,2716,34,BEL
260,Philipp Hofmann,VfL Bochum,0.2,4.0,1576,29,GER
260,Takuma Asano,VfL Bochum,0.2,4.0,2003,29,JPN
262,Benjamin Sesko,RB Leipzig,0.2,3.0,1528,31,SVN
262,Jonathan Burkardt,1. FSV Mainz 05,0.2,3.0,1541,21,GER
262,Oscar Vilhelmsson,SV Darmstadt,0.2,3.0,1375,26,SWE
262,Thomas Müller,Bayern München,0.2,3.0,1659,31,GER
266,Josha Vagnoman,VfB Stuttgart,0.2,2.0,1181,18,GER
266,Justin Njinmah,SV Werder Bremen,0.2,2.0,1012,24,GER
266,Kingsley Coman,Bayern München,0.2,2.0,1123,17,FRA
266,Rafael Santos Borre,SV Werder Bremen,0.2,2.0,989,19,COL
266,Tomas Cvancara,Borussia Mönchengladbach,0.2,2.0,892,21,CZE
271,Dion Drena Beljo,FC Augsburg,0.2,1.0,562,26,CRO
271,Finn Becker,TSG Hoffenheim,0.2,1.0,596,22,GER
271,Mikkel Kaufmann,1. FC Union Berlin,0.2,1.0,479,18,DEN
274,Marvin Ducksch,SV Werder Bremen,0.1,4.0,2710,33,GER
275,Jonas Wind,VfL Wolfsburg,0.1,3.0,2660,34,DEN
276,Alassane Plea,Borussia Mönchengladbach,0.1,2.0,1925,27,FRA
276,Brenden Aaronson,1. FC Union Berlin,0.1,2.0,1263,30,USA
276,Christopher Antwi-Adjej,VfL Bochum,0.1,2.0,1216,25,GHA
276,Donyell Malen,Borussia Dortmund,0.1,2.0,1783,27,NED
276,Karim Onisiwo,1. FSV Mainz 05,0.1,2.0,1496,24,AUT
276,Luca Pfeiffer,SV Darmstadt,0.1,2.0,1625,24,GER
276,Marcel Schuhen,SV Darmstadt,0.1,2.0,2790,31,GER
276,Niclas Füllkrug,Borussia Dortmund,0.1,2.0,2405,31,GER
284,Nikola Dovedan,1. FC Heidenheim 1846,0.1,1.0,646,21,AUT
284,Patrik Schick,Bayer 04 Leverkusen,0.1,1.0,1064,20,CZE
284,Steffen Tigges,FC Köln,0.1,1.0,715,25,GER
287,Frederik Rønnow,1. FC Union Berlin,0.0,1.0,2970,33,DEN
287,Kevin Trapp,Eintracht Frankfurt,0.0,1.0,2880,32,GER
287,Manuel Riemann,VfL Bochum,0.0,1.0,2970,33,GER
287,Robin Zentner,1. FSV Mainz 05,0.0,1.0,2700,30,GER
