Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
65,Julian Ryerson,Borussia Dortmund,4.0,0.0,1772,21,NOR
65,Leandro Barreiro,1. FSV Mainz 05,4.0,0.0,2606,31,LUX
65,Maxence Lacroix,VfL Wolfsburg,4.0,0.0,2364,28,FRA
65,Oscar Vilhelmsson,SV Darmstadt,4.0,0.0,1375,26,SWE
65,Ozan Kabak,TSG Hoffenheim,4.0,0.0,2290,28,TUR
65,Philipp Hofmann,VfL Bochum,4.0,0.0,1576,29,GER
65,Rafael Santos Borre,SV Werder Bremen,4.0,0.0,989,19,COL
65,Robert Andrich,Bayer 04 Leverkusen,4.0,0.0,1681,28,GER
65,Romano Schmid,SV Werder Bremen,4.0,0.0,2614,33,AUT
65,Ruben Vargas,FC Augsburg,4.0,0.0,1978,31,SUI
65,Václav Cerny,VfL Wolfsburg,4.0,0.0,923,22,CZE
84,Florian Neuhaus,Borussia Mönchengladbach,4.0,1.0,1226,25,GER
84,Marcel Sabitzer,Borussia Dortmund,4.0,1.0,1964,25,AUT
84,Tomas Cvancara,Borussia Mönchengladbach,4.0,1.0,892,21,CZE
87,Exequiel Palacios,Bayer 04 Leverkusen,4.0,2.0,1840,24,ARG
88,Arne Engels,FC Augsburg,3.0,0.0,1398,32,BEL
88,Franck Honorat,Borussia Mönchengladbach,3.0,0.0,2358,32,FRA
88,Gian-Luca Waldschmidt,FC Köln,3.0,0.0,1151,22,GER
88,Goncalo Paciencia,VfL Bochum,3.0,0.0,645,19,POR
88,Granit Xhaka,Bayer 04 Leverkusen,3.0,0.0,2828,33,SUI
88,Jens Stage,SV Werder Bremen,3.0,0.0,2334,30,DEN
88,Josip Stanisic,Bayer 04 Leverkusen,3.0,0.0,1257,20,CRO
88,Karim Adeyemi,Borussia Dortmund,3.0,0.0,911,21,GER
88,Kevin Paredes,VfL Wolfsburg,3.0,0.0,1429,28,USA
88,Kevin Sessa,1. FC Heidenheim 1846,3.0,0.0,1001,30,GER
88,Kingsley Coman,Bayern München,3.0,0.0,1123,17,FRA
88,Ko Itakura,Borussia Mönchengladbach,3.0,0.0,1598,20,JPN
88,Mario Götze,Eintracht Frankfurt,3.0,0.0,2075,30,GER
88,Marvin Mehlem,SV Darmstadt,3.0,0.0,1491,20,GER
88,Marvin Pieringer,1. FC Heidenheim 1846,3.0,0.0,1520,31,GER
88,Mats Hummels,Borussia Dortmund,3.0,0.0,1581,25,GER
88,Maximilian Wittek,VfL Bochum,3.0,0.0,1067,21,GER
88,Mitchell Weiser,SV Werder Bremen,3.0,0.0,2639,30,GER
88,Niels Nkounkou,Eintracht Frankfurt,3.0,0.0,1301,29,FRA
88,Nikola Dovedan,1. FC Heidenheim 1846,3.0,0.0,646,21,AUT
88,Pavel Kaderabek,TSG Hoffenheim,3.0,0.0,2419,29,CZE
88,Raphaël Guerreiro,Bayern München,3.0,0.0,1194,20,POR
88,Robert Skov,TSG Hoffenheim,3.0,0.0,1261,25,DEN
88,Roland Sallai,SC Freiburg,3.0,0.0,1850,27,HUN
88,Sepp van den Berg,1. FSV Mainz 05,3.0,0.0,2838,33,NED
88,Serge Gnabry,Bayern München,3.0,0.0,433,10,GER
88,Steffen Tigges,FC Köln,3.0,0.0,715,25,GER
88,Yorbe Vertessen,1. FC Union Berlin,3.0,0.0,593,13,BEL
116,Kevin Volland,1. FC Union Berlin,3.0,2.0,1346,26,GER
117,Tobias Kempe,SV Darmstadt,3.0,3.0,1351,24,GER
118,Adam Hlozek,Bayer 04 Leverkusen,2.0,0.0,451,23,CZE
118,Aleksandar Pavlovic,Bayern München,2.0,0.0,1228,19,GER
118,Alphonso Davies,Bayern München,2.0,0.0,2067,29,CAN
118,Amadou Haidara,RB Leipzig,2.0,0.0,1537,21,MLI
118,Anthony Caci,1. FSV Mainz 05,2.0,0.0,2493,31,FRA
118,Anton Stach,TSG Hoffenheim,2.0,0.0,2497,33,GER
118,Arne Maier,FC Augsburg,2.0,0.0,998,22,GER
118,Brenden Aaronson,1. FC Union Berlin,2.0,0.0,1263,30,USA
118,Christoph Klarer,SV Darmstadt,2.0,0.0,2356,30,AUT
118,Christopher Antwi-Adjej,VfL Bochum,2.0,0.0,1216,25,GHA
118,Damion Downs,FC Köln,2.0,0.0,173,10,GER
118,Danilho Doekhi,1. FC Union Berlin,2.0,0.0,2160,24,NED
118,David Raum,RB Leipzig,2.0,0.0,2743,31,GER
118,Dion Drena Beljo,FC Augsburg,2.0,0.0,562,26,CRO
118,Ellyes Skhiri,Eintracht Frankfurt,2.0,0.0,2169,27,TUN
118,Emil Forsberg,RB Leipzig,2.0,0.0,460,14,SWE
118,Eric Maxim Choupo-Moting,Bayern München,2.0,0.0,703,27,CMR
118,Fares Chaibi,Eintracht Frankfurt,2.0,0.0,1920,28,ALG
118,Felix Passlack,VfL Bochum,2.0,0.0,966,15,GER
118,Felix Uduokhai,FC Augsburg,2.0,0.0,2922,33,GER
118,Fredrik Jensen,FC Augsburg,2.0,0.0,1350,22,FIN
118,Hugo Larsson,Eintracht Frankfurt,2.0,0.0,1885,29,SWE
118,Ian Maatsen,Borussia Dortmund,2.0,0.0,1269,16,NED
118,Jadon Sancho,Borussia Dortmund,2.0,0.0,954,14,ENG
118,Jan Schöppner,1. FC Heidenheim 1846,2.0,0.0,2000,26,GER
118,Joakim Mæhle,VfL Wolfsburg,2.0,0.0,2454,30,DEN
118,John Anthony Brooks,TSG Hoffenheim,2.0,0.0,1539,21,USA
118,Josha Vagnoman,VfB Stuttgart,2.0,0.0,1181,18,GER
