Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
123,Raphaël Guerreiro,Bayern München,1.7,71.0,1194,20,POR
124,Aissa Laidouni,1. FC Union Berlin,1.7,58.8,1064,23,TUN
125,Mitchell Weiser,SV Werder Bremen,1.7,49.0,2639,30,GER
126,Rocco Reitz,Borussia Mönchengladbach,1.7,48.8,2141,34,GER
127,Erhan Masovic,VfL Bochum,1.7,40.6,2218,29,SRB
128,Felix Nmecha,Borussia Dortmund,1.6,69.2,1016,20,GER
129,Alassane Plea,Borussia Mönchengladbach,1.6,63.0,1925,27,FRA
130,Umut Tohumcu,TSG Hoffenheim,1.6,62.1,1012,20,GER
131,Harry Kane,Bayern München,1.6,61.4,2843,32,ENG
132,Denis Huseinbasic,FC Köln,1.6,52.7,1627,26,BIH
133,Mads Valentin Pedersen,FC Augsburg,1.6,50.0,1783,27,DEN
134,Marcel Sabitzer,Borussia Dortmund,1.6,48.6,1964,25,AUT
135,Leonardo Bittencourt,SV Werder Bremen,1.6,45.9,1585,29,GER
136,Ridle Baku,VfL Wolfsburg,1.6,41.7,2011,33,GER
137,Noah Weisshaupt,SC Freiburg,1.6,35.1,744,24,GER
138,Marvin Friedrich,Borussia Mönchengladbach,1.6,26.2,1561,24,GER
139,Robin Gosens,1. FC Union Berlin,1.5,50.6,2297,30,GER
140,Aurelio Buta,Eintracht Frankfurt,1.5,42.3,1744,30,POR
141,Jérome Roussillon,1. FC Union Berlin,1.5,40.0,743,23,FRA
142,Philipp Max,Eintracht Frankfurt,1.5,39.7,1357,23,GER
143,Joseph Scally,Borussia Mönchengladbach,1.5,38.4,2236,31,USA
144,Philipp Mwene,1. FSV Mainz 05,1.5,37.5,2003,23,AUT
145,Danny da Costa,1. FSV Mainz 05,1.5,36.8,826,19,GER
146,Tom Krauss,1. FSV Mainz 05,1.5,36.7,1339,29,GER
147,Omar Traoré,1. FC Heidenheim 1846,1.5,30.5,2474,31,GER
148,Romano Schmid,SV Werder Bremen,1.4,58.3,2614,33,AUT
149,Bartol Franjic,SV Darmstadt,1.4,52.8,1232,20,CRO
150,Adrian Beck,1. FC Heidenheim 1846,1.4,48.4,971,23,GER
151,Václav Cerny,VfL Wolfsburg,1.4,45.2,923,22,CZE
152,Jan Schöppner,1. FC Heidenheim 1846,1.4,42.1,2000,26,GER
153,Christian Gross,SV Werder Bremen,1.4,41.4,792,20,GER
154,Joakim Mæhle,VfL Wolfsburg,1.4,40.0,2454,30,DEN
155,Florian Pick,1. FC Heidenheim 1846,1.4,35.7,315,22,GER
156,Nico Elvedi,Borussia Mönchengladbach,1.4,34.8,2485,30,SUI
157,Gian-Luca Waldschmidt,FC Köln,1.3,66.7,1151,22,GER
158,Kouadio Koné,Borussia Mönchengladbach,1.3,64.7,1565,22,FRA
159,Nick Woltemade,SV Werder Bremen,1.3,63.0,1182,30,GER
160,Dejan Ljubicic,FC Köln,1.3,60.0,2055,26,AUT
161,Noussair Mazraoui,Bayern München,1.3,58.6,1197,19,MAR
162,Hugo Larsson,Eintracht Frankfurt,1.3,52.9,1885,29,SWE
163,Fares Chaibi,Eintracht Frankfurt,1.3,45.8,1920,28,ALG
163,Patrick Osterhage,VfL Bochum,1.3,45.8,1863,24,GER
165,Jan Thielmann,FC Köln,1.3,45.1,1588,22,GER
166,Kevin Mbabu,FC Augsburg,1.3,41.1,2048,25,SUI
167,Jordy Makengo,SC Freiburg,1.3,39.5,1022,20,FRA
168,Luca Netz,Borussia Mönchengladbach,1.3,38.4,2231,30,GER
169,Jens Stage,SV Werder Bremen,1.3,37.2,2334,30,DEN
170,Max Finkgrafe,FC Köln,1.3,36.6,1756,24,GER
171,Janik Haberer,1. FC Union Berlin,1.3,35.4,1223,21,GER
172,Enzo Millot,VfB Stuttgart,1.2,58.5,2254,31,FRA
173,Tim Skarke,SV Darmstadt,1.2,54.4,2418,30,GER
174,Tobias Kempe,SV Darmstadt,1.2,51.4,1351,24,GER
175,Nicolas Höfler,SC Freiburg,1.2,50.8,2332,28,GER
176,Marvin Ducksch,SV Werder Bremen,1.2,49.3,2710,33,GER
177,Julian Ryerson,Borussia Dortmund,1.2,47.1,1772,21,NOR
178,Elvis Rexhbecaj,FC Augsburg,1.2,44.3,1994,25,GER
179,Yannick Gerhardt,VfL Wolfsburg,1.2,42.9,1635,25,GER
180,Grischa Prömel,TSG Hoffenheim,1.2,39.7,2146,28,GER
181,Mattias Svanberg,VfL Wolfsburg,1.2,34.8,1725,25,SWE
182,Ivan Ordets,VfL Bochum,1.2,32.5,1879,24,UKR
183,Andrej Kramaric,TSG Hoffenheim,1.1,66.7,2206,30,CRO
184,Konrad Laimer,Bayern München,1.1,61.1,1770,29,AUT
185,Florian Wirtz,Bayer 04 Leverkusen,1.1,55.6,2377,32,GER
186,Marvin Mehlem,SV Darmstadt,1.1,47.5,1491,20,GER
187,Alejandro Grimaldo,Bayer 04 Leverkusen,1.1,47.2,2785,33,ESP
188,Eric Martel,FC Köln,1.1,43.7,2464,30,GER
189,Matus Bero,VfL Bochum,1.1,41.7,1665,24,SVK
190,Leandro Barreiro,1. FSV Mainz 05,1.1,37.8,2606,31,LUX
191,Alex Kral,1. FC Union Berlin,1.1,36.4,1365,24,CZE
192,Kevin Paredes,VfL Wolfsburg,1.1,36.2,1429,28,USA
193,Pavel Kaderabek,TSG Hoffenheim,1.1,32.6,2419,29,CZE
194,Maximilian Wittek,VfL Bochum,1.1,22.8,1067,21,GER
195,Adam Hlozek,Bayer 04 Leverkusen,1.0,71.4,451,23,CZE
196,Kingsley Coman,Bayern München,1.0,70.6,1123,17,FRA
197,Atakan Karazor,VfB Stuttgart,1.0,60.0,2630,33,GER
197,Nathan Tella,Bayer 04 Leverkusen,1.0,60.0,812,24,NGA
199,Goncalo Paciencia,VfL Bochum,1.0,53.8,645,19,POR
200,Maximilian Eggestein,SC Freiburg,1.0,51.7,2918,33,GER
201,Thomas Müller,Bayern München,1.0,50.0,1659,31,GER
202,Kevin Volland,1. FC Union Berlin,1.0,48.4,1346,26,GER
203,Lucas Tousart,1. FC Union Berlin,1.0,46.2,1573,23,FRA
204,Jan-Niklas Beste,1. FC Heidenheim 1846,1.0,40.8,2618,31,GER
205,Jakub Kaminski,VfL Wolfsburg,1.0,33.3,465,17,POL
205,Rasmus Carstensen,FC Köln,1.0,33.3,1658,23,DEN
207,Nikola Dovedan,1. FC Heidenheim 1846,1.0,30.4,646,21,AUT
208,Rafael Santos Borre,SV Werder Bremen,0.9,90.9,989,19,COL
209,Leroy Sané,Bayern München,0.9,75.9,2142,27,GER
210,Christoph Baumgartner,RB Leipzig,0.9,50.0,1149,32,AUT
211,Robin Hack,Borussia Mönchengladbach,0.9,43.8,1345,29,GER
212,Lovro Majer,VfL Wolfsburg,0.9,38.2,2116,32,CRO
213,Fredrik Jensen,FC Augsburg,0.9,37.1,1350,22,FIN
214,András Schäfer,1. FC Union Berlin,0.9,35.3,1218,20,HUN
215,Rani Khedira,1. FC Union Berlin,0.9,28.0,1350,20,GER
216,Mikkel Kaufmann,1. FC Union Berlin,0.8,66.7,479,18,DEN
217,Kevin Behrens,VfL Wolfsburg,0.8,64.0,1880,31,GER
218,Niclas Füllkrug,Borussia Dortmund,0.8,63.6,2405,31,GER
219,Ihlas Bebou,TSG Hoffenheim,0.8,53.8,1628,32,TOG
220,Marvin Pieringer,1. FC Heidenheim 1846,0.8,51.9,1520,31,GER
221,Chris Führich,VfB Stuttgart,0.8,48.0,2594,34,GER
222,Jae-Sung Lee,1. FSV Mainz 05,0.8,47.4,2124,29,KOR
223,Eric Ebimbe,Eintracht Frankfurt,0.8,38.6,1967,31,FRA
224,Franck Honorat,Borussia Mönchengladbach,0.8,35.1,2358,32,FRA
225,Felix Agu,SV Werder Bremen,0.8,34.9,1621,24,GER
226,Anthony Losilla,VfL Bochum,0.8,32.4,2586,31,FRA
227,Michael Gregoritsch,SC Freiburg,0.7,66.7,1684,32,AUT
228,Benedict Hollerbach,1. FC Union Berlin,0.7,62.5,1283,28,GER
228,Woo-Yeong Jeong,VfB Stuttgart,0.7,62.5,618,26,KOR
230,Marco Reus,Borussia Dortmund,0.7,60.0,1612,26,GER
231,Deniz Undav,VfB Stuttgart,0.7,53.1,2096,30,GER
232,Merlin Röhl,SC Freiburg,0.7,50.0,1483,24,GER
233,Jamie Leweling,VfB Stuttgart,0.7,47.8,1519,34,GER
234,Ruben Vargas,FC Augsburg,0.7,45.5,1978,31,SUI
235,Josha Vagnoman,VfB Stuttgart,0.7,45.0,1181,18,GER
236,Eren Dinkci,1. FC Heidenheim 1846,0.7,44.0,2672,33,TUR
237,Faride Alidou,FC Köln,0.7,41.7,1284,26,GER
238,Brajan Gruda,1. FSV Mainz 05,0.7,28.6,1651,28,GER
239,Mathys Tel,Bayern München,0.6,77.8,1031,30,FRA
240,Eric Maxim Choupo-Moting,Bayern München,0.6,71.4,703,27,CMR
241,Brenden Aaronson,1. FC Union Berlin,0.6,64.3,1263,30,USA
242,Victor Okoh Boniface,Bayer 04 Leverkusen,0.6,62.5,1553,23,NGA
243,Jonas Wind,VfL Wolfsburg,0.6,62.1,2660,34,DEN
243,Tim Kleindienst,1. FC Heidenheim 1846,0.6,62.1,2874,33,GER
245,Sven Michel,FC Augsburg,0.6,57.1,574,22,GER
246,Ludovic Ajorque,1. FSV Mainz 05,0.6,56.3,1355,26,FRA
247,Omar Marmoush,Eintracht Frankfurt,0.6,55.2,2310,29,EGY
248,Lucas Höler,SC Freiburg,0.6,50.0,2309,33,GER
249,Jonathan Burkardt,1. FSV Mainz 05,0.6,43.5,1541,21,GER
250,Roland Sallai,SC Freiburg,0.6,38.7,1850,27,HUN
251,Ritsu Doan,SC Freiburg,0.6,28.8,2253,30,JPN
252,Serhou Guirassy,VfB Stuttgart,0.5,75.0,2212,28,GUI
253,Jordan Pefok,Borussia Mönchengladbach,0.5,72.7,1450,26,USA
254,Karim Onisiwo,1. FSV Mainz 05,0.5,61.5,1496,24,AUT
254,Nathan N'Goumou,Borussia Mönchengladbach,0.5,61.5,1381,32,FRA
256,Donyell Malen,Borussia Dortmund,0.5,50.0,1783,27,NED
257,Ansgar Knauff,Eintracht Frankfurt,0.5,27.9,2117,31,GER
258,Youssoufa Moukoko,Borussia Dortmund,0.4,100.0,614,20,GER
259,Silas Katompa Mvumpa,VfB Stuttgart,0.4,57.1,890,27,COD
260,Wout Weghorst,TSG Hoffenheim,0.4,56.3,1987,28,NED
261,Linton Maina,FC Köln,0.4,52.9,1904,31,GER
262,Justin Njinmah,SV Werder Bremen,0.4,50.0,1012,24,GER
263,Karim Adeyemi,Borussia Dortmund,0.4,44.4,911,21,GER
264,Luca Pfeiffer,SV Darmstadt,0.4,38.1,1625,24,GER
265,Christopher Antwi-Adjej,VfL Bochum,0.4,35.7,1216,25,GHA
265,Jamie Bynoe-Gittens,Borussia Dortmund,0.4,35.7,1059,25,ENG
267,Mathias Honsak,SV Darmstadt,0.4,33.3,1013,23,AUT
268,Dion Drena Beljo,FC Augsburg,0.3,66.7,562,26,CRO
269,Ermedin Demirovic,FC Augsburg,0.3,50.0,2879,33,BIH
269,Jamal Musiala,Bayern München,0.3,50.0,1766,24,GER
269,Philipp Hofmann,VfL Bochum,0.3,50.0,1576,29,GER
269,Sargis Adamyan,FC Köln,0.3,50.0,797,20,ARM
269,Steffen Tigges,FC Köln,0.3,50.0,715,25,GER
274,Phillip Tietz,FC Augsburg,0.3,47.1,2405,34,GER
275,Takuma Asano,VfL Bochum,0.3,43.8,2003,29,JPN
276,Amine Adli,Bayer 04 Leverkusen,0.3,33.3,890,23,MAR
277,Jeremie Frimpong,Bayer 04 Leverkusen,0.3,32.0,2263,31,NED
278,Tiago Tomás,VfL Wolfsburg,0.3,30.0,1029,26,POR
279,Alphonso Davies,Bayern München,0.3,25.0,2067,29,CAN
280,Patrik Schick,Bayer 04 Leverkusen,0.2,66.7,1064,20,CZE
280,Tomas Cvancara,Borussia Mönchengladbach,0.2,66.7,892,21,CZE
282,Ikoma Lois Openda,RB Leipzig,0.2,50.0,2716,34,BEL
283,Benjamin Sesko,RB Leipzig,0.2,42.9,1528,31,SVN
284,Maximilian Beier,TSG Hoffenheim,0.1,40.0,2431,33,GER
285,Yussuf Poulsen,RB Leipzig,0.1,33.3,1209,28,DEN
286,Oscar Vilhelmsson,SV Darmstadt,0.1,20.0,1375,26,SWE
