Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
367,Sasa Kalajdzic,Eintracht Frankfurt,0.1,1.0,329,5,AUT
367,Timothy Chandler,Eintracht Frankfurt,0.1,1.0,16,6,USA
372,Andreas Hanche-Olsen,1. FSV Mainz 05,0.1,0.0,995,15,NOR
372,Andreas Müller,SV Darmstadt,0.1,0.0,341,11,GER
372,Borna Sosa,VfB Stuttgart,0.1,0.0,44,2,CRO
372,Bouna Sarr,Bayern München,0.1,0.0,105,2,SEN
372,Christopher Lenz,RB Leipzig,0.1,0.0,52,6,GER
372,Damion Downs,FC Köln,0.1,0.0,173,10,GER
372,Danilo Soares,VfL Bochum,0.1,0.0,351,5,BRA
372,Dennis Geiger,TSG Hoffenheim,0.1,0.0,62,3,GER
372,Fabian Schnellhardt,SV Darmstadt,0.1,0.0,228,10,GER
372,Fabio Torsiello,SV Darmstadt,0.1,0.0,147,10,ITA
372,Frank Ronstadt,SV Darmstadt,0.1,0.0,73,4,GER
372,Frans Krätzig,Bayern München,0.1,0.0,52,4,GER
372,Frederik Rønnow,1. FC Union Berlin,0.1,0.0,2970,33,DEN
372,Grant-Leon Ranos,Borussia Mönchengladbach,0.1,0.0,42,9,ARM
372,Gustavo Puerta,Bayer 04 Leverkusen,0.1,0.0,40,7,COL
372,Irvin Cardona,FC Augsburg,0.1,0.0,51,3,FRA
372,Isak Hansen-Aarøen,SV Werder Bremen,0.1,0.0,25,3,NOR
372,Jacob Steen Christensen,FC Köln,0.1,0.0,216,7,DEN
372,Janis Blaswich,RB Leipzig,0.1,0.0,1890,21,GER
372,Jean Bahoya,Eintracht Frankfurt,0.1,0.0,173,8,FRA
372,Kenneth Schmidt,SC Freiburg,0.1,0.0,64,5,GER
372,Kevin Müller,1. FC Heidenheim 1846,0.1,0.0,3060,34,GER
372,Koen Casteels,VfL Wolfsburg,0.1,0.0,2250,25,BEL
372,Leonardo Bonucci,1. FC Union Berlin,0.1,0.0,463,7,ITA
372,Marcus Müller,1. FSV Mainz 05,0.1,0.0,17,1,GER
372,Marvin Friedrich,Borussia Mönchengladbach,0.1,0.0,1561,24,GER
372,Mateu Morey,Borussia Dortmund,0.1,0.0,110,3,ESP
372,Maxim Leitsch,1. FSV Mainz 05,0.1,0.0,377,7,GER
372,Maximilian Bauer,FC Augsburg,0.1,0.0,808,14,GER
372,Mert Kömür,FC Augsburg,0.1,0.0,116,4,TUR
372,Michael Zetterer,SV Werder Bremen,0.1,0.0,2430,27,GER
372,Nelson Weiper,1. FSV Mainz 05,0.1,0.0,121,5,GER
372,Nnamdi Collins,Eintracht Frankfurt,0.1,0.0,90,2,GER
372,Patrick Herrmann,Borussia Mönchengladbach,0.1,0.0,78,8,GER
372,Paul Jaeckel,1. FC Union Berlin,0.1,0.0,230,6,GER
372,Robin Zentner,1. FSV Mainz 05,0.1,0.0,2700,30,GER
372,Ryan Gravenberch,Bayern München,0.1,0.0,9,1,NED
372,Samuel Bamba,Borussia Dortmund,0.1,0.0,45,2,GER
372,Sebastiaan Bornauw,VfL Wolfsburg,0.1,0.0,1431,20,BEL
372,Thomas Isherwood,SV Darmstadt,0.1,0.0,638,12,SWE
372,Timo Werner,RB Leipzig,0.1,0.0,204,8,GER
413,Anwar El-Ghazi,1. FSV Mainz 05,0.0,1.0,51,3,NED
413,Jens Grahl,Eintracht Frankfurt,0.0,1.0,180,2,GER
413,Jonas Omlin,Borussia Mönchengladbach,0.0,1.0,630,7,SUI
416,Alexander Brunst-Zöllner,SV Darmstadt,0.0,0.0,270,3,GER
416,Alexander Meyer,Borussia Dortmund,0.0,0.0,694,8,GER
416,Alexander Nübel,VfB Stuttgart,0.0,0.0,2700,30,GER
416,Alexander Schwolow,1. FC Union Berlin,0.0,0.0,90,1,GER
416,Aljoscha Kemlein,1. FC Union Berlin,0.0,0.0,27,2,GER
416,Andreas Luthe,VfL Bochum,0.0,0.0,90,1,GER
416,Antonios Papadopoulos,Borussia Dortmund,0.0,0.0,116,2,GER
416,Asaf Arania,SV Darmstadt,0.0,0.0,5,1,ISR
416,Bambase Conte,TSG Hoffenheim,0.0,0.0,43,7,GER
416,Bennit Bröger,VfL Wolfsburg,0.0,0.0,10,1,GER
416,Braydon Manu,SV Darmstadt,0.0,0.0,171,4,GHA
416,Chukwubuike Adamu,SC Freiburg,0.0,0.0,93,15,AUT
416,Daniel Batz,1. FSV Mainz 05,0.0,0.0,360,4,GER
416,Daniel Peretz,Bayern München,0.0,0.0,16,1,ISR
416,David Mamutovic,1. FSV Mainz 05,0.0,0.0,9,2,GER
416,Diadie Samassékou,TSG Hoffenheim,0.0,0.0,1,1,MLI
416,Dzenan Pejcinovic,VfL Wolfsburg,0.0,0.0,33,4,GER
416,El Chadaille Bitshiabu,RB Leipzig,0.0,0.0,29,6,FRA
416,Elias Baum,Eintracht Frankfurt,0.0,0.0,25,4,GER
416,Fabian Bredlow,VfB Stuttgart,0.0,0.0,360,4,GER
416,Fabian Rüdlin,SC Freiburg,0.0,0.0,6,1,GER
416,Filip Stojilkovic,SV Darmstadt,0.0,0.0,148,6,SUI
416,Florian Dietz,FC Köln,0.0,0.0,65,5,GER
416,Genki Haraguchi,VfB Stuttgart,0.0,0.0,25,2,JPN
416,Gregor Kobel,Borussia Dortmund,0.0,0.0,2366,27,SUI
416,Hendry Blank,Borussia Dortmund,0.0,0.0,45,1,GER
416,Hrvoje Smolcic,Eintracht Frankfurt,0.0,0.0,345,11,CRO
416,Ilia Gruev,SV Werder Bremen,0.0,0.0,3,1,BUL
416,Jesper Lindstrøm,Eintracht Frankfurt,0.0,0.0,84,1,DEN
416,Jiri Pavlenka,SV Werder Bremen,0.0,0.0,630,7,CZE
416,Joel Imasuen,SV Werder Bremen,0.0,0.0,1,1,USA
416,Jonathan Vonheim Norbye,RB Leipzig,0.0,0.0,1,1,NOR
416,Jovan Milosevic,VfB Stuttgart,0.0,0.0,25,5,SRB
416,Julien Duranville,Borussia Dortmund,0.0,0.0,10,2,BEL
416,Kasim Adams,TSG Hoffenheim,0.0,0.0,4,1,GHA
416,Kevin Trapp,Eintracht Frankfurt,0.0,0.0,2880,32,GER
416,Leon Opitz,SV Werder Bremen,0.0,0.0,16,3,GER
416,Lilian Egloff,VfB Stuttgart,0.0,0.0,103,5,GER
416,Luca Kilian,FC Köln,0.0,0.0,632,13,GER
416,Luca Raimund,VfB Stuttgart,0.0,0.0,28,3,GER
416,Lukas Hradecky,Bayer 04 Leverkusen,0.0,0.0,2970,33,FIN
416,Lukas Nmecha,VfL Wolfsburg,0.0,0.0,39,3,GER
416,Lukas Ullrich,Borussia Mönchengladbach,0.0,0.0,44,4,GER
416,Mahmut Kücüksahin,FC Augsburg,0.0,0.0,1,1,TUR
416,Manuel Neuer,Bayern München,0.0,0.0,2054,23,GER
416,Marko Mladenovic,Eintracht Frankfurt,0.0,0.0,5,1,SRB
416,Masaya Okugawa,FC Augsburg,0.0,0.0,30,2,JPN
416,Matej Kovar,Bayer 04 Leverkusen,0.0,0.0,90,1,CZE
416,Matteo Perez Vinlöf,Bayern München,0.0,0.0,15,1,SWE
416,Max Moerstedt,TSG Hoffenheim,0.0,0.0,11,1,GER
416,Maximilian Breunig,SC Freiburg,0.0,0.0,7,2,GER
416,Milos Pantovic,1. FC Union Berlin,0.0,0.0,14,1,SRB
416,Moritz Nicolas,Borussia Mönchengladbach,0.0,0.0,2430,27,GER
416,Naby Keita,SV Werder Bremen,0.0,0.0,108,5,GUI
416,Nacho Ferri,Eintracht Frankfurt,0.0,0.0,68,8,ESP
416,Nathanaël Mbuku,FC Augsburg,0.0,0.0,4,1,FRA
416,Nicolai Rapp,SV Werder Bremen,0.0,0.0,76,2,GER
416,Noah Loosli,VfL Bochum,0.0,0.0,339,10,SUI
416,Ole Pohlmann,Borussia Dortmund,0.0,0.0,52,2,GER
416,Oliver Burke,SV Werder Bremen,0.0,0.0,31,1,SCO
416,Pavao Pervan,VfL Wolfsburg,0.0,0.0,810,9,AUT
416,Péter Gulácsi,RB Leipzig,0.0,0.0,1170,13,HUN
416,Randal Kolo Muani,Eintracht Frankfurt,0.0,0.0,155,2,FRA
416,Roberto Massimo,VfB Stuttgart,0.0,0.0,79,5,GHA
416,Sacha Boey,Bayern München,0.0,0.0,109,2,FRA
416,Samuele di Benedetto,VfB Stuttgart,0.0,0.0,6,1,GER
416,Shio Fukuda,Borussia Mönchengladbach,0.0,0.0,33,5,JPN
416,Simon Zoller,VfL Bochum,0.0,0.0,45,1,GER
416,Skelly Alvero,SV Werder Bremen,0.0,0.0,121,6,FRA
416,Sven Ulreich,Bayern München,0.0,0.0,990,11,GER
416,Thomas Leon Keller,1. FC Heidenheim 1846,0.0,0.0,2,2,GER
416,Thorgan Hazard,Borussia Dortmund,0.0,0.0,6,1,BEL
416,Tim Drexler,TSG Hoffenheim,0.0,0.0,573,8,GER
416,Tomas Koubek,FC Augsburg,0.0,0.0,270,3,CZE
416,Tony Jantschke,Borussia Mönchengladbach,0.0,0.0,25,4,GER
416,Yvandro Borges Sanches,Borussia Mönchengladbach,0.0,0.0,16,3,LUX
