Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
85,Mohamed Simakan,RB Leipzig,2.9,3.0,2139,32,FRA
86,Nathan N'Goumou,Borussia Mönchengladbach,2.9,2.0,1381,32,FRA
86,Nathan Tella,Bayer 04 Leverkusen,2.9,2.0,812,24,NGA
88,Iago,FC Augsburg,2.9,1.0,1622,23,BRA
89,Arne Maier,FC Augsburg,2.8,4.0,998,22,GER
90,Wout Weghorst,TSG Hoffenheim,2.8,3.0,1987,28,NED
91,Julian Ryerson,Borussia Dortmund,2.8,1.0,1772,21,NOR
92,Anton Stach,TSG Hoffenheim,2.7,3.0,2497,33,GER
93,Ansgar Knauff,Eintracht Frankfurt,2.7,2.0,2117,31,GER
93,Leonardo Bittencourt,SV Werder Bremen,2.7,2.0,1585,29,GER
95,Maximilian Wittek,VfL Bochum,2.7,1.0,1067,21,GER
96,Rocco Reitz,Borussia Mönchengladbach,2.6,3.0,2141,34,GER
97,Florian Neuhaus,Borussia Mönchengladbach,2.6,2.0,1226,25,GER
97,Philipp Mwene,1. FSV Mainz 05,2.6,2.0,2003,23,AUT
99,Fabian Nürnberger,SV Darmstadt,2.6,1.0,1519,21,GER
100,Atakan Karazor,VfB Stuttgart,2.5,4.0,2630,33,GER
101,Mattias Svanberg,VfL Wolfsburg,2.5,3.0,1725,25,SWE
101,Silvan Widmer,1. FSV Mainz 05,2.5,3.0,1243,20,SUI
103,Tobias Kempe,SV Darmstadt,2.5,2.0,1351,24,GER
104,Václav Cerny,VfL Wolfsburg,2.5,0.0,923,22,CZE
105,Pascal Stenzel,VfB Stuttgart,2.4,5.0,1068,23,GER
106,Noussair Mazraoui,Bayern München,2.4,3.0,1197,19,MAR
107,Hiroki Ito,VfB Stuttgart,2.4,2.0,2231,26,JPN
107,Philipp Max,Eintracht Frankfurt,2.4,2.0,1357,23,GER
109,Maximilian Eggestein,SC Freiburg,2.4,1.0,2918,33,GER
110,Kevin Volland,1. FC Union Berlin,2.3,4.0,1346,26,GER
111,Yussuf Poulsen,RB Leipzig,2.3,2.0,1209,28,DEN
112,Marius Wolf,Borussia Dortmund,2.3,1.0,1161,22,GER
113,Grischa Prömel,TSG Hoffenheim,2.2,5.0,2146,28,GER
114,Jae-Sung Lee,1. FSV Mainz 05,2.2,3.0,2124,29,KOR
115,Justin Njinmah,SV Werder Bremen,2.2,2.0,1012,24,GER
115,Robert Andrich,Bayer 04 Leverkusen,2.2,2.0,1681,28,GER
117,Merlin Röhl,SC Freiburg,2.1,3.0,1483,24,GER
118,Mads Valentin Pedersen,FC Augsburg,2.1,1.0,1783,27,DEN
118,Nico Schlotterbeck,Borussia Dortmund,2.1,1.0,2861,33,GER
120,Marco Richter,1. FSV Mainz 05,2.1,0.0,713,20,GER
121,Tim Kleindienst,1. FC Heidenheim 1846,2.0,3.0,2874,33,GER
122,Brenden Aaronson,1. FC Union Berlin,2.0,2.0,1263,30,USA
122,Dejan Ljubicic,FC Köln,2.0,2.0,2055,26,AUT
122,Lucas Höler,SC Freiburg,2.0,2.0,2309,33,GER
122,Niels Nkounkou,Eintracht Frankfurt,2.0,2.0,1301,29,FRA
122,Robin Hack,Borussia Mönchengladbach,2.0,2.0,1345,29,GER
122,Tuta,Eintracht Frankfurt,2.0,2.0,2605,30,BRA
122,Umut Tohumcu,TSG Hoffenheim,2.0,2.0,1012,20,GER
129,Kevin Behrens,VfL Wolfsburg,2.0,1.0,1880,31,GER
129,Serge Gnabry,Bayern München,2.0,1.0,433,10,GER
131,Florian Grillitsch,TSG Hoffenheim,1.9,6.0,2297,30,AUT
132,Jordan Pefok,Borussia Mönchengladbach,1.9,3.0,1450,26,USA
133,Christian Günter,SC Freiburg,1.9,2.0,1064,15,GER
133,Edimilson Fernandes,1. FSV Mainz 05,1.9,2.0,1284,21,SUI
135,Ellyes Skhiri,Eintracht Frankfurt,1.9,1.0,2169,27,TUN
135,Matus Bero,VfL Bochum,1.9,1.0,1665,24,SVK
137,Emir Karic,SV Darmstadt,1.9,0.0,1781,27,AUT
137,Kevin Paredes,VfL Wolfsburg,1.9,0.0,1429,28,USA
137,Rafael Santos Borre,SV Werder Bremen,1.9,0.0,989,19,COL
140,Robert Skov,TSG Hoffenheim,1.8,4.0,1261,25,DEN
141,Aleksandar Pavlovic,Bayern München,1.8,2.0,1228,19,GER
141,Arne Engels,FC Augsburg,1.8,2.0,1398,32,BEL
141,Noah Weisshaupt,SC Freiburg,1.8,2.0,744,24,GER
141,Omar Traoré,1. FC Heidenheim 1846,1.8,2.0,2474,31,GER
145,Jens Stage,SV Werder Bremen,1.8,1.0,2334,30,DEN
